設定	Көйләүләр
IPログリーダー	IP логлар укучы
IPアドレスログ	IP-адреслар журналы
全クリア	Барлык дәрәҗәләрне тәмамлагыз
IPログが全て削除されました	Барлык IP журналлары бетерелде
ID	ID
タイムスタンプ	Вакыт штампы
IPアドレス	IP адресы
ユーザーエージェント	Кулланучы агент
イベント	Чара
IPアドレスのデータはありません	Бу IP-адрес өчен мәгълүмат юк
EU GDPR対応	Европа Берлеге GDPR таләпләренә туры килү
無効	Дөрес түгел
有効	Дөрес
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Әгәр сез Европа Берлегендә WordPress кулланасыз яки веб-сайтыгыз Европа Берлегендәге кулланучыларга юнәлтелгән булса, зинһар, моның актив булуын тәэмин итегез.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	«Раслау» төймәсе «Килешәм» яки «Килешмим»гә үзгәрәчәк, һәм эш тәртибе бераз үзгәрәчәк.
同意画面の色	Ризалык экранының төсе
自動	Автоматик
ライトモード	Җиңел режим
ダークモード	Караңгы режим
同意画面表示中の配色を設定します	Рөхсәт экраны өчен төс схемасын билгеләгез
同意画面中のコンテンツのぼかし	Рөхсәт экранындагы эчтәлекне томалау
同意画面表示中のコンテンツのぼかし具合を設定します	Рөхсәт экранында күрсәтелә торган эчтәлек өчен бозау дәрәҗәсен билгеләгез
同意画面の透過	Ризалык экранының ачыклыгы
透過なし	Ачыклык юк
同意画面の透過具合を設定します	Ризалык экранының үтә күренмәлеген көйләгез
お知らせの1行目	Игъланның беренче юлы
初回表示で必ず表示されるメッセージです	Бу хәбәр бит беренче тапкыр йөкләнгәндә һәрвакыт күрсәтелә.
お知らせの2行目	Хәбәрнең икенче юлы
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Бу хәбәр һәрвакыт беренче экранда гына, тик EU GDPR гамәлгә кергән очракта гына күренәчәк.
お知らせの3行目	Хәбәрнең өченче юлы
プライバシーポリシーのリンクの右側に表示されます	Ул Шәхси мәгълүматларны яклау сәясәте сылтамасының уң ягында күренәчәк.
