設定	Параметрлер
IPログリーダー	IP журнал оқушысы
IPアドレスログ	IP-мекенжай журналы
全クリア	Барлық деңгейлерді аяқтаңыз
IPログが全て削除されました	Барлық IP журналдары жойылды
ID	ID
タイムスタンプ	Уақыт белгісі
IPアドレス	IP-мекенжай
ユーザーエージェント	Пайдаланушы агенті
イベント	Іс-шара
IPアドレスのデータはありません	Бұл IP-мекенжайға қатысты деректер жоқ.
EU GDPR対応	Еуропалық Одақтың GDPR талаптарына сәйкестік
無効	Дұрыс емес
有効	Дұрыс
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Егер сіз Еуропалық Одақ аумағында WordPress-ті пайдалансаңыз немесе веб-сайтыңыз Еуропалық Одақ қолданушыларына бағытталған болса, бұл опцияның қосулы екеніне көз жеткізіңіз.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	«Растау» батырмасы «Келісемін» немесе «Келіспеймін» батырмасына өзгереді және мінез-құлық сәл өзгереді.
同意画面の色	Рұқсат беру экранының түсі
自動	Автоматты
ライトモード	Жеңіл режим
ダークモード	Қара режим
同意画面表示中の配色を設定します	Келісім экранының түс схемасын орнатыңыз
同意画面中のコンテンツのぼかし	Рұқсат беру экранындағы мазмұнды бұлдырату
同意画面表示中のコンテンツのぼかし具合を設定します	Келісім экранында көрсетілетін мазмұнды бұлдырату деңгейін орнатыңыз
同意画面の透過	Келісім экранының айқындылығы
透過なし	Ашықтық жоқ
同意画面の透過具合を設定します	Рұқсат беру экранының мөлдірлігін орнатыңыз
お知らせの1行目	Жарияланған хабарламаның бірінші жолы
初回表示で必ず表示されるメッセージです	Бұл хабарлама бет алғаш рет жүктелгенде әрқашан көрсетіледі.
お知らせの2行目	Хабарландырудың екінші жолы
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Бұл хабарлама тек Еуропалық Одақтың GDPR күшіне енгенде ғана бірінші экранда әрдайым көрсетіледі.
お知らせの3行目	Хабарландырудың үшінші жолы
プライバシーポリシーのリンクの右側に表示されます	Бұл Жеке деректерді қорғау саясаты сілтемесінің оң жағында көрсетіледі.
非EU向け確認の文字列	Еуропалық Одаққа кірмейтін елдерге арналған растау мәтіні
EU GDPR向け同意するの文字列	Еуропалық Одақтың GDPR талаптарына сәйкес келісім мәтіні
EU GDPR向け同意しないの文字列	Еуропалық Одақтың GDPR талаптары бойынша «Келісім бермеу» мәтіні
プライバシーポリシーの文字列	Жеке деректерді қорғау саясаты мәтіні
プライバシーポリシーのURLはこちらから設定して下さい	Мұнда құпиялық саясатының URL мекенжайын орнатыңыз
プライバシーポリシーには以下の内容を追加して下さい	Құпиялық саясатына келесі мәтінді қосыңыз
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Жалған әрекеттерді анықтау үшін IP-мекенжайлар сияқты идентификаторлар cookie-файлдарда және дерекқорда сақталады. Сақталған деректер әкімшінің шешімі бойынша жойылады.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Суреттерді қорғау қосулы болған кезде ғана олардың дұрыс жеткізілуін қамтамасыз ету үшін біз IP-мекенжай мен сурет файлының атауын қамтитын хештелген деректерді дерекқорда 60 минутқа дейін сақтаймыз.
