設定	Mîheng
IPログリーダー	Xwendevanê Logên IP'yê
IPアドレスログ	Tomara navnîşana IP'yê
全クリア	Hemû astan temam bike
IPログが全て削除されました	Hemû tomarên IP'yê hatin jêbirin.
ID	Nasname
タイムスタンプ	Mora demê
IPアドレス	Navnîşana IPyê
ユーザーエージェント	Nûnerê Bikarhêner
イベント	Bûyer
IPアドレスのデータはありません	Ji bo vê navnîşana IP'yê ti daneyek tune.
EU GDPR対応	Lihevhatina bi GDPR a YE re
無効	Ne derbasdar
有効	Derbasdar
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Heke hûn WordPressê di nav Yekîtiya Ewropayê de bi kar tînin, an jî heke malpera we ji bo bikarhênerên di nav Yekîtiya Ewropayê de ye, ji kerema xwe piştrast bikin ku ev çalak e.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Bişkoka 'Piştrast bike' dê bibe 'Li hev bike' an 'Li hev neke', û tevger dê hinekî biguhere.
同意画面の色	Rengê ekrana razîbûnê
自動	Otomatîk
ライトモード	Modê sivik
ダークモード	Modê Tarî
同意画面表示中の配色を設定します	Şemaya rengê ji bo ekrana razîbûnê saz bike.
同意画面中のコンテンツのぼかし	Tevlihevkirina naverokê li ser ekrana razîbûnê
同意画面表示中のコンテンツのぼかし具合を設定します	Asta matkirinê ji bo naveroka ku li ser ekrana razîbûnê tê nîşandan eyar bike.
同意画面の透過	Şefafiya ekrana razîbûnê
透過なし	Bê şefafî
同意画面の透過具合を設定します	Şefafiya ekrana razîbûnê saz bike
お知らせの1行目	Rêza yekem a ragihandinê
初回表示で必ず表示されるメッセージです	Ev peyam her tim tê nîşandan gava ku rûpel cara yekem tê barkirin.
お知らせの2行目	Rêza duyemîn a agahdariyê
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ev peyam dê her tim tenê li ser dîmendera yekem xuya bibe dema ku GDPR ya YE di meriyetê de be.
お知らせの3行目	Xeta sêyem a agahdariyê
プライバシーポリシーのリンクの右側に表示されます	Ew ê li rastê ya lînka Polîtîkaya Nepenîtiyê xuya bibe.
非EU向け確認の文字列	Nivîsa piştrastkirinê ji bo welatên ne-YE
EU GDPR向け同意するの文字列	Teksta razîbûnê ji bo GDPR ya YE
EU GDPR向け同意しないの文字列	Nivîsa ji bo 'Riza nede' di bin GDPR ya YE de
プライバシーポリシーの文字列	Nivîsa polîtîkaya nepenîtiyê
プライバシーポリシーのURLはこちらから設定して下さい	Ji kerema xwe URL-a polîtîkaya nepenîtiyê li vir saz bikin.
プライバシーポリシーには以下の内容を追加して下さい	Ji kerema xwe van tiştan li Polîtîkaya Nepenîtiyê zêde bikin.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Ji bo tespîtkirina çalakiyên sextekarî, nasnameyên wekî navnîşanên IP'yê di cookieyan û databasê de tên tomarkirin. Daneyên tomarkirî li gorî biryara rêveber tên jêbirin.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Ji bo ku em piştrast bikin ku wêne rast tên radestkirin dema ku parastina wêneyan çalak be, em daneyên heşkirî yên ku navnîşana IPyê û navê pelê wêneyê di nav xwe de dihewînin, heta 60 deqeyan di databasa xwe de tomar dikin.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Heke hûn Mercên Bikaranînê saz dikin, ji kerema xwe piştrast bibin ku hûn di Polîtîkaya xwe ya Nepenîtiyê de lînkeke ber bi wan ve bi cih dikin.
利用規約の文字列	Nivîsa Mercên Bikaranînê
利用規約のページ	Rûpela Şert û Mercan
ページ選択なし	Rûpel nehatiye hilbijartin
検索エンジン等のURL	URL ji bo motorên lêgerînê, hwd.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	URL'ê ji bo motorên lêgerînê û malperên wekhev ên ku dema destûr neyê dayîn bikarhêneran vedigerînin, saz bike.
デバッグモード、コンソールの警告メッセージ	Modêya debugê, peyamên hişyariyê yên konsolê
右クリックの警告メッセージ	Peymana klîka-rastê ya peyama hişyariyê
印刷、PDF保存の警告メッセージ	Peyama hişyariyê derbarê çapkirin û tomarkirina wekî PDF
スクリーンショットの警告メッセージ	Peyama hişyariyê di dîmenê de
スクリーンショットの疑いの警告メッセージ	Peyama hişyariyê ya derbarê dîmenên ekranê yên gumanbar
テキスト全選択時の警告メッセージ	Peyama hişyariyê dema ku hemû nivîs hatiye hilbijartin
ページ保存の警告メッセージ	Peyama hişyariyê derbarê tomarkirina rûpelê
コピー・カットした時に表示するメッセージ	Peyama ku dema kopîkirin an jêbirinê tê nîşandan
HTMLソース表示時に表示するメッセージ	Peyama ku dema temaşekirina çavkaniya HTMLê were nîşandan
HTML難読化・保護時にソースの先頭に表示するメッセージ	Peyama ku li serê koda çavkaniyê were nîşandan dema ku HTML tê tevlihevkirin an parastin
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Peyama ku were nîşandan heke tokana rastkirina yekcarî di dema parastina HTMLê de ne derbasdar be
CookieやJavascriptが有効でない場合に表示するメッセージ	Peyama ji bo nîşandanê heke cookies an JavaScript hatibin neçalakirin
実際にはJavascriptが無効時のみ表示されます	Bi rastî, ev tenê dema ku JavaScript neçalak be tê nîşandan.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Dema ku wêneyek tê parastin, ew tê daxistin û peyamek li ser wê wêneyê tê nîşandan
HTML難読化 (圧縮)	Tevlihevkirina HTMLê
一般的なHTML圧縮です、難読化解除のサイトもあります	Ev kompresyona standard a HTMLê ye; her wiha malperên ku dikarin wê deşîfre bikin jî hene.
このオプションを有効にするとview-sourceのログが取得できます	Aktîvkirina vê vebijarkê rê dide we ku hûn qeydên çavkaniya-dîtinê bistînin.
HTML保護	Parastina HTMLê
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ew ji mîhenga pêlêkirina HTMLê jî kêmtir HTMLê derdixe, ev tê wê wateyê ku naveroka di nav etîketa BODY de dê qet neyê nîşandan.
Firefoxに対しては無効です	Ev ji bo Firefoxê derbas nabe.
SEOに著しく影響があります	Ev bandoreke girîng li ser SEOyê dike.
HTMLをJavaScriptで描画	Renderkirina HTMLê bi JavaScriptê
