設定	Iisetingi
IPログリーダー	Umfundi weelog ze-IP
IPアドレスログ	Ilog yeedilesi ze-IP
全クリア	Gqibezela onke amanqanaba
IPログが全て削除されました	Zonke iilogi ze-IP zicinyiwe.
ID	Isazisi
タイムスタンプ	Isalathisi sexesha
IPアドレス	Idilesi ye-IP
ユーザーエージェント	I-Arhente yomsebenzisi
イベント	Isiganeko
IPアドレスのデータはありません	Akukho datha yale dilesi ye-IP.
EU GDPR対応	Ukuthotyelwa kwe-EU GDPR
無効	Akuchanekanga
有効	Iyavunyelwa
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Ukuba usebenzisa i-WordPress ngaphakathi kwe-EU, okanye ukuba iwebhusayithi yakho ijolise kubasebenzisi abangaphakathi kwe-EU, nceda uqinisekise ukuba oku kuvuliwe.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Iqhosha elithi 'Qinisekisa' liza kutshintsha libe 'Vumelana' okanye 'Ungavumelani', kwaye indlela yokusebenza iza kutshintsha kancinci.
同意画面の色	Umbala wesikrini sokuvuma
自動	Ngokuzenzekelayo
ライトモード	Indlela ekhanyayo
ダークモード	Imowudi eMnyama
同意画面表示中の配色を設定します	Misa isicwangciso semibala sesikrini somvume
同意画面中のコンテンツのぼかし	Ukufiphala komxholo kwisikrini sokuvuma
同意画面表示中のコンテンツのぼかし具合を設定します	Lungisa inqanaba lokungacaci koku kuboniswayo kwiscreen somvume.
同意画面の透過	Ukucaca kwesikrini somvume
透過なし	Akukho sobala
同意画面の透過具合を設定します	Lungisa ukungafihli kwesikrini somvume
お知らせの1行目	Umgca wokuqala wesaziso
初回表示で必ず表示されるメッセージです	Lo myalezo uhlala ubonakala okokuqala iphepha liyilayishwa.
お知らせの2行目	Umgca wesibini wesaziso
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Lo myalezo uya kuhlala uvela kuphela kwisiboniso sokuqala xa i-EU GDPR isebenza.
お知らせの3行目	Umgca wesithathu wesaziso
プライバシーポリシーのリンクの右側に表示されます	Iya kuvela ngasekunene kokhonkco lomgaqo-nkqubo wobumfihlo.
非EU向け確認の文字列	Umsi-memo wokuqinisekisa wamazwe angaphandle kwe-EU
EU GDPR向け同意するの文字列	Umyalezo wemvume we-EU GDPR
EU GDPR向け同意しないの文字列	Umbhalo we-'Musa ukuvuma' phantsi kwe-EU GDPR
プライバシーポリシーの文字列	Umbhalo womgaqo-nkqubo wobumfihlo
プライバシーポリシーのURLはこちらから設定して下さい	Nceda ubeke i-URL yomgaqo-nkqubo wobumfihlo apha.
プライバシーポリシーには以下の内容を追加して下さい	Nceda wongeze oku kulandelayo kuMgaqo-nkqubo waBucala.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Ukuze kufunyanwe iintshukumo zobuqhophololo, izinto ezizazisi ezifana nee-IP address zigcinwa kwii-cookies nakwisiseko sedatha. Idatha egciniweyo iyacinywa ngokokubona komlawuli.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Ukuqinisekisa ukuba imifanekiso ihanjiswa ngokuchanekileyo kuphela xa ukhuseleko lwemifanekiso luvuliwe, sigcina idatha eyi-hashed equka idilesi ye-IP negama lefayile yomfanekiso kwidatabase kangangemizuzu engama-60.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Ukuba umisela iMiqathango yokuSetyenziswa, nceda uqinisekise ukuba ufaka ikhonkco eliya kuyo kwiNkqubo yakho yobuXwayi.
利用規約の文字列	Umbhalo wemiqathango yokusebenzisa
利用規約のページ	Imiqathango nemimiselo
ページ選択なし	Akukho phepha likhethiweyo
検索エンジン等のURL	Ii-URL ze-injini zokukhangela, njl.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Misa i-URL yee-injini zokukhangela kunye neesayithi ezifanayo ezibuyisela abasebenzisi emva kokuba ingqinelwano ingakhange inikwe.
デバッグモード、コンソールの警告メッセージ	Imowudi yokulungisa iimpazamo, imiyalezo yesilumkiso yekhonsoli
