設定	Instellings
IPログリーダー	IP-logleser
IPアドレスログ	IP-adreslog
全クリア	Voltooi alle vlakke
IPログが全て削除されました	Alle IP-loglêers is verwyder.
ID	Identiteit
タイムスタンプ	Tydstempel
IPアドレス	IP-adres
ユーザーエージェント	Gebruikeragent
イベント	Geleentheid
IPアドレスのデータはありません	Daar is geen data vir hierdie IP-adres nie.
EU GDPR対応	Nakoming van die EU GDPR
無効	Ongeldig
有効	Geldig
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	As u WordPress binne die EU gebruik, of as u webwerf gebruikers binne die EU teiken, maak asseblief seker dat dit geaktiveer is.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Die 'Bevestig'-knoppie sal verander na 'Stem saam' of 'Stem nie saam nie', en die gedrag sal effens verander.
同意画面の色	Kleur van die toestemmingskerm
自動	Outomaties
ライトモード	Ligmodus
ダークモード	Donker modus
同意画面表示中の配色を設定します	Stel die kleurskema vir die toestemmingsskerm in.
同意画面中のコンテンツのぼかし	Verwarring van inhoud op die toestemmingsskerm
同意画面表示中のコンテンツのぼかし具合を設定します	Stel die onscherpte-vlak in vir die inhoud wat op die toestemmingskerm vertoon word.
同意画面の透過	Deursigtigheid van die toestemmingskerm
透過なし	Geen deursigtigheid
同意画面の透過具合を設定します	Stel die deursigtigheid van die toestemmingsskerm in
お知らせの1行目	Eerste reël van die aankondiging
初回表示で必ず表示されるメッセージです	Hierdie boodskap word altyd vertoon die eerste keer dat die bladsy gelaai word.
お知らせの2行目	Die tweede reël van die kennisgewing
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Hierdie boodskap sal altyd slegs op die eerste vertoning verskyn wanneer die EU GDPR in werking is.
お知らせの3行目	Die derde reël van die kennisgewing
プライバシーポリシーのリンクの右側に表示されます	Dit sal regs van die skakel na die privaatheidsbeleid verskyn.
非EU向け確認の文字列	Bevestigingsteks vir nie-EU-lande
EU GDPR向け同意するの文字列	Tekst vir toestemming vir die EU GDPR
EU GDPR向け同意しないの文字列	Teks vir 'Moenie toestemming gee nie' kragtens die EU GDPR
プライバシーポリシーの文字列	Privaatheidsbeleidsteks
プライバシーポリシーのURLはこちらから設定して下さい	Stel asseblief die URL vir die privaatheidsbeleid hier in.
プライバシーポリシーには以下の内容を追加して下さい	Voeg asseblief die volgende by die Privaatheidsbeleid.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Om bedrieglike aktiwiteit op te spoor, word identifikators soos IP-adresse in koekies en die databasis gestoor. Die gestoorde data word na goeddunke van die administrateur verwyder.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Om te verseker dat beelde korrek gelewer word slegs wanneer beeldbeskerming geaktiveer is, stoor ons gehasheerde data wat die IP-adres en die beeldlêernaam bevat in die databasis vir tot 60 minute.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	As u Gebruiksvoorwaardes opstel, verseker asseblief dat u 'n skakel na hulle in u Privaatheidsbeleid insluit.
利用規約の文字列	Teks van die Gebruiksvoorwaardes
