設定	Configuració
IPログリーダー	Lector de registres IP
IPアドレスログ	Registres d'adreces IP
全クリア	Completa tots els nivells
IPログが全て削除されました	S'han eliminat tots els registres d'IP.
ID	Identificador
タイムスタンプ	Segell de temps
IPアドレス	Adreça IP
ユーザーエージェント	Agent d'usuari
イベント	Esdeveniment
IPアドレスのデータはありません	No hi ha dades per a aquesta adreça IP.
EU GDPR対応	Compliment del RGPD de la UE
無効	Invalid
有効	Vàlid
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Si utilitzeu WordPress dins de la UE, o si el vostre lloc web està dirigit a usuaris dins de la UE, assegureu-vos que això estigui habilitat.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	El botó 'Confirmar' canviarà a 'D'acord' o 'En desacord', i el comportament canviarà lleugerament.
同意画面の色	Color de la pantalla de consentiment
自動	Automàtic
ライトモード	Mode lleuger
ダークモード	Modo fosc
同意画面表示中の配色を設定します	Estableix l'esquema de colors per a la pantalla de consentiment.
同意画面中のコンテンツのぼかし	Emborronament del contingut a la pantalla de consentiment
同意画面表示中のコンテンツのぼかし具合を設定します	Establiu el nivell de difuminat per al contingut que es mostra a la pantalla de consentiment.
同意画面の透過	Transparència de la pantalla de consentiment
透過なし	Sense transparència
同意画面の透過具合を設定します	Establiu la transparència de la pantalla de consentiment
お知らせの1行目	Primera línia de l'anunci
初回表示で必ず表示されるメッセージです	Aquest missatge sempre es mostra la primera vegada que la pàgina es carrega.
お知らせの2行目	La segona línia de l'avís
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Aquest missatge sempre apareixerà només a la primera pantalla quan el RGPD de la UE estigui en vigor.
お知らせの3行目	La tercera línia de l'avís
プライバシーポリシーのリンクの右側に表示されます	Aparirà a la dreta de l'enllaç a la Política de privadesa.
非EU向け確認の文字列	Text de confirmació per a països no pertanyents a la UE
EU GDPR向け同意するの文字列	Text de consentiment per al RGPD de la UE
EU GDPR向け同意しないの文字列	Text per a 'No consentir' en virtut del RGPD de la UE
プライバシーポリシーの文字列	Text de la política de privacitat
プライバシーポリシーのURLはこちらから設定して下さい	Si us plau, establiu l'URL de la política de privadesa aquí.
プライバシーポリシーには以下の内容を追加して下さい	Si us plau, afegiu el següent a la Política de privacitat.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Per detectar activitat fraudulenta, s'emmagatzemen identificadors com ara adreces IP a les galetes i a la base de dades. Les dades emmagatzemades s'eliminen a discreció de l'administrador.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Per garantir que les imatges es lliurin correctament quan està habilitada la protecció d'imatges, emmagatzemem a la nostra base de dades, durant un màxim de 60 minuts, les dades hashades que inclouen l'adreça IP i el nom del fitxer de la imatge.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Si esteu establint Condicions d'Ús, assegureu-vos d'incloure-hi un enllaç a la vostra Política de privacitat.
利用規約の文字列	Text de les condicions d'ús
利用規約のページ	Pàgina de termes i condicions
ページ選択なし	No s'ha seleccionat cap pàgina
