設定	ဆက်တင်များ
IPログリーダー	IP မှတ်တမ်းဖတ်စက်
IPアドレスログ	IP လိပ်စာ မှတ်တမ်း
全クリア	အဆင့်အားလုံးကို ပြီးမြောက်ပါ
IPログが全て削除されました	IP မှတ်တမ်းအားလုံး ဖျက်ပစ်ပြီးပါပြီ။
ID	အိုင်ဒီ
タイムスタンプ	အချိန်တံဆိပ်
IPアドレス	IP လိပ်စာ
ユーザーエージェント	အသုံးပြုသူ ကိုယ်စားလှယ်
イベント	ပွဲ
IPアドレスのデータはありません	IP လိပ်စာအတွက် ဒေတာမရှိပါ။
EU GDPR対応	EU GDPR နှင့် ကိုက်ညီခြင်း
無効	မမှန်ကန်ပါ
有効	မှန်ကန်သော
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	သင်သည် ဥရောပသမဂ္ဂအတွင်းတွင် WordPress ကို အသုံးပြုနေပါက သို့မဟုတ် သင့်ဝက်ဘ်ဆိုဒ်သည် ဥရောပသမဂ္ဂအတွင်းရှိ အသုံးပြုသူများကို ရည်ရွယ်ထားပါက ဤအင်္ဂါရပ်ကို ဖွင့်ထားကြောင်း သေချာစေပါ။
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' ခလုတ်သည် 'Agree' သို့မဟုတ် 'Disagree' အဖြစ် ပြောင်းလဲသွားမည်ဖြစ်ပြီး လုပ်ဆောင်ပုံလည်း အနည်းငယ် ပြောင်းလဲသွားမည်။
同意画面の色	သဘောတူခွင့်ပေး မျက်နှာပြင်၏ အရောင်
自動	အလိုအလျောက်
ライトモード	အလင်းမုဒ်
ダークモード	အမှောင်မုဒ်
同意画面表示中の配色を設定します	သဘောတူခွင့်ပေးမည့် မျက်နှာပြင်အတွက် အရောင်စနစ်ကို သတ်မှတ်ပါ။
同意画面中のコンテンツのぼかし	သဘောတူခွင့်ပေးမည့် မျက်နှာပြင်ပေါ်တွင် အကြောင်းအရာ မှိုကွက်ခြင်း
同意画面表示中のコンテンツのぼかし具合を設定します	သဘောတူခွင့်ပေးမည့် မျက်နှာပြင်ပေါ်တွင် ပြသမည့် အကြောင်းအရာများအတွက် မှုန်ကွဲမှု အဆင့်ကို သတ်မှတ်ပါ။
同意画面の透過	သဘောတူခွင့်ပေး မျက်နှာပြင်၏ ထင်ရှားမှု
透過なし	ရှင်းလင်းမြင်သာမှုမရှိခြင်း
同意画面の透過具合を設定します	သဘောတူခွင့်ပေးမည့် မျက်နှာပြင်၏ ပွင့်လင်းမြင်သာမှု အဆင့်ကို သတ်မှတ်ပါ။
お知らせの1行目	ကြေညာချက်၏ ပထမဆုံးကြောင်း
初回表示で必ず表示されるメッセージです	ဤစာသားကို စာမျက်နှာကို ပထမဆုံး တင်လိုက်သောအခါ အမြဲပြသသည်။
お知らせの2行目	ကြေညာချက်၏ ဒုတိယကြောင်း
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	ဤစာသားကို EU GDPR အကျုံးဝင်နေစဉ်တွင်သာ ပထမဆုံးပြသမှုတွင် အမြဲတမ်း မြင်တွေ့ရမည်။
お知らせの3行目	ကြေညာချက်၏ တတိယကြောင်း
プライバシーポリシーのリンクの右側に表示されます	၎င်းသည် ကိုယ်ရေးကိုယ်တာမူဝါဒလင့်ခ်၏ ညာဘက်တွင် ပေါ်လာမည်။
非EU向け確認の文字列	EU မဟုတ်သော နိုင်ငံများအတွက် အတည်ပြုစာသား
EU GDPR向け同意するの文字列	EU GDPR အတွက် သဘောတူစာသား
EU GDPR向け同意しないの文字列	EU GDPR အောက်တွင် 'သဘောမတူပါ' ဟုရေးသားထားသော စာသား
プライバシーポリシーの文字列	ကိုယ်ရေးကိုယ်တာ သတင်းအချက်အလက် ကာကွယ်ရေး မူဝါဒ စာသား
プライバシーポリシーのURLはこちらから設定して下さい	ကျေးဇူးပြု၍ ကိုယ်ရေးအချက်အလက်ကာကွယ်ရေးမူဝါဒ၏ URL ကို ဤနေရာတွင် သတ်မှတ်ပါ။
プライバシーポリシーには以下の内容を追加して下さい	ကျေးဇူးပြု၍ အောက်ပါအချက်များကို ကိုယ်ရေးအချက်အလက်ကာကွယ်ရေးမူဝါဒတွင် ထည့်သွင်းပါ။
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	လိမ်လည်မှု လှုပ်ရှားမှုများကို ရှာဖွေရန် IP လိပ်စာကဲ့သို့ အထူးသတ်မှတ်ကိန်းများကို ကွကီးများနှင့် ဒေတာဘေ့စ်တွင် သိမ်းဆည်းထားသည်။ သိမ်းဆည်းထားသော ဒေတာများကို အုပ်ချုပ်သူ၏ ဆုံးဖြတ်ချက်အရ ဖျက်ပစ်သည်။
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	ပုံကာကွယ်မှု ဖွင့်ထားသည့်အခါမှသာ ပုံများကို မှန်ကန်စွာ ပို့ဆောင်နိုင်ရန်၊ IP လိပ်စာနှင့် ပုံဖိုင်အမည် ပါဝင်သည့် ဟက်ရှ်ဒေတာကို ဒေတာဘေ့စ်တွင် ၆၀ မိနစ်အထိ သိမ်းဆည်းထားပါသည်။
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	အသုံးပြုခွင့်စည်းမျဉ်းများကို သတ်မှတ်နေပါက၊ သင့်၏ ကိုယ်ရေးအချက်အလက်ကာကွယ်ရေးမူဝါဒတွင် ထိုစည်းမျဉ်းများသို့ ချိတ်ဆက်ချက်တစ်ခု ထည့်သွင်းထားကြောင်း သေချာစေပါ။
利用規約の文字列	အသုံးပြုမှု စည်းမျဉ်းများ၏ စာသား
利用規約のページ	စည်းမျဉ်းနှင့် သတ်မှတ်ချက်များ စာမျက်နှာ
ページ選択なし	ရွေးထားသော စာမျက်နှာ မရှိပါ
検索エンジン等のURL	ရှာဖွေရေးအင်ဂျင်များအတွက် URL များ စသည်
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	သဘောတူညီချက် မပေးပါက အသုံးပြုသူများကို ပြန်လည်ညွှန်ပြသည့် ရှာဖွေရေးအင်ဂျင်များနှင့် ဆင်တူဆိုဒ်များအတွက် URL ကို သတ်မှတ်ပါ။
デバッグモード、コンソールの警告メッセージ	အမှားရှာဖွေရေးမုဒ်၊ ကွန်ဆိုးလ် သတိပေးစာများ
右クリックの警告メッセージ	ညာဘက်ကလစ်ဖြင့် သတိပေးစာ
印刷、PDF保存の警告メッセージ	PDF အဖြစ် ပုံနှိပ်ခြင်းနှင့် သိမ်းဆည်းခြင်းဆိုင်ရာ သတိပေးစာ
スクリーンショットの警告メッセージ	စကရင်ရှော့တွင် သတိပေးစာသား
