設定	सेटिंग्स
IPログリーダー	आईपी लॉग रीडर
IPアドレスログ	आईपी पता लॉग
全クリア	सभी स्तर पूरे करें
IPログが全て削除されました	सभी आईपी लॉग हटा दिए गए हैं।
ID	आईडी
タイムスタンプ	समय-मुद्रण
IPアドレス	आईपी पता
ユーザーエージェント	उपयोगकर्ता एजेंट
イベント	कार्यक्रम
IPアドレスのデータはありません	आईपी पते के लिए कोई डेटा नहीं है।
EU GDPR対応	ईयू जीडीपीआर का अनुपालन
無効	अमान्य
有効	मान्य
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	यदि आप EU के भीतर वर्डप्रेस का उपयोग कर रहे हैं, या यदि आपकी वेबसाइट EU के भीतर के उपयोगकर्ताओं को लक्षित करती है, तो कृपया सुनिश्चित करें कि यह सक्षम है।
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' बटन 'Agree' या 'Disagree' में बदल जाएगा, और व्यवहार थोड़ा बदल जाएगा।
同意画面の色	सहमति स्क्रीन का रंग
自動	स्वचालित
ライトモード	हल्का मोड
ダークモード	डार्क मोड
同意画面表示中の配色を設定します	सहमति स्क्रीन के लिए रंग योजना सेट करें
同意画面中のコンテンツのぼかし	सहमति स्क्रीन पर सामग्री का धुंधलापन
同意画面表示中のコンテンツのぼかし具合を設定します	सहमति स्क्रीन पर प्रदर्शित सामग्री के लिए धुंधलापन का स्तर निर्धारित करें।
同意画面の透過	सहमति स्क्रीन की पारदर्शिता
透過なし	कोई पारदर्शिता नहीं
同意画面の透過具合を設定します	सहमति स्क्रीन की पारदर्शिता सेट करें
お知らせの1行目	घोषणा की पहली पंक्ति
初回表示で必ず表示されるメッセージです	यह संदेश हमेशा पहली बार पेज लोड होने पर प्रदर्शित होता है।
お知らせの2行目	सूचना की दूसरी पंक्ति
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	यह संदेश केवल तब पहली डिस्प्ले पर हमेशा दिखाई देगा जब EU GDPR लागू होगा।
お知らせの3行目	सूचना की तीसरी पंक्ति
プライバシーポリシーのリンクの右側に表示されます	यह गोपनीयता नीति के लिंक के दाईं ओर दिखाई देगा।
非EU向け確認の文字列	गैर-ईयू देशों के लिए पुष्टि पाठ
EU GDPR向け同意するの文字列	ईयू जीडीपीआर के लिए सहमति पाठ
EU GDPR向け同意しないの文字列	ईयू जीडीपीआर के तहत 'सहमति न दें' के लिए पाठ
プライバシーポリシーの文字列	गोपनीयता नीति का पाठ
プライバシーポリシーのURLはこちらから設定して下さい	कृपया यहां गोपनीयता नीति के लिए URL सेट करें।
プライバシーポリシーには以下の内容を追加して下さい	कृपया निम्नलिखित को गोपनीयता नीति में जोड़ें।
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	धोखाधड़ी की गतिविधि का पता लगाने के लिए, आईपी पते जैसे पहचानकर्ता कुकीज़ और डेटाबेस में संग्रहीत किए जाते हैं। संग्रहीत डेटा प्रशासक के विवेकानुसार हटा दिया जाता है।
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	यह सुनिश्चित करने के लिए कि छवियाँ केवल तभी सही ढंग से वितरित हों जब छवि सुरक्षा सक्षम हो, हम डेटाबेस में आईपी पता और छवि फ़ाइल नाम सहित हैश किए गए डेटा को 60 मिनट तक संग्रहीत करते हैं।
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	यदि आप उपयोग की शर्तें स्थापित कर रहे हैं, तो कृपया सुनिश्चित करें कि आप अपनी गोपनीयता नीति में उनका लिंक शामिल करें।
利用規約の文字列	उपयोग की शर्तों का पाठ
利用規約のページ	नियम और शर्तें पृष्ठ
ページ選択なし	कोई पृष्ठ चयनित नहीं है
検索エンジン等のURL	खोज इंजनों आदि के लिए यूआरएल।
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	उन सर्च इंजनों और समान साइटों के लिए URL सेट करें जो सहमति न दिए जाने पर उपयोगकर्ताओं को रीडायरेक्ट करती हैं।
デバッグモード、コンソールの警告メッセージ	डिबग मोड, कंसोल चेतावनी संदेश
右クリックの警告メッセージ	दाहिने-क्लिक चेतावनी संदेश
印刷、PDF保存の警告メッセージ	PDF के रूप में प्रिंट और सहेजने संबंधी चेतावनी संदेश
スクリーンショットの警告メッセージ	स्क्रीनशॉट में चेतावनी संदेश
スクリーンショットの疑いの警告メッセージ	संदिग्ध स्क्रीनशॉट्स के संबंध में चेतावनी संदेश
テキスト全選択時の警告メッセージ	सभी पाठ चयनित होने पर चेतावनी संदेश
ページ保存の警告メッセージ	पृष्ठ सहेजने संबंधी चेतावनी संदेश
コピー・カットした時に表示するメッセージ	कॉपी या कट करते समय प्रदर्शित संदेश
HTMLソース表示時に表示するメッセージ	HTML स्रोत देखते समय प्रदर्शित करने के लिए संदेश
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML को अस्पष्ट या सुरक्षित करते समय स्रोत कोड के शीर्ष पर प्रदर्शित होने वाला संदेश
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML सुरक्षा के दौरान यदि एक-बारगी प्रमाणीकरण टोकन अमान्य हो तो प्रदर्शित करने के लिए संदेश
CookieやJavascriptが有効でない場合に表示するメッセージ	यदि कुकीज़ या जावास्क्रिप्ट अक्षम हैं तो प्रदर्शित करने के लिए संदेश
実際にはJavascriptが無効時のみ表示されます	वास्तव में, यह केवल तब प्रदर्शित होता है जब जावास्क्रिप्ट अक्षम हो।
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	जब कोई छवि संरक्षित होती है, तो वह डाउनलोड हो जाती है, और उस छवि पर एक संदेश प्रदर्शित होता है
HTML難読化 (圧縮)	HTML अस्पष्टीकरण
一般的なHTML圧縮です、難読化解除のサイトもあります	यह मानक HTML संपीड़न है; ऐसी वेबसाइटें भी हैं जो इसे डिकोड कर सकती हैं।
このオプションを有効にするとview-sourceのログが取得できます	इस विकल्प को सक्षम करने से आप व्यू-सोर्स लॉग प्राप्त कर सकते हैं।
HTML保護	HTML सुरक्षा
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	यह केवल न्यूनतम HTML ही आउटपुट करता है—HTML संपीड़न का उपयोग करने की तुलना में भी कम—और BODY टैग के भीतर की सामग्री बिल्कुल भी आउटपुट नहीं होती।
Firefoxに対しては無効です	यह Firefox पर लागू नहीं होता।
SEOに著しく影響があります	इसका SEO पर महत्वपूर्ण प्रभाव पड़ता है।
HTMLをJavaScriptで描画	जावास्क्रिप्ट का उपयोग करके एचटीएमएल रेंडर करना
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox के काम चलाने के लिए, हम जावास्क्रिप्ट का उपयोग करके HTML को रेंडर करते हैं।
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	जावास्क्रिप्ट रेंडरिंग सक्षम करने से वेबसाइट की लोडिंग गति में काफी कमी आएगी।
画像の保護	छवि संरक्षण
imgタグが呼び出されるごとに画像を保護	जब भी img टैग को कॉल किया जाता है, तो छवि की सुरक्षा करें।
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	पूरे HTML आउटपुट में वर्डप्रेस पर अपलोड की गई सभी छवियों की सुरक्षा करें।
画像をダウンロードから保護します	छवियों को डाउनलोड होने से बचाता है
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	जब इमेज डेटा सुरक्षित होता है, तो हम लगभग सभी डाउनलोड को रोकते हैं, अद्वितीय एक-बार के URL जारी करते हैं, सत्र में संग्रहीत टोकन का उपयोग करके प्रमाणीकरण करते हैं, और PHP के माध्यम से छवियाँ प्रदर्शित करते हैं; यह प्रभावी रूप से लगभग सभी छवि चोरी को रोकता है।
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	जब इमेज डेटा सुरक्षित होता है, तो कैशिंग काम नहीं करती, जिसका मतलब है कि साइट अगली बार विज़िट करने पर धीमी गति से लोड होगी, जिससे SEO प्रभावित होता है।
画像データを保護した時には、データベースの負荷が高くなる可能性があります	छवि डेटा की सुरक्षा करने से डेटाबेस पर लोड बढ़ सकता है।
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	यदि आप 'जब भी img टैग कॉल किया जाए तो छवियों की सुरक्षा करें' चुनते हैं, तो सिस्टम img टैग उत्पन्न होने पर फ़िल्टरिंग लागू करने के लिए add_filter का उपयोग करता है; हालांकि, यह कुछ थीमों के साथ ठीक से काम नहीं कर सकता है।
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	यदि आप 'पूरे HTML आउटपुट में WordPress पर अपलोड की गई सभी छवियों की सुरक्षा करें' चुनते हैं, तो यह प्लगइन लगभग सभी WordPress क्रियाओं को कैप्चर करेगा और सामग्री में प्रत्येक img टैग को संसाधित करेगा। कृपया ध्यान दें कि यह कुछ थीम के साथ ठीक से काम नहीं कर सकता है।
