設定	ਸੈਟਿੰਗਾਂ
IPログリーダー	ਆਈਪੀ ਲੌਗ ਰੀਡਰ
IPアドレスログ	ਆਈਪੀ ਪਤਾ ਲੌਗ
全クリア	ਸਾਰੇ ਪੱਧਰ ਪੂਰੇ ਕਰੋ
IPログが全て削除されました	ਸਾਰੇ IP ਲੌਗ ਮਿਟਾ ਦਿੱਤੇ ਗਏ ਹਨ।
ID	ਪਛਾਣ
タイムスタンプ	ਸਮਾਂ-ਚਿੰਨ੍ਹ
IPアドレス	ਆਈਪੀ ਪਤਾ
ユーザーエージェント	ਉਪਭੋਗਤਾ ਏਜੰਟ
イベント	ਸਮਾਗਮ
IPアドレスのデータはありません	ਇਸ IP ਪਤੇ ਲਈ ਕੋਈ ਡੇਟਾ ਨਹੀਂ ਹੈ।
EU GDPR対応	ਈਯੂ ਜੀਡੀਪੀਆਰ ਦੀ ਪਾਲਣਾ
無効	ਅਵੈਧ
有効	ਮਾਨਯੋਗ
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	ਜੇ ਤੁਸੀਂ EU ਵਿੱਚ WordPress ਵਰਤ ਰਹੇ ਹੋ, ਜਾਂ ਜੇ ਤੁਹਾਡੀ ਵੈਬਸਾਈਟ EU ਦੇ ਉਪਭੋਗਤਾਵਾਂ ਨੂੰ ਨਿਸ਼ਾਨਾ ਬਣਾਉਂਦੀ ਹੈ, ਤਾਂ ਕਿਰਪਾ ਕਰਕੇ ਇਹ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਇਹ ਚਾਲੂ ਹੈ।
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' ਬਟਨ 'Agree' ਜਾਂ 'Disagree' ਵਿੱਚ ਬਦਲ ਜਾਵੇਗਾ, ਅਤੇ ਵਿਹਾਰ ਥੋੜ੍ਹਾ ਬਦਲ ਜਾਵੇਗਾ।
同意画面の色	ਸਹਿਮਤੀ ਸਕ੍ਰੀਨ ਦਾ ਰੰਗ
自動	ਆਟੋਮੈਟਿਕ
ライトモード	ਹਲਕਾ ਮੋਡ
ダークモード	ਗੂੜ੍ਹਾ ਮੋਡ
同意画面表示中の配色を設定します	ਸਹਿਮਤੀ ਸਕ੍ਰੀਨ ਲਈ ਰੰਗ ਸਕੀਮ ਸੈੱਟ ਕਰੋ
同意画面中のコンテンツのぼかし	ਸਹਿਮਤੀ ਸਕ੍ਰੀਨ 'ਤੇ ਸਮੱਗਰੀ ਨੂੰ ਧੁੰਦਲਾ ਕਰਨਾ
同意画面表示中のコンテンツのぼかし具合を設定します	ਸਹਿਮਤੀ ਸਕ੍ਰੀਨ 'ਤੇ ਦਿਖਾਏ ਗਏ ਸਮੱਗਰੀ ਲਈ ਧੁੰਦਲਾਪਣ ਦਾ ਪੱਧਰ ਸੈੱਟ ਕਰੋ।
同意画面の透過	ਸਹਿਮਤੀ ਸਕ੍ਰੀਨ ਦੀ ਪਾਰਦਰਸ਼ਤਾ
透過なし	ਕੋਈ ਪਾਰਦਰਸ਼ਤਾ ਨਹੀਂ
同意画面の透過具合を設定します	ਸਹਿਮਤੀ ਸਕ੍ਰੀਨ ਦੀ ਪਾਰਦਰਸ਼ਤਾ ਸੈੱਟ ਕਰੋ
お知らせの1行目	ਘੋਸ਼ਣਾ ਦੀ ਪਹਿਲੀ ਲਾਈਨ
初回表示で必ず表示されるメッセージです	ਇਹ ਸੁਨੇਹਾ ਹਮੇਸ਼ਾਂ ਪਹਿਲੀ ਵਾਰੀ ਪੰਨਾ ਲੋਡ ਹੋਣ 'ਤੇ ਦਿਖਾਇਆ ਜਾਂਦਾ ਹੈ।
お知らせの2行目	ਨੋਟਿਸ ਦੀ ਦੂਜੀ ਲਾਈਨ
