設定	Stillingar
IPログリーダー	IP-skráningarlestari
IPアドレスログ	Skrá yfir IP-tölur
全クリア	Ljúktu öllum stigum
IPログが全て削除されました	Allir IP-dagbókarfærslur hafa verið eytt
ID	Auðkenni
タイムスタンプ	Tímastimpill
IPアドレス	IP-tala
ユーザーエージェント	Notendaboði
イベント	Viðburður
IPアドレスのデータはありません	Engin gögn eru til fyrir þessa IP-tölu.
EU GDPR対応	Samræmi við GDPR ESB
無効	Ógilt
有効	Gildur
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Ef þú notar WordPress innan ESB, eða ef vefsíðan þín beinist að notendum innan ESB, vinsamlegast vertu viss um að þetta sé virkjað.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Hnappurinn "Staðfesta" mun breytast í "Samþykkja" eða "Synja", og hegðunin mun breytast örlítið.
同意画面の色	Litur samþykkisskjásins
自動	Sjálfvirkur
ライトモード	Léttur hamur
ダークモード	Dimmur hamur
同意画面表示中の配色を設定します	Settu litaskemað fyrir samþykkisskjalið
同意画面中のコンテンツのぼかし	Óskýrleiki efnis á samþykkisskjánum
同意画面表示中のコンテンツのぼかし具合を設定します	Stilla óskýrleika stigs fyrir efni sem birtist á samþykkisskjánum
同意画面の透過	Gagnsæi samþykkisskjásins
透過なし	Engin gagnsæi
同意画面の透過具合を設定します	Stilla gagnsæi samþykkisskjárins
お知らせの1行目	Fyrsta lína tilkynningarinnar
初回表示で必ず表示されるメッセージです	Þessi skilaboð birtast alltaf í fyrsta sinn sem síðunni er hlaðið.
お知らせの2行目	Önnur línan í tilkynningunni
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Þessi skilaboð munu alltaf birtast á fyrstu skjánum aðeins þegar GDPR ESB er í gildi.
お知らせの3行目	Þriðja línan í tilkynningunni
プライバシーポリシーのリンクの右側に表示されます	Það mun birtast til hægri við hlekkinn á persónuverndarstefnuna.
非EU向け確認の文字列	Staðfestingartexti fyrir lönd utan ESB
EU GDPR向け同意するの文字列	Samþykkistexti fyrir ESB persónuverndarreglugerðina
EU GDPR向け同意しないの文字列	Texti fyrir "Ekki veita samþykki" samkvæmt GDPR ESB
プライバシーポリシーの文字列	Texti persónuverndarstefnu
プライバシーポリシーのURLはこちらから設定して下さい	Settu hér vefslóð persónuverndarstefnunnar.
プライバシーポリシーには以下の内容を追加して下さい	Vinsamlegast bætið eftirfarandi við persónuverndarstefnuna.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Til að greina sviksamlega starfsemi eru auðkenni, svo sem IP-tölur, vistuð í smákökum og gagnagrunnum. Geymd gögn eru eytt eftir hentisemi stjórnanda.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Til að tryggja að myndir séu afhentar rétt aðeins þegar myndavörn er virk, geymum við hashuð gögn sem innihalda IP-tölu og myndaskránaverknafn í gagnagrunninum í allt að 60 mínútur.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Ef þú ert að setja upp notkunarskilmála, vinsamlegast tryggðu að þú bætir við hlekk á þá í persónuverndarstefnu þinni.
利用規約の文字列	Texti notkunarskilmála
利用規約のページ	Skilmálar og skilyrði síða
ページ選択なし	Engin síða valin
検索エンジン等のURL	URL-slóðir fyrir leitarvélar o.s.frv.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Settu slóðina fyrir leitarvélar og svipuð vefsvæði sem vísa notendum áfram þegar samþykki er ekki veitt.
デバッグモード、コンソールの警告メッセージ	V villuleitarhamur, viðvörunarboð á konsólunni
右クリックの警告メッセージ	Hægri-smelltu viðvörunarboðskap
印刷、PDF保存の警告メッセージ	Viðvörunarboð um prentun og vistun sem PDF
スクリーンショットの警告メッセージ	Viðvörunarboðskapur í skjámyndinni
スクリーンショットの疑いの警告メッセージ	Viðvörunarboð um grunsamleg skjámyndir
テキスト全選択時の警告メッセージ	Viðvörunarboðskapur þegar allt textinn er valið
