設定	Танзимот
IPログリーダー	Хондагири логҳои IP
IPアドレスログ	Сабти суроғаи IP
全クリア	Ҳама сатҳҳоро ба итмом расонед
IPログが全て削除されました	Ҳамаи сабтҳои IP ҳазф карда шуданд.
ID	Шиноснома
タイムスタンプ	Нишонаи вақт
IPアドレス	Суроғаи IP
ユーザーエージェント	Агенти корбар
イベント	Чорабинӣ
IPアドレスのデータはありません	Барои ин суроғаи IP маълумот вуҷуд надорад.
EU GDPR対応	Риояи GDPR-и Иттиҳоди Аврупо
無効	Нодуруст
有効	Дуруст
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Агар шумо дар Иттиҳоди Аврупо WordPress-ро истифода мебаред ё вебсайти шумо ба корбарони Иттиҳоди Аврупо нигаронида шудааст, лутфан итминон ҳосил кунед, ки ин фаъол карда шудааст.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Тугмаи «Тасдиқ» ба «Розиям» ё «Розигӣ надорам» табдил меёбад ва рафтор каме тағйир меёбад.
同意画面の色	Ранги экрани розият
自動	Автоматӣ
ライトモード	Режими сабук
ダークモード	Режими торик
同意画面表示中の配色を設定します	Схемаи рангҳоро барои экрани розигирӣ муқаррар кунед
同意画面中のコンテンツのぼかし	Номаълумсозии мундариҷа дар экрани розигӣ
同意画面表示中のコンテンツのぼかし具合を設定します	Сатҳи туманӣ кардани мундариҷаеро, ки дар экрани розигӣ нишон дода мешавад, муқаррар кунед.
同意画面の透過	Шаффофияти экрани розигӣ
透過なし	Шаффофият нест
同意画面の透過具合を設定します	Шаффофияти экрани розигиро муқаррар кунед
お知らせの1行目	Сатри аввали эълон
初回表示で必ず表示されるメッセージです	Ин паём ҳамеша дар бори аввал бор шудани саҳифа намоиш дода мешавад.
お知らせの2行目	Сатри дуюми огоҳнома
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ин паём ҳамеша дар намоиши аввал танҳо вақте пайдо мешавад, ки GDPR-и Иттиҳоди Аврупо амал мекунад.
お知らせの3行目	Сатри сеюми огоҳнома
プライバシーポリシーのリンクの右側に表示されます	Он дар тарафи рости истинод ба Сиёсати махфият пайдо мешавад.
非EU向け確認の文字列	Матни тасдиқ барои кишварҳои ғайри Иттиҳоди Аврупо
EU GDPR向け同意するの文字列	Матни розигӣ барои GDPR-и Иттиҳоди Аврупо
EU GDPR向け同意しないの文字列	Матн барои «Розигӣ надиҳед» дар доираи GDPR-и Иттиҳоди Аврупо
プライバシーポリシーの文字列	Матни сиёсати махфият
プライバシーポリシーのURLはこちらから設定して下さい	Лутфан URL-ро барои сиёсати махфият дар ин ҷо муқаррар кунед.
