設定	Setelan
IPログリーダー	Pembaca Log IP
IPアドレスログ	Cathetan alamat IP
全クリア	Rampungna kabeh tingkat
IPログが全て削除されました	Kabeh log IP wis dibusak
ID	Identifikasi
タイムスタンプ	Cap wektu
IPアドレス	Alamat IP
ユーザーエージェント	Agen pangguna
イベント	Acara
IPアドレスのデータはありません	Ora ana data kanggo alamat IP iki
EU GDPR対応	Patuh marang GDPR EU
無効	Ora sah
有効	Bener
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Yen sampeyan nggunakake WordPress ing Uni Éropa, utawa yen situs web sampeyan ditujokake kanggo pangguna ing Uni Éropa, mangga priksa manawa iki wis diaktifake.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Tombol 'Konfirmasi' bakal owah dadi 'Setuju' utawa 'Ora Setuju', lan prilakune bakal rada owah.
同意画面の色	Werna layar persetujuan
自動	Oto
ライトモード	Mode entheng
ダークモード	Mode Peteng
同意画面表示中の配色を設定します	Atur skéma warna kanggo layar persetujuan
同意画面中のコンテンツのぼかし	Kabur isi ing layar persetujuan
同意画面表示中のコンテンツのぼかし具合を設定します	Atur tingkat kabur kanggo konten sing ditampilake ing layar persetujuan
同意画面の透過	Keterbukaan layar persetujuan
透過なし	Ora ana transparansi
同意画面の透過具合を設定します	Atur transparansi layar persetujuan
お知らせの1行目	Garis pisanan saka pangumuman
初回表示で必ず表示されるメッセージです	Pesen iki tansah ditampilake pisanan nalika kaca dimuat.
お知らせの2行目	Baris kapindho saka kabar
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Pesen iki bakal tansah katon mung ing tampilan kapisan nalika EU GDPR wis berlaku.
お知らせの3行目	Baris katelu saka kabar
プライバシーポリシーのリンクの右側に表示されます	Iku bakal katon ing sisih tengen pranala menyang Kebijakan Privasi.
非EU向け確認の文字列	Tèks konfirmasi kanggo negara non-Uni Éropa
EU GDPR向け同意するの文字列	Tèks persetujuan kanggo GDPR EU
EU GDPR向け同意しないの文字列	Tèks kanggo 'Aja sarujuk' miturut GDPR EU
プライバシーポリシーの文字列	Tèks kabijakan privasi
プライバシーポリシーのURLはこちらから設定して下さい	Mangga atur URL kanggo kabijakan privasi ing kene.
プライバシーポリシーには以下の内容を追加して下さい	Mangga tambahi ing ngandhap iki ing Kebijakan Privasi.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Kanggo ndeteksi aktivitas penipuan, identifikasi kaya alamat IP disimpen ing cookie lan basis data. Data sing disimpen bakal diilangi miturut kaputusan administrator.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Supaya gambar dikirim kanthi bener mung nalika proteksi gambar diaktifake, kita nyimpen data hashed sing ngemot alamat IP lan jeneng file gambar ing basis data nganti 60 menit.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Yen sampeyan nyetel Syarat Panggunaan, priksa manawa sampeyan nyakup pranala menyang syarat kasebut ing Kebijakan Privasi sampeyan.
利用規約の文字列	Tèks syarat panggunaan
利用規約のページ	Kaca Syarat lan Ketentuan
ページ選択なし	Ora ana kaca sing dipilih
検索エンジン等のURL	URL kanggo mesin telusur, lsp.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Atur URL kanggo mesin telusur lan situs sing padha sing ngarahake pangguna nalika persetujuan ora diwenehake.
デバッグモード、コンソールの警告メッセージ	Mode debug, pesen peringatan ing konsol
右クリックの警告メッセージ	Pesen peringatan klik-tengen
印刷、PDF保存の警告メッセージ	Pesen peringatan babagan nyithak lan nyimpen minangka PDF
スクリーンショットの警告メッセージ	Pesen peringatan ing tangkapan layar
スクリーンショットの疑いの警告メッセージ	Pesen peringatan babagan tangkapan layar sing diduga
テキスト全選択時の警告メッセージ	Pesen peringatan nalika kabeh teks dipilih
