設定	Paramètres
IPログリーダー	Lector de registres IP
IPアドレスログ	Jornal de las adreças IP
全クリア	Completar totes los nivèls
IPログが全て削除されました	Totes los registres IP an estat suprimits.
ID	Identificant
タイムスタンプ	Marca de temps
IPアドレス	Adreça IP
ユーザーエージェント	Agent d'utilizaire
イベント	Eveniment
IPアドレスのデータはありません	I a pas de donadas per aquesta adreça IP.
EU GDPR対応	Conformitat amb lo RGPD de l'UE
無効	Invalid
有効	Valid
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Se utilizatz WordPress dins l'UE, o se vòstre sit web es destinat a d'utilizaires dins l'UE, asseguratz-vos que siá activat.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Lo boton «Confirmar» se transformarà en «Acordar» o «Discordar», e lo comportament cambiarà un pauc.
同意画面の色	Color de l'ecran de consentiment
自動	Automatic
ライトモード	Mòde clar
ダークモード	Mòde escur
同意画面表示中の配色を設定します	Establir l'esquema de colors per l'ecran de consentiment.
同意画面中のコンテンツのぼかし	Floutatge del contengut sus l'ecran de consentiment
同意画面表示中のコンテンツのぼかし具合を設定します	Reglar lo nivèl de flou pel contengut afichat sus l'ecran de consentiment
同意画面の透過	Transparéncia de l'ecran de consentiment
透過なし	Pas de transparéncia
同意画面の透過具合を設定します	Establir la transparéncia de l'ecran de consentiment
お知らせの1行目	Primièra linha de l'anóncia
初回表示で必ず表示されるメッセージです	Aqueste messatge s'aficha totjorn la primièra vegada que la pagina se carga.
お知らせの2行目	La segonda linha de l'avís
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Aqueste messatge apareisserà totjorn sul primièr afichatge solament quand lo RGPD de l'UE serà en vigor.
お知らせの3行目	La tresena linha de l'avís
プライバシーポリシーのリンクの右側に表示されます	Aparirà a la drecha del ligam cap a la politica de privacitat.
非EU向け確認の文字列	Tèxte de confirmacion per los païses non-UE
EU GDPR向け同意するの文字列	Tèxte de consentiment per lo RGPD de l'UE
EU GDPR向け同意しないの文字列	Tèxte per «Non consentir» jos lo RGPD de l'UE
プライバシーポリシーの文字列	Tèxte de la politica de confidencialitat
プライバシーポリシーのURLはこちらから設定して下さい	Mercés de metre l'URL de la politica de confidencialitat aicí.
プライバシーポリシーには以下の内容を追加して下さい	Mercés d'apondre çò que seguís a la Politica de Confidencialitat.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Per detectar d'activitats fraudolentas, d'identificadors coma las adreças IP son emmagazinats dins de cookies e dins la basa de donadas. Las donadas emmagazinadas son suprimidas a la discrecion de l'administrator.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Per assegurar que las imatges sián liuradas corrèctament solament quand la proteccion de las imatges es activada, emmagazinam dins la basa de donadas, pendent fins a 60 minutas, de donadas hashadas que comprenon l'adreça IP e lo nom de fichièr de l'imatge.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Se establissètz de Condicions d'Utilizacion, asseguratz-vos d'inclure un ligam cap a elas dins vòstra Politica de Confidencialitat.
利用規約の文字列	Tèxte de las Condicions d'Utilizacion
利用規約のページ	Pagina dels tèrmes e condicions
ページ選択なし	Cap de pagina seleccionada
検索エンジン等のURL	URLs pels motors de recèrca, etc.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Establir l'URL pels motors de recèrca e los sites similars que redirigisson los utilizaires quand lo consentiment es pas donat.
デバッグモード、コンソールの警告メッセージ	Mòde de depuracion, messatges d'avertiment de la consola
右クリックの警告メッセージ	Messatge d'avertiment amb clic drech
印刷、PDF保存の警告メッセージ	Messatge d'avertiment concernent l'impression e l'enregistrament en PDF
スクリーンショットの警告メッセージ	Messatge d'avertiment dins la captura d'ecran
スクリーンショットの疑いの警告メッセージ	Messatge d'avertiment concernent de capturas d'ecran presumidas
テキスト全選択時の警告メッセージ	Messatge d'avertiment quand tot lo tèxte es seleccionat
ページ保存の警告メッセージ	Messatge d'avertiment concernent l'enregistrament de la pagina
コピー・カットした時に表示するメッセージ	Messatge afichat quand se copia o se talha
HTMLソース表示時に表示するメッセージ	Messatge d'afichar quand se consulta lo còdi font HTML
