設定	איינשטעלונגען
IPログリーダー	IP לאָג לייענער
IPアドレスログ	לאָג פֿון IP-אַדרעסן
全クリア	פֿאַרענדיק אַלע לעוועלס
IPログが全て削除されました	אַלע IP־לאָגס זענען אויסגעמעקט געוואָרן.
ID	אידענטיפיקאַציע
タイムスタンプ	צײַט־שטעמפּל
IPアドレス	IP-אַדרעס
ユーザーエージェント	באַניצער־אַגענט
イベント	געשעעניש
IPアドレスのデータはありません	עס זענען נישט קיין דאַטן פֿאַר דער IP-אַדרעס.
EU GDPR対応	איינהאַלטונג פֿון דער אי״יו גאָדפּי
無効	ניט גילטיק
有効	גילטיק
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	אויב איר ניצט WordPress אינעם אייראפעישן פאראייניקונג, אָדער אויב אייער וועבזייטל ריכט זיך צו באַניצער אינעם אייראפעישן פאראייניקונג, ביטע זייט זיכער אַז דאָס איז אַקטיוו.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	דער "באַשטעטיקן"-קנעפּל וועט זיך טוישן צו "איינשטימען" אָדער "נישט איינשטימען", און די אויפֿפֿירונג וועט זיך אַ ביסל טוישן.
同意画面の色	פֿאַרב פֿונעם צוזימונג־עקראַן
自動	אױטאָמאַטיש
ライトモード	ליכטיקער מאָדע
ダークモード	טונעלקער מאָדע
同意画面表示中の配色を設定します	שטעלט די קאָליר־סכעמע פֿאַרן צוזימונג־עקראַן
同意画面中のコンテンツのぼかし	פֿאַרווישן פֿון אינהאַלט אויפֿן הסכּמה־עקראַן
同意画面表示中のコンテンツのぼかし具合を設定します	שטעלט אײַן די מדרגה פֿון פֿאַרוואַסערונג פֿאַר דעם אינהאַלט וואָס ווערט געוויזן אויפֿן צוזימונג־עקראַן
同意画面の透過	טראַנספּאַרענץ פֿונעם צוזימונג־עקראַן
透過なし	קיין דורכזיכטיקייט
同意画面の透過具合を設定します	שטעלט די דורכזיכטיקייט פֿונעם הסכּמה־עקראַן
お知らせの1行目	ערשטע שורה פֿון דער מעלדונג
初回表示で必ず表示されるメッセージです	די אָנזאָג ווערט שטענדיק געוויזן דעם ערשטן מאָל ווען די זײַט לאָדירט ווערט.
お知らせの2行目	די צווייטע שורה פֿון דער מעלדונג
