設定	Կարգավորումներ
IPログリーダー	IP գրանցումների ընթերցիչ
IPアドレスログ	IP հասցեների օրագրություն
全クリア	Ավարտեք բոլոր մակարդակները
IPログが全て削除されました	Բոլոր IP-լոգերը ջնջվել են
ID	Իդ
タイムスタンプ	Ժամանակադրոշմ
IPアドレス	IP հասցե
ユーザーエージェント	Օգտվող գործակալ
イベント	Միջոցառում
IPアドレスのデータはありません	Այս IP հասցեի համար տվյալներ չկան։
EU GDPR対応	ԵՄ GDPR-ի պահանջներին համապատասխանություն
無効	Անվավեր
有効	Վավեր
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Եթե դուք օգտագործում եք WordPress-ը ԵՄ-ում կամ ձեր կայքը ուղղված է ԵՄ օգտատերերին, խնդրում ենք համոզվել, որ սա միացված է։
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	«Հաստատել» կոճակը կփոխվի «Համաձայն եմ» կամ «Համաձայն չեմ» կոճակների, և վարքագիծը մի փոքր կփոխվի։
同意画面の色	Համաձայնության էկրանին գույնը
自動	Ավտոմատ
ライトモード	թեթև ռեժիմ
ダークモード	Խավար ռեժիմ
同意画面表示中の配色を設定します	Տեղադրեք համաձայնության էկրանի գունային սխեման
同意画面中のコンテンツのぼかし	Համաձայնության էկրանին բովանդակության մշուշացում
同意画面表示中のコンテンツのぼかし具合を設定します	Սահմանեք համաձայնության էկրանին ցուցադրվող բովանդակության մշուշման մակարդակը։
同意画面の透過	Համաձայնության էկրանին թափանցիկություն
透過なし	Չկա թափանցիկություն
同意画面の透過具合を設定します	Տեղադրեք համաձայնության էկրանին թափանցիկությունը
お知らせの1行目	Հայտարարության առաջին տողը
初回表示で必ず表示されるメッセージです	Այս հաղորդագրությունը միշտ ցուցադրվում է էջը առաջին անգամ բեռնելիս։
お知らせの2行目	Ծանուցման երկրորդ տողը
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Այս հաղորդագրությունը միշտ կհայտնվի միայն առաջին էկրանին, երբ ԵՄ GDPR-ը ուժի մեջ է։
お知らせの3行目	Ծանուցման երրորդ տողը
プライバシーポリシーのリンクの右側に表示されます	Այն կհայտնվի Գաղտնիության քաղաքականության հղման աջ կողմում։
非EU向け確認の文字列	Հաստատման տեքստ ոչ ԵՄ երկրների համար
EU GDPR向け同意するの文字列	ԵՄ GDPR համաձայնության տեքստ
EU GDPR向け同意しないの文字列	ԵՄ GDPR-ի «Մի համաձայնվեք» տեքստը
プライバシーポリシーの文字列	Գաղտնիության քաղաքականության տեքստ
プライバシーポリシーのURLはこちらから設定して下さい	Խնդրում ենք այստեղ նշել գաղտնիության քաղաքականության URL-ը։
プライバシーポリシーには以下の内容を追加して下さい	Խնդրում ենք ավելացնել հետևյալը Գաղտնիության քաղաքականության մեջ։
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Խարդախության գործունեությունը հայտնաբերելու համար նույնականացուցիչներ, ինչպիսիք են IP հասցեները, պահվում են cookie-ներում և տվյալների բազայում։ Պահպանված տվյալները ջնջվում են ադմինիստրատորի հայեցողությամբ։
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Որպեսզի պատկերները ճիշտ առաքվեն միայն այն դեպքում, երբ պատկերի պաշտպանությունը ակտիվացված է, մենք տվյալների բազայում մինչև 60 րոպե պահպանում ենք IP հասցեն և պատկերի ֆայլի անունը պարունակող հեշացված տվյալները։
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Եթե դուք կազմում եք Օգտման պայմանները, խնդրում ենք համոզվել, որ դրանց հղումը ներառված է ձեր Գաղտնիության քաղաքականությունում։
利用規約の文字列	Օգտագործման պայմանների տեքստը
利用規約のページ	Պայմաններ և դրույթներ էջ
ページ選択なし	Ընտրված էջ չկա
検索エンジン等のURL	Որոնիչների URL-ներ և այլն։
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Սահմանեք URL-ը որոնողական համակարգերի և նմանատիպ կայքերի համար, որոնք օգտվողներին վերաուղղում են, եթե համաձայնություն չի տրվել։
デバッグモード、コンソールの警告メッセージ	Սխալների հայտնաբերման ռեժիմ, կոնսոլի նախազգուշացնող հաղորդագրություններ
右クリックの警告メッセージ	Աջ կտտոցով նախազգուշացնող հաղորդագրություն
印刷、PDF保存の警告メッセージ	Զգուշացում տպելու և PDF-ով պահպանելու վերաբերյալ
スクリーンショットの警告メッセージ	Սքրինշոթում նախազգուշացնող հաղորդագրություն
スクリーンショットの疑いの警告メッセージ	Կասկածվող էկրանային նկարների վերաբերյալ նախազգուշացնող հաղորդագրություն
テキスト全選択時の警告メッセージ	Բոլոր տեքստը ընտրված լինելու դեպքում նախազգուշացնող հաղորդագրություն
ページ保存の警告メッセージ	Էջի պահպանման վերաբերյալ նախազգուշացում
コピー・カットした時に表示するメッセージ	Հաղորդագրություն, որը ցուցադրվում է պատճենելու կամ կտրելու ժամանակ
