設定	تنظیمات
IPログリーダー	خوانندهٔ گزارش‌های IP
IPアドレスログ	سوابق آدرس IP
全クリア	تمام سطوح را کامل کنید
IPログが全て削除されました	تمام گزارش‌های IP حذف شده‌اند
ID	شناسه
タイムスタンプ	برچسب زمانی
IPアドレス	آدرس آی‌پی
ユーザーエージェント	نماینده کاربر
イベント	رویداد
IPアドレスのデータはありません	داده‌ای برای این آدرس IP وجود ندارد.
EU GDPR対応	رعایت GDPR اتحادیه اروپا
無効	نامعتبر
有効	معتبر
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	اگر از وردپرس در اتحادیه اروپا استفاده می‌کنید، یا اگر وب‌سایت شما کاربران داخل اتحادیه اروپا را هدف قرار داده است، لطفاً اطمینان حاصل کنید که این قابلیت فعال باشد.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	دکمه «تأیید» به «موافقم» یا «مخالفم» تغییر خواهد کرد و رفتار آن کمی تغییر خواهد کرد.
同意画面の色	رنگ صفحهٔ رضایت‌نامه
自動	خودکار
ライトモード	حالت سبک
ダークモード	حالت تاریک
同意画面表示中の配色を設定します	قالب رنگ صفحهٔ رضایت را تنظیم کنید
同意画面中のコンテンツのぼかし	تار شدن محتوا در صفحهٔ رضایت‌نامه
同意画面表示中のコンテンツのぼかし具合を設定します	سطح تاری برای محتوای نمایش‌داده‌شده در صفحهٔ رضایت را تنظیم کنید.
同意画面の透過	شفافیت صفحهٔ رضایت‌نامه
透過なし	شفافیت وجود ندارد
同意画面の透過具合を設定します	شفافیت صفحه رضایت را تنظیم کنید
お知らせの1行目	اولین خط اطلاعیه
初回表示で必ず表示されるメッセージです	این پیام همیشه اولین باری که صفحه بارگذاری می‌شود نمایش داده می‌شود.
お知らせの2行目	خط دوم اطلاعیه
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	این پیام همیشه تنها در اولین نمایش و زمانی که GDPR اتحادیه اروپا اجرایی باشد، نمایش داده می‌شود.
お知らせの3行目	خط سوم اطلاعیه
プライバシーポリシーのリンクの右側に表示されます	این در سمت راست لینک سیاست حفظ حریم خصوصی ظاهر خواهد شد.
非EU向け確認の文字列	متن تأیید برای کشورهای غیر اتحادیه اروپا
EU GDPR向け同意するの文字列	متن رضایت برای GDPR اتحادیه اروپا
EU GDPR向け同意しないの文字列	متن برای «موافقت نکنید» تحت GDPR اتحادیه اروپا
プライバシーポリシーの文字列	متن سیاست حفظ حریم خصوصی
プライバシーポリシーのURLはこちらから設定して下さい	لطفاً URL سیاست حفظ حریم خصوصی را اینجا تنظیم کنید.
プライバシーポリシーには以下の内容を追加して下さい	لطفاً موارد زیر را به سیاست حفظ حریم خصوصی اضافه کنید.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	برای شناسایی فعالیت‌های تقلب‌آمیز، شناسه‌هایی مانند آدرس‌های IP در کوکی‌ها و پایگاه داده ذخیره می‌شوند. داده‌های ذخیره‌شده بنا به صلاحدید مدیر حذف می‌شوند.
