設定	Жөндөөлөр
IPログリーダー	IP журнал окугуч
IPアドレスログ	IP даректеринин журналы
全クリア	Бардык деңгээлдерди бүтүрүңүз
IPログが全て削除されました	Бардык IP журналдары өчүрүлдү.
ID	ID
タイムスタンプ	Убакыт белгиси
IPアドレス	IP дарек
ユーザーエージェント	Колдонуучу агент
イベント	Иш-чара
IPアドレスのデータはありません	Бул IP дарек боюнча маалымат жок.
EU GDPR対応	ЕБ ГДРнын талаптарына ылайык болуу
無効	Жараксыз
有効	Жарактуу
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Эгерде сиз Европа Биримдигинде WordPressти колдонуп жатсаңыз же веб-сайтыңыз Европа Биримдигиндеги колдонуучуларга багытталган болсо, анда бул функциянын күйгүзүлгөнүнө ынанууңузду суранабыз.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	«Тастыктоо» баскычы «Макулмун» же «Макул эмесмин» баскычына өзгөрөт жана жүрүм-турум бир аз өзгөрөт.
同意画面の色	Макулдук экранынын түсү
自動	Автоматтык
ライトモード	Жарык режим
ダークモード	Караңгы режим
同意画面表示中の配色を設定します	Макулдук экраны үчүн түстөр схемасын орнотуңуз
同意画面中のコンテンツのぼかし	Келишүү экранындагы мазмундун бүдөмүк болушу
同意画面表示中のコンテンツのぼかし具合を設定します	Колдонуучунун макулдугун алуу экранында көрсөтүлгөн мазмундун бүдөмүк деңгээлин орнотуңуз.
同意画面の透過	Макулдук экранынын ачыктыгы
透過なし	Ачыктык жок
同意画面の透過具合を設定します	Келишим экранынын тунукдугун орнотуңуз
お知らせの1行目	Жарыянын биринчи сап
初回表示で必ず表示されるメッセージです	Бул билдирүү баракча биринчи жолу жүктөлгөндө ар дайым көрсөтүлөт.
お知らせの2行目	Эскертүүнүн экинчи сапты
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Бул билдирүү EU GDPR күчүнө киргенде гана биринчи дисплейде ар дайым көрсөтүлөт.
お知らせの3行目	Эскертүүнүн үчүнчү саптары
プライバシーポリシーのリンクの右側に表示されます	Ал Купуялык саясаты шилтемесинин оң жагында көрүнөт.
非EU向け確認の文字列	Евробиримдикке кирбеген өлкөлөр үчүн тастыктоочу текст
EU GDPR向け同意するの文字列	ЕБ GDPR үчүн макулдук тексти
EU GDPR向け同意しないの文字列	ЕБ ГДРнын «Макулдук бербеңиз» үчүн текст
プライバシーポリシーの文字列	Жеке маалыматтарды коргоо саясатынын тексти
プライバシーポリシーのURLはこちらから設定して下さい	Жеке купуялык саясатынын URL дарегин бул жерге коюңуз.
プライバシーポリシーには以下の内容を追加して下さい	Жеке купуялык саясатына төмөнкүлөрдү кошуңуз
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Алаяктуу аракеттерди аныктоо үчүн IP даректери сыяктуу идентификаторлор cookie-файлдарда жана маалымат базасында сакталат. Сакталган маалыматтар администратордун чечими боюнча өчүрүлөт.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Сүрөттөрдү коргоо кызматы күйгүзүлгөндө сүрөттөрдүн туура жеткирилишине кепилдик берүү үчүн биз IP-дарек менен сүрөттүн файлынын аты камтылган хешталган маалыматтарды базабызда 60 мүнөткө чейин сактайбыз.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Эгерде сиз Пайдалануу шарттарын түзүп жатсаңыз, анда аларга шилтемени Купуялык саясатыңызга кошконуңузга ынанууңуз керек.
利用規約の文字列	Колдонуу шарттарынын тексти
利用規約のページ	Шарттар жана эрежелер баракчасы
ページ選択なし	Бет тандалган жок
検索エンジン等のURL	Издөө системалары үчүн URL даректер ж.б.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Макулдук берилбегенде башка баракка багытталган издөө системалары жана окшош сайттар үчүн URL дарегин белгилеңиз.
デバッグモード、コンソールの警告メッセージ	Каталарды оңдоо режими, консолдогу эскертүү билдирүүлөр
右クリックの警告メッセージ	Оң чыкылдатуу эскертүү билдирүүсү
印刷、PDF保存の警告メッセージ	PDFке басып чыгаруу жана сактоо боюнча эскертүү билдирүүсү
スクリーンショットの警告メッセージ	Скриншотто эскертүү билдирүүсү
スクリーンショットの疑いの警告メッセージ	Шектүү скриншоттор боюнча эскертүү билдирүүсү
テキスト全選択時の警告メッセージ	Бардык текст тандалганда эскертүү билдирүүсү
ページ保存の警告メッセージ	Бетти сактоо боюнча эскертүү билдирүүсү
コピー・カットした時に表示するメッセージ	Көчүрүү же кесүү учурунда көрсөтүлүүчү билдирүү
HTMLソース表示時に表示するメッセージ	HTML булагын карап жатканда көрсөтүлүүчү билдирүү
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTMLди бурмалоо же коргоо учурунда булак кодунун жогорку бөлүгүндө көрсөтүлүүчү билдирүү
