設定	Mbohekorã
IPログリーダー	Moñe'ẽha IP Kuatiañe'ẽ
IPアドレスログ	IP moñe'ẽrenda
全クリア	Emohu'ã opaite nivelkuéra
IPログが全て削除されました	Opaite IP kuatiakuéra oñemboguepáma.
ID	Téra tee
タイムスタンプ	Ára ha aravo ra'anga
IPアドレス	Moñe'ẽrã apyte
ユーザーエージェント	Puruhára Rembiguái
イベント	Tembiapo
IPアドレスのデータはありません	Ndaipóri dato ko dirección IP-pe guarã.
EU GDPR対応	Oñemoañete GDPR UE pegua
無効	Ndaiporãi
有効	Iporã
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Reipurúrõ WordPress Unión Europea-pe, térã ne ñanduti renda ohekáva puruhárakuéra Unión Europea-pegua, emomba'e porãke oñemyendýpa kóva.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Pe votõ 'Moañete' oñemoambuéne 'Aime' térã 'Ndaiime'-pe, ha pe oikóva iñambue michĩta.
同意画面の色	Jeheja ojehecháva sa'y
自動	Ijeheguiete
ライトモード	Modo ivevúi
ダークモード	Tymba'y Sysýi
同意画面表示中の配色を設定します	Emohenda sa'y ñemohenda pe tembiporu jeheja hag̃ua.
同意画面中のコンテンツのぼかし	Mba'e ojehecháva ñembohypy'a pe tenda oñemoĩháme jeheja
同意画面表示中のコンテンツのぼかし具合を設定します	Emohenda mboýpa oñembohasáta umi mba'e ojehechaukáva ta'anga ñemoneĩrãme.
同意画面の透過	Jehecha porã pe tembiporurã jehejaha
透過なし	Ndaipóri hesakãva
同意画面の透過具合を設定します	Emohenda pe ta'anga jehecha pe tembiporavo ñemoneĩrãme
お知らせの1行目	Marandu ñepyrũha
初回表示で必ず表示されるメッセージです	Ko marandu ojehechauka tapiaite pe kuatiarogue ojepe'a ypy vove.
お知らせの2行目	Marandu tysýi mokõiha
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ko marandu ojehechaukáta tapiaite pe jehechauka peteĩháme añoite, pe EU GDPR oñepyrũ vove oñemba'apo.
お知らせの3行目	Marandu mbohapyha tysýi
プライバシーポリシーのリンクの右側に表示されます	Ojehecháta pe joajuha Tekorã Ñemiguáva rehegua akatúape.
非EU向け確認の文字列	Jehaipyre ñemboaje hag̃ua tetãnguéra ndaha'éiva UE-pegua
EU GDPR向け同意するの文字列	Jeheja jehaipyre UE GDPR-pe guarã
EU GDPR向け同意しないの文字列	Jehaipyre 'Ani eipota' g̃uarã UE GDPR guýpe
プライバシーポリシーの文字列	Ñemiguáva ñe'ẽme'ẽ
プライバシーポリシーのURLはこちらから設定して下さい	Emoĩ ko'ápe pe URL política de privacidad-pe guarã.
プライバシーポリシーには以下の内容を追加して下さい	Emoĩke ko oúva Tekopy Ñeñangarekorãme.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Ojejuhu hag̃ua tembiapo japu, oñeñongatu cookies ha marandu ñongatuhápe techaukaha ha'eháicha dirección IP. Umi marandu oñeñongatúva oñembogue pe sãmbyhyhára oipotaháicha.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Oñembohape porã hag̃ua ta'angakuéra ñemondo oñemoĩ vove ta'anga ñeñangareko, roñongatu marandu oñembohasapyre, oikéva pype IP moñe'ẽha ha ta'anga réra, ore marandu ñongatuhápe 60 aravo peve.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Rembosako'íramo Purukatu Rekorã, emañamína emoĩha peteĩ joajuha hendápekuéra ne Ñemiguáva Ñangareko Apoukapýpe.
利用規約の文字列	Jepuru Rekorã Kuatiañe'ẽ
利用規約のページ	Ñe'ẽme'ẽ ha Tekorã Kuatiarogue
ページ選択なし	Ndaipóri kuatiarogue oñeporavóva
検索エンジン等のURL	URL-kuéra ohekáva vore, ha ambueve.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Emoĩ URL umi hekahavusu ha tenda ojoguávape g̃uarã ombohasáva puruhárape ha'ekuéra ndoipotáiramo.
デバッグモード、コンソールの警告メッセージ	Mba'evai jeheka, marandu ñemomarandurã
右クリックの警告メッセージ	Marandu ñemomarandurã akatúa-pe
印刷、PDF保存の警告メッセージ	Marandu ñemomarandurã oñembokuatia ha oñeñongatu hag̃ua PDF-pe
スクリーンショットの警告メッセージ	Marandu ñemomarandurã ta'anga oñenohẽva'ekuépe
スクリーンショットの疑いの警告メッセージ	Marandu ñemomarandurã ta'anga oñeimo'ãva rehegua
テキスト全選択時の警告メッセージ	Marandu ñemomarandurã oñembohasapa vove opaite jehaipyre
ページ保存の警告メッセージ	Marandu ñemomarandurã kuatiarogue ñongatu rehegua
コピー・カットした時に表示するメッセージ	Marandu ojehechaukáva oñembohasa térã oñeikytĩ jave
HTMLソース表示時に表示するメッセージ	Marandu ojehechaukátava ojehechávo HTML moñepyrũha
HTML難読化・保護時にソースの先頭に表示するメッセージ	Marandu ojehechaukáva yvate gotyo código fuente-pe oñembohasávo térã oñeñangarekóvo HTML-re
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Marandu ojehechaukátava pe token jehechakuaarã peteĩ jeyguáva ndoikóiramo ñeñangareko HTML aja
CookieやJavascriptが有効でない場合に表示するメッセージ	Marandu ojehechaukátava oñemboguejy ramo cookies térã JavaScript
実際にはJavascriptが無効時のみ表示されます	Añetehápe, kóva ojehechauka JavaScript oñemboguejy ramo añoite.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Peteĩ ta'anga oñeñangarekóvo, oñemboguejy ha ojehechauka peteĩ marandu hese
HTML難読化 (圧縮)	HTML ñemokañy
一般的なHTML圧縮です、難読化解除のサイトもあります	Kóva ha'e HTML ñemboguejy jepigua; oĩ avei ñanduti renda ikatuva ombojevy jey.
このオプションを有効にするとview-sourceのログが取得できます	Emoñepyrũvo ko jeporavorã ikatu rehupyty pe marandu jehechauka apytegua.
HTML保護	HTML ñeñangareko
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Omoherakuã sa'ive voi HTML pe HTML ñembomichĩha oiporavóvagui, he'iséva pe oĩva pe etikéta BODY ryepýpe ndojehechaukáiha mba'evéichavérõ.
Firefoxに対しては無効です	Kóva ndaha'éi Firefox-pe g̃uarã.
SEOに著しく影響があります	Kóva oguereko pokatu tuicháva SEO-pe.
HTMLをJavaScriptで描画	HTML apo JavaScript rupive
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox-pe ñamboguata hag̃ua, ñamohechauka pe HTML JavaScript rupive.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript ñembohasa ñemoneĩ omboguejy vaietereíta ñanduti renda ñembopu.
画像の保護	Ta'anga ñeñangareko
imgタグが呼び出されるごとに画像を保護	Eñangareko ta'angáre oñehenói jave pe etikéta img.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Eñangareko opaite ta'anga ojehupi va'ekue WordPress-pe rehe, pe HTML osẽva kompletoitépe.
画像をダウンロードから保護します	Oñangareko ta'angakuérare ani hag̃ua oñemboguejy
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Ta'anga marandu oñeñangarekóvo, rojoko haimete opaite ñemboguejy, rome'ẽ URL ijojaha'ỹva peteĩ jevy guarã, rohechakuaa mávapa pe oipurúva oipurúvo token oñeñongatúva sesión-pe, ha rohechauka ta'angakuéra PHP rupive; kóva añetehápe ojoko haimete opaite ta'anga ñemonda.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Ta'anga marandu oñeñangarekóvo, pe ñongatumi'i ndoikói, upéva he'ise pe tenda oñemoingevetaha mbegueve jevy jevy ojeikévo, ha péicha omyangekói SEO-pe.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Ta'anga marandu ñeñangareko ikatu ombohetave tembiapo marandu ñongatuhápe.
