設定	Täze sazlamalar
IPログリーダー	IP Girişlerini Okýan
IPアドレスログ	IP salgylarynyň ýazgysy
全クリア	Ähli basgançaklary tamamla
IPログが全て削除されました	Ähli IP ýazgylary öçürildi.
ID	ID
タイムスタンプ	Wagt möhüri
IPアドレス	IP salgysy
ユーザーエージェント	Ulanyjy agenti
イベント	Waka
IPアドレスのデータはありません	Bu IP salgysy üçin maglumat ýok.
EU GDPR対応	ÝB GDPR-e laýyklyk
無効	Nädogry
有効	Dogry
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Eger-de siz ÝB-de WordPress ulanýan bolsaňyz ýa-da web sahypaňyz ÝB-de ulanyjylara gönükdirilen bolsa, munuň ýerine ýetirilendigine göz ýetiriň.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Tassyklamak' düwmesi 'Razymyn' ýa-da 'Razym däl' diýip üýtgär, we hereket biraz üýtgär.
同意画面の色	Riza beriş ekranynyň reňki
自動	Awtomatik
ライトモード	Ýeňil režim
ダークモード	Gara režiim
同意画面表示中の配色を設定します	Razylyk ekrany üçin reňk sxemasyny kesgitläň
同意画面中のコンテンツのぼかし	Razylyk ekranyndaky mazmunyň bulanmagy
同意画面表示中のコンテンツのぼかし具合を設定します	Raza ekranynda görkezilýän mazmunyň bulanma derejesini kesgitläň
同意画面の透過	Razylyk ekranynyň aç-açanlygy
透過なし	Açyklyk ýok
同意画面の透過具合を設定します	Razylyk ekranynyň opaklygyny sazlaň
お知らせの1行目	Jikme-jiklikleriň ilkinji setiri
初回表示で必ず表示されるメッセージです	Bu habar sahypa ilkinji gezek ýüklenende hemişe görkezilýär.
お知らせの2行目	Bildirişiň ikinji setiri
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Bu habar diňe EU GDPR güýje gireninde ilkinji ekranda hemişe görünjekdir.
お知らせの3行目	Bildirişiň üçünji setiri
プライバシーポリシーのリンクの右側に表示されます	Ol Gizlinlik syýasatyna baglanyşygyň sag tarapynda görünjek.
非EU向け確認の文字列	ÝB agza däl ýurtlar üçin tassyklama teksti
EU GDPR向け同意するの文字列	ÝB GDPR üçin razylyk teksti
EU GDPR向け同意しないの文字列	ÝB GDPR-iň ' razylyk bermäň' bölümi üçin tekst
プライバシーポリシーの文字列	Gizlinlik syýasatynyň teksti
プライバシーポリシーのURLはこちらから設定して下さい	Şahsyýet goragy syýasatynyň URL salgysyny şu ýere goýuň.
プライバシーポリシーには以下の内容を追加して下さい	Şahsy maglumatlar syýasatyna aşakdakylary goşuň.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Aldawçy hereketleri anyklamak üçin IP salgylary ýaly identifikatorlar kukilerde we maglumatlar bazasynda saklanýar. Saklanan maglumatlar administratoryň islegine görä pozulýar.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Surat goragy işjeňleşdirilen wagty suratlaryň dogry ýerine ýetirilmegini üpjün etmek üçin biz IP salgysy we surat faýlynyň ady bar bolan haşlanan maglumatlary maglumatlar bazamyzda 60 minutlap saklaýarys.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Eger ulanyş şertlerini düzüp goýýan bolsaňyz, olaryň baglanyşygyny gizlinlik syýasatyňyza goşandygyňyza göz ýetiriň.
利用規約の文字列	Ulanyş şertleriniň teksti
利用規約のページ	Şertler we düzgünler sahypasy
ページ選択なし	Sahypa saýlanmady
検索エンジン等のURL	Gözleg motorlary we ş.m. üçin URL-lar
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Ulanyjylar razy bolmadyk halatynda olary başga sahypalara ugradýan gözleg motorlary we şonça meňzeş saýtlaryň URL-ini kesgitläň.
デバッグモード、コンソールの警告メッセージ	Sylag režimi, konsolda duýduryş habarlary
右クリックの警告メッセージ	Sag düwme bilen duýduryş habary
印刷、PDF保存の警告メッセージ	PDF görnüşinde çap etmek we saklamak barada duýduryş habary
スクリーンショットの警告メッセージ	Ekran suratyndaky duýduryş habary
スクリーンショットの疑いの警告メッセージ	Şübheli ekran suratlary barada duýduryş habary
テキスト全選択時の警告メッセージ	Ähli tekst saýlanan wagty duýduryş habary
ページ保存の警告メッセージ	Sahypany ýatda saklamak barada duýduryş habary
コピー・カットした時に表示するメッセージ	Köpeltmek ýa-da kesmek wagtynda görkezilýän habar
HTMLソース表示時に表示するメッセージ	HTML çeşmesini görýän wagty görkeziljek habar
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML-i obfuskirläp ýa-da goranyňda çeşme kodunyň iň ýokarsynda görkeziljek habar
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML goragy wagty bir gezeklik autentifikasiýa tokeni ýatrylsa görkeziljek habar
CookieやJavascriptが有効でない場合に表示するメッセージ	Eger kukiler ýa-da JavaScript öçürilen bolsa, görkeziljek habar
実際にはJavascriptが無効時のみ表示されます	Aslynda, bu diňe JavaScript öçürilen wagty görkezilýär.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Surat gorag astyna alynanda, ol ýüklener we şol suratda
HTML難読化 (圧縮)	HTML koduny bulantmak
