設定	Inställning
IPログリーダー	IP-logg läsare
IPアドレスログ	IP-adresslogg
全クリア	Allt klart.
IPログが全て削除されました	Alla IP-loggar har raderats.
ID	ID
タイムスタンプ	Tidsstämpling
IPアドレス	IP-adress
ユーザーエージェント	Användaragent
イベント	Händelse
IPアドレスのデータはありません	Inga IP-adressuppgifter tillgängliga.
デバッグモード、コンソールの警告メッセージ	Felsökningsläge, varningsmeddelanden i konsolen.
右クリックの警告メッセージ	Högerklicka på varningsmeddelanden.
印刷、PDF保存の警告メッセージ	Varningsmeddelanden för utskrift och lagring av PDF-filer.
スクリーンショットの警告メッセージ	Skärmdump av varningsmeddelanden.
スクリーンショットの疑いの警告メッセージ	Påstådd skärmdump varningsmeddelande.
テキスト全選択時の警告メッセージ	Varningsmeddelande när all text är markerad.
ページ保存の警告メッセージ	Varningsmeddelande om att spara sidan.
コピー・カットした時に表示するメッセージ	Meddelande som visas vid kopiering eller skärning.
HTMLソース表示時に表示するメッセージ	Meddelande som ska visas när HTML-källan visas
HTML難読化・保護時にソースの先頭に表示するメッセージ	Meddelande som ska visas i början av källan när HTML är fördunklad och skyddad.
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Meddelande som visas om token för engångsautentisering är onormal under HTML-skydd.
CookieやJavascriptが有効でない場合に表示するメッセージ	Meddelande som visas om cookies och Javascript inte är aktiverade.
実際にはJavascriptが無効時のみ表示されます	I praktiken är detta endast synligt när Javascript är inaktiverat.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Meddelande som visas på bilden när bilden laddas ner och bilden är skyddad Endast på engelska
HTML難読化 (圧縮)	Fördunkling av HTML
無効	Ogiltig
有効	Giltighet
一般的なHTML圧縮です、難読化解除のサイトもあります	Allmän HTML-komprimering, vissa webbplatser har de-obfuscation.
このオプションを有効にするとview-sourceのログが取得できます	Aktivera detta alternativ för att logga view-source
HTML保護	HTML-skydd
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Endast minimal HTML matas ut efter HTML-komprimering, och innehållet i BODY-taggen matas inte ut alls.
Firefoxに対しては無効です	Gäller inte för Firefox.
SEOに著しく影響があります	Påverkar SEO avsevärt.
HTMLをJavaScriptで描画	Rendering av HTML med JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Rendering av HTML med JavaScript som en Firefox-åtgärd
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Om du aktiverar JavaScript-rendering kommer webbplatsens visningshastighet att sänkas avsevärt
画像の保護	Bildskydd.
imgタグが呼び出されるごとに画像を保護	Skydda bilden varje gång img-taggen anropas.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Skydda alla bilder som laddas upp till Wordpress i all HTML-utdata
画像をダウンロードから保護します	Skyddar bilder från nedladdning.
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Förhindrar nästan helt nedladdning när bilddatan är skyddad, utfärdar en komplett engångs-URL, autentiserar med en token som lagras i sessionen och visar bilden från php, vilket nästan helt förhindrar bildstöld.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	När bilddata är skyddade fungerar inte cachelagring av bilder, så webbplatsen laddas långsammare vid nästa besök, vilket påverkar SEO
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Databasbelastningen kan vara högre när bilddata skyddas
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	För "Skydda bilden varje gång img-taggen anropas", använd add_filter och filter när du publicerar img-taggar, beroende på tema kanske detta inte fungerar korrekt
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	"Skydda alla bilder som laddas upp till Wordpress från all HTML-utdata" kommer att fånga nästan all Wordpress-aktivitet och bearbeta allt om img-taggarna i innehållet. Vissa teman kommer inte att fungera korrekt
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Observera att bilder som anges som iögonfallande sprids som OGP och inte kan skyddas. Om du måste skydda dem kan du ändra valet av utdata för HEAD-taggen när du skyddar HTML i de avancerade inställningarna.
OS標準搭載のスクリーンショット機能を保護することはできません	OS:s standardfunktion för skärmdump kan inte skyddas
画像URLの保護	Skydd av URL:er för bilder
画像の保護と組み合わせて使用します、単体では意味がありません	Det används i kombination med bildskydd och är inte meningsfullt i sig självt.
JavaScriptにより遅延読まれますのでSEOに影響があります	Fördröjd läsning på grund av JavaScript, vilket påverkar SEO
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Utmatning av ASCII-konst i HTML-källkod under fördunkling och skydd av HTML.
表示なし	Ingen indikation
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Visa ASCII-bilder som indikerar avsikten att varna när HTML-källan visas med view-source.
対象アクションを起こした時の表示デザイン	Visa design när målåtgärden utlöses.
黄色の背景の黒文字のベーシックデザイン	Grundläggande design med svarta bokstäver på gul bakgrund
黒色の背景の赤文字のホラー風デザイン	Design i skräckstil med röd text på svart bakgrund.
黒色の背景の赤文字の光る文字のデザイン	Design av glödande röda bokstäver på en svart bakgrund.
対象アクションを起こした時のBGM	BGM när den önskade åtgärden vidtas.
サウンドなし	Ljudlös
戦闘＆戦闘勝利 - 1分16.3秒 - ライセンス：CC2.1 or later	Strid och segrar - 1 min 16.3 sek - Licens: CC2.1 eller senare
おやじ ショート - 3.8秒 - ライセンス GPL2.0 or later (C)EJ	Father Short - 3,8 sekunder - Licens GPL2.0 eller senare
おやじ ロング - 23.5秒 - ライセンス GPL2.0 or later (C)EJ	Father Long - 23,5 sekunder - Licens GPL2.0 eller senare
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - ライセンス：CC BY-ND 4.0 or later	Chopin Etude, Op.10-5, svarta tangenter, maskinskriven version, snabbversion - 1 min 0.0 sek - Licens: CC BY-ND 4.0 eller senare
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - ライセンス：CC BY-ND 4.0 or later	Chopin Etude, Op.10-12 Revolution, maskinskriven version, snabbversion - 1 min 57.6 sek - Licens: CC BY-ND 4.0 eller senare
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - ライセンス：CC BY-ND 4.0 or later	Chopin Scherzo i B-moll, Op2, maskinskriven version, snabb förkortad version - 1 min 48.0 sek - Licens: CC BY-ND 4.0 eller senare
ファンファーレ - 22.3秒 - ライセンス：パブリックドメイン	Fanfare - 22.3 sekunder - Licens: Public domain
レトロ風ファンファーレ - 2.2秒 - ライセンス：パブリックドメイン	Fanfar i retrostil - 2,2 s - Licens: Public domain
レトロ風オープン - 42.1秒 - ライセンス：パブリックドメイン	Öppning i retrostil - 42,1 s - Licens: Public domain
警告表示中のBGMを選択します	Välj bakgrundsmusik under varningsdisplayen.
びっくりするような雰囲気を作ります	Skapa en överraskande atmosfär
Firefoxでは音声ブロックされます	Firefox kommer att blockera ljud.
対象アクションを起こした時のビープ音	Pip-ljud när målåtgärden vidtas.
有効 音量小さ目	Aktiverad Låg volym
有効 音量大き目	Aktiverad Högsta volym
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Ljudsignaler vid alla tangent-/musrörelser under varningsvisning
警告表示中に端末が暴走したかのような雰囲気を作ります	Skapa en atmosfär som om enheten har förlorat kontrollen under varningsdisplayen
対象アクションを起こした時のマウスカーソルの消去	Radering av muspekaren när målåtgärden utförs.
警告表示中にブラウザのエリアのマウスカーソルを消去します	Tydlig muspekare i webbläsarområdet under varningsvisning
デバッグモード	Felsökningsläge
妨害＋記録のみ	Interferens + endast rekord.
妨害＋記録＋表示＋リダイレクト	Avlyssna + registrera + visa + omdirigera
メニューからは操作できてしまいます	Den kan manövreras från menyn.
Firefoxにおけるデバッグモード	Felsökningsläge i Firefox
ブラウザーコンソール	Webbläsarkonsol
事実上デバッグモードから操作できてしまいます	I själva verket kan du arbeta i felsökningsläge.
HTMLソース表示	Visning av HTML-källa
view-source:から始まるURLを入力すれば操作できてしまいます	Den kan manövreras genom att ange en URL som börjar med view-source:.
HTML保護と組み合わせることでコンテンツを保護することができます	I kombination med HTML-skydd kan innehållet skyddas
印刷	Tryckning
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Utskriftsblockering men fungerar inte bra i vissa webbläsare
スクリーンショット	Skärmdump
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Kanske inte kan fångas upp eller upptäckas beroende på operativsystem, webbläsare och metod
ウインドウが背面に移動した時スクリーンショットの疑い	Misstanke om skärmdumpar när fönster flyttas bakåt.
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Dessutom reagerar den även på andra funktioner än skärmdumpar
2キー押下のスクリーンショットの疑い	Misstanke om skärmdumpar med två tangenttryckningar.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Detekteringsmetoden för ovanstående objekt är inte perfekt, förebyggande detektering används.
スクリーンショットだけではなく、デバッグモード等も検出します	Den upptäcker skärmdumpar samt felsökningslägen etc.
ページ保存	Sida spara
右クリック	Högerklicka
アドオンがインストールされていると操作できてしまいます	Den kan användas om tilläggsprogram är installerade.
コピー・カット	Kopiera och klippa
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Beroende på konfigurationen av detta plug-in kan denna händelse sällan nås
テキスト全選択	Urval av fulltext
テキスト選択	Textval
デバッガー妨害	Störning av debugger
デバッグモードの使い勝手を少し悪くします、ブラウザによってはこの挙動が止められてしまいます	Gör felsökningsläget lite mindre användarvänligt, vissa webbläsare stoppar detta beteende
リダイレクトするURL	URL att omdirigera till
利用規約などのページに転送すると良いでしょう	Du kanske vill vidarebefordra dem till sidor som användarvillkoren.
空欄にすると元のURLにリダイレクトをします	Om den lämnas tom kommer den att omdirigera till original-URL:en
リダイレクトまでの時間	Dags att omdirigera.
リダイレクトなし	Ingen omdirigering
1秒	1 sekund
2秒	2 sek.
3秒	3 sekunder.
4秒	4 sekunder.
5秒	5 sekunder.
6秒	6 sek.
7秒	7 sek.
8秒	8 sek.
9秒	9 sek.
10秒	10 sekunder.
15秒	15 sekunder.
20秒	20 sekunder.
25秒	25 sekunder.
30秒	30 sekunder.
35秒	35 sekunder.
40秒	40 sekunder.
45秒	45 sekunder.
50秒	50 sek.
55秒	55 sekunder.
1分	En minut
1分10秒	1 min 10 sek.
1分20秒	1 min 20 sek.
1分30秒	1 minut och 30 sekunder.
1分40秒	1 minut och 40 sekunder.
1分50秒	1 minut och 50 sekunder.
2分	2 minuter
ソース表示を許可する権限	Behörighet att tillåta visning av källan.
ADMINログイン時のみ通常のソース出力	Normal källutgång endast vid ADMIN-inloggning
USERログインで通常のソース出力	Normal källutgång med USER-inloggning
通常のHTML出力を管理者のみかユーザーログインかを選択します	Välj om normal HTML-utskrift endast ska vara för administratörer eller för användarinloggning
画像を無理やりダウンロードして実際にダウンロードされるもの	Det som faktiskt laddas ner genom att tvinga bilden att laddas ner.
GIF形式で1×1ピクセルの透過画像	1 x 1 pixel transparent bild i GIF-format.
PNG形式で1×1ピクセルの透過画像	1 x 1 pixel transparent bild i PNG-format.
PNG形式で黄色い背景の警告画面	Varningsskärm med gul bakgrund i PNG-format.
意味のないHTMLドキュメント	Meningslösa HTML-dokument
HTML保護時のHEADタグの出力	Utmatning av HEAD-taggar under HTML-skydd
出力しない	Ingen utmatning
TITLEタグのみ	Endast TITLE-tagg
WordpressのHEADタグより取得	Hämtas från HEAD-taggen i Wordpress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	För företagsanvändning, t.ex. sidor som endast är avsedda för medlemmar eller interna sidor, räcker det med "ingen utdata" eller "endast TITLE-tagg".
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	OGP-bilder kommer inte att visas i sociala nätverk om de inte hämtas från Wordpress HEAD-taggen
画像botをアクセス禁止にする	Förbud mot bildrobotar.
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます	Genom att undvika bildrobotar i förhållande till HTML skyddas innehåll som inte skulle kunna skyddas av direktlänkar från bildsökning.
AI学習用botをアクセス禁止にする	Förbud mot tillgång till AI-inlärningsrobotar.
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Att undvika att AI:s inlärningsbot använder HTML förhindrar att den används av AI:n, men det löser inte problemet helt och hållet
alertメッセージを表示する言語	Språk på vilket varningsmeddelandet visas.
Wordpressの言語	Wordpress språk.
ブラウザの設定言語	Språk för webbläsarinställningar
メッセージをカスタム設定されている場合は言語を変更できません	Det går inte att ändra språk om meddelandet är anpassat
view-sourceメッセージを表示する言語	Språk på vilket view-source-meddelanden visas.
一時使用トークンの有効期限	Utgångsdatum för tokens för tillfällig användning.
3分	3 min.
4分	4 min.
5分	5 minuter.
6分	6 min.
7分	7 minuter
8分	8 min.
9分	9 min.
10分	10 minuter.
15分	15 minuter.
20分	20 minuter.
25分	25 minuter.
30分	30 minuter.
35分	35 minuter.
40分	40 minuter.
45分	45 minuter.
50分	50 minuter.
55分	55 minuter.
1時間	1 timme
画像URL情報の有効期限を設定します	Ställer in utgångsdatum för URL-informationen för bilden.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	När bilden har laddats in inaktiveras URL-informationen och tokens för tillfällig användning
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Bilden kommer att laddas långsamt, men bilden kommer att tvingas att laddas 30 sekunder före den angivna tiden.
一時使用トークンのビット数	Antal bitar i polletter för tillfällig användning
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Anger styrkan för den tillfälliga användningstoken som används som lösenord för att kryptera URL-informationen för bilden
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Även om intensiteten ökar när du går till de alternativ som anges under rullgardinsmenyn, är belastningen på servern högre och mängden HTML som överförs kan vara högre
ハッシュ化アルゴリズム	Hashing-algoritm
