設定	Mipangilio
IPログリーダー	Soma Kumbukumbu za IP
IPアドレスログ	Kumbukumbu ya anwani za IP
全クリア	Kamilisha ngazi zote
IPログが全て削除されました	Kumbukumbu zote za IP zimefutwa
ID	Kitambulisho
タイムスタンプ	Alama ya muda
IPアドレス	Anwani ya IP
ユーザーエージェント	Wakala wa mtumiaji
イベント	Tukio
IPアドレスのデータはありません	Hakuna data kwa anwani hii ya IP.
EU GDPR対応	Uzingatiaji wa GDPR ya EU
無効	Si halali
有効	Halali
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Ikiwa unatumia WordPress ndani ya Umoja wa Ulaya, au ikiwa tovuti yako inalenga watumiaji ndani ya Umoja wa Ulaya, tafadhali hakikisha hii imewezeshwa.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Kitufe cha 'Thibitisha' kitabadilika kuwa 'Kubaliana' au 'Kutokubaliana', na tabia yake itabadilika kidogo.
同意画面の色	Rangi ya skrini ya idhini
自動	Kiotomatiki
ライトモード	Hali nyepesi
ダークモード	Hali ya Giza
同意画面表示中の配色を設定します	Weka mpangilio wa rangi kwa skrini ya idhini
同意画面中のコンテンツのぼかし	Kufifisha maudhui kwenye skrini ya idhini
同意画面表示中のコンテンツのぼかし具合を設定します	Weka kiwango cha kufifisha maudhui yanayoonekana kwenye skrini ya idhini
同意画面の透過	Uwazi wa skrini ya idhini
透過なし	Hakuna uwazi
同意画面の透過具合を設定します	Weka uwazi wa skrini ya idhini
お知らせの1行目	Mstari wa kwanza wa tangazo
初回表示で必ず表示されるメッセージです	Ujumbe huu huonyeshwa kila mara mara ya kwanza ukurasa unapopakiwa.
お知らせの2行目	Mstari wa pili wa taarifa
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ujumbe huu utaonekana kila mara kwenye onyesho la kwanza tu wakati GDPR ya EU iko katika nguvu.
お知らせの3行目	Mstari wa tatu wa taarifa
プライバシーポリシーのリンクの右側に表示されます	Itatokea upande wa kulia wa kiungo cha Sera ya Faragha.
非EU向け確認の文字列	Uthibitisho wa maandishi kwa nchi zisizo za Umoja wa Ulaya
EU GDPR向け同意するの文字列	Maelezo ya idhini kwa GDPR ya EU
EU GDPR向け同意しないの文字列	Maandishi ya 'Usiruhusu' chini ya GDPR ya Umoja wa Ulaya
プライバシーポリシーの文字列	Maandishi ya sera ya faragha
プライバシーポリシーのURLはこちらから設定して下さい	Tafadhali weka URL ya sera ya faragha hapa
