設定	సెట్టింగ్‌లు
IPログリーダー	ఐపి లాగ్ రీడర్
IPアドレスログ	ఐపి చిరునామా లాగ్
全クリア	అన్ని స్థాయిలను పూర్తి చేయండి
IPログが全て削除されました	అన్ని IP లాగ్‌లు తొలగించబడ్డాయి
ID	గుర్తింపు సంఖ్య
タイムスタンプ	సమయముద్ర
IPアドレス	ఐపి చిరునామా
ユーザーエージェント	వినియోగదారు ఏజెంట్
イベント	కార్యక్రమం
IPアドレスのデータはありません	ఈ IP చిరునామాకు డేటా లేదు
EU GDPR対応	EU GDPRకు అనుగుణ్యత
無効	చెల్లని
有効	చెల్లుబాటు అయ్యే
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	మీరు EUలో WordPressను ఉపయోగిస్తున్నట్లయితే, లేదా మీ వెబ్‌సైట్ EUలోని వినియోగదారులను లక్ష్యంగా చేసుకుంటే, దయచేసి ఇది ప్రారంభించబడిందని నిర్ధారించుకోండి.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'కన్ఫర్మ్' బటన్ 'అంగీకరించు' లేదా 'అంగీకరించకు'గా మారుతుంది, మరియు దాని ప్రవర్తన కొద్దిగా మారుతుంది.
同意画面の色	సమ్మతి స్క్రీన్ రంగు
自動	ఆటోమేటిక్
ライトモード	లైట్ మోడ్
ダークモード	డార్క్ మోడ్
同意画面表示中の配色を設定します	సమ్మతి స్క్రీన్ కోసం రంగుల పథకాన్ని సెట్ చేయండి
同意画面中のコンテンツのぼかし	సమ్మతి స్క్రీన్‌పై కంటెంట్ మసకబారడం
同意画面表示中のコンテンツのぼかし具合を設定します	సమ్మతి స్క్రీన్‌పై ప్రదర్శించబడే కంటెంట్ కోసం మసకబారే స్థాయిని సెట్ చేయండి
同意画面の透過	సమ్మతి స్క్రీన్ యొక్క పారదర్శకత
透過なし	పారదర్శకత లేదు
