設定	Gosodiadau
IPログリーダー	Darllenydd Log IP
IPアドレスログ	Log cyfeiriad IP
全クリア	Cwblhewch yr holl lefelau
IPログが全て削除されました	Mae'r holl logiau IP wedi'u dileu.
ID	Adnabod
タイムスタンプ	Nod amser
IPアドレス	Cyfeiriad IP
ユーザーエージェント	Asiant Defnyddiwr
イベント	Digwyddiad
IPアドレスのデータはありません	Nid oes data ar gyfer y cyfeiriad IP hwn.
EU GDPR対応	Cydymffurfiaeth â GDPR yr UE
無効	Annilys
有効	Dilys
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Os ydych chi'n defnyddio WordPress o fewn yr UE, neu os yw'ch gwefan yn targedu defnyddwyr o fewn yr UE, sicrhewch fod hyn wedi'i alluogi.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Bydd y botwm 'Cadarnhau' yn newid i 'Cytuno' neu 'Anghytuno', a bydd yr ymddygiad yn newid ychydig.
同意画面の色	Lliw'r sgrin cydsyniad
自動	Awtomatig
ライトモード	Modd golau
ダークモード	Modd Tywyll
同意画面表示中の配色を設定します	Gosodwch y cynllun lliwiau ar gyfer y sgrin cydsyniad
同意画面中のコンテンツのぼかし	Cymylu cynnwys ar y sgrin gydsyniad
同意画面表示中のコンテンツのぼかし具合を設定します	Gosodwch lefel y cymylu ar gyfer cynnwys a ddangosir ar y sgrin cydsyniad.
同意画面の透過	Tryloywder y sgrin gydsyniad
透過なし	Dim tryloywder
同意画面の透過具合を設定します	Gosod tryloywder y sgrin cydsyniad
お知らせの1行目	Llinell gyntaf y cyhoeddiad
初回表示で必ず表示されるメッセージです	Caiff y neges hon ei harddangos bob amser y tro cyntaf y llwythir y dudalen.
お知らせの2行目	Ail linell y hysbysiad
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Bydd y neges hon bob amser yn ymddangos ar y sgrin gyntaf yn unig pan fydd GDPR yr UE mewn grym.
お知らせの3行目	Trydedd llinell y hysbysiad
プライバシーポリシーのリンクの右側に表示されます	Bydd yn ymddangos i'r dde o'r ddolen i'r Polisi Preifatrwydd.
非EU向け確認の文字列	Testun cadarnhau ar gyfer gwledydd y tu allan i'r UE
EU GDPR向け同意するの文字列	Testun cydsyniad ar gyfer GDPR yr UE
EU GDPR向け同意しないの文字列	Testun ar gyfer 'Peidio â chydsynio' o dan GDPR yr UE
プライバシーポリシーの文字列	Testun y polisi preifatrwydd
プライバシーポリシーのURLはこちらから設定して下さい	Os gwelwch yn dda, gosodwch yr URL ar gyfer y polisi preifatrwydd yma.
プライバシーポリシーには以下の内容を追加して下さい	Ychwanegwch y canlynol at y Polisi Preifatrwydd.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Er mwyn canfod gweithgarwch twyllodrus, caiff adnabyddwyr fel cyfeiriadau IP eu storio mewn cwcis a'r gronfa ddata. Caiff y data a storir ei ddileu yn ôl disgresiwn y gweinyddwr.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Er mwyn sicrhau bod delweddau'n cael eu danfon yn gywir dim ond pan fydd amddiffyn delweddau wedi'i alluogi, rydym yn storio data wedi'i hasio sy'n cynnwys y cyfeiriad IP ac enw ffeil y ddelwedd yn y gronfa ddata am hyd at 60 munud.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Os ydych chi'n sefydlu Telerau Defnyddio, sicrhewch eich bod yn cynnwys dolen iddynt yn eich Polisi Preifatrwydd.
利用規約の文字列	Testun y Telerau Defnyddio
利用規約のページ	Tudalennau Telerau ac Amodau
ページ選択なし	Dim tudalen wedi'i dewis
検索エンジン等のURL	URLau ar gyfer peiriannau chwilio, ac ati.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Gosodwch yr URL ar gyfer peiriannau chwilio a gwefannau tebyg sy'n ailgyfeirio defnyddwyr pan na roddir cydsyniad.
デバッグモード、コンソールの警告メッセージ	Modd dadfygio, negeseuon rhybudd y consol
右クリックの警告メッセージ	Neges rybudd clicio-de
印刷、PDF保存の警告メッセージ	Neges rybuddio ynglŷn â argraffu a chadw fel PDF
スクリーンショットの警告メッセージ	Neges rybudd yn y sgrinlun
スクリーンショットの疑いの警告メッセージ	Neges rybudd ynghylch sgrinluniau a amheuir
テキスト全選択時の警告メッセージ	Neges rybudd pan fydd yr holl destun wedi'i ddewis
ページ保存の警告メッセージ	Neges rybudd ynglŷn â chadw'r dudalen
コピー・カットした時に表示するメッセージ	Neges a ddangosir wrth gopïo neu dorri
HTMLソース表示時に表示するメッセージ	Neges i'w dangos wrth weld ffynhonnell HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Neges i'w harddangos ar frig y cod ffynhonnell wrth amwysáu neu amddiffyn HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Neges i'w harddangos os yw'r tocyn dilysu untro yn annilys yn ystod amddiffyniad HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Neges i'w dangos os yw cwcis neu JavaScript wedi'u hanalluogi
実際にはJavascriptが無効時のみ表示されます	Mewn gwirionedd, dim ond pan fydd JavaScript wedi'i analluogi y caiff hyn ei arddangos.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Pan amddiffynnir delwedd, caiff ei lawrlwytho, a dangosir neges ar y ddelwedd honno
HTML難読化 (圧縮)	Cymylu
一般的なHTML圧縮です、難読化解除のサイトもあります	Dyma gywasgu HTML safonol; mae yna hefyd wefannau sy'n gallu ei ddatgodio.
このオプションを有効にするとview-sourceのログが取得できます	Mae galluogi'r opsiwn hwn yn caniatáu i chi adfer log ffynhonnell y golwg.
HTML保護	Amddiffyniad HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Mae'n allbwnio'r isafswm llwyr o HTML—hyd yn oed llai na wrth ddefnyddio cywasgu HTML—ac nid yw'r cynnwys o fewn y tag BODY yn cael ei allbwnio o gwbl.
Firefoxに対しては無効です	Nid yw hyn yn berthnasol i Firefox.
SEOに著しく影響があります	Mae hyn yn cael effaith sylweddol ar SEO.
HTMLをJavaScriptで描画	Renderio HTML gan ddefnyddio JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	I weithio o amgylch Firefox, rydym yn rendro'r HTML gan ddefnyddio JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Bydd galluogi rendro JavaScript yn arafu cyflymder llwytho'r wefan yn sylweddol.
画像の保護	Amddiffyn delwedd
imgタグが呼び出されるごとに画像を保護	Amddiffyn y ddelwedd bob tro y gelwir y tag img.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Diogelu'r holl ddelweddau a uwchlwythir i WordPress o fewn yr allbwn HTML cyfan.
画像をダウンロードから保護します	Yn amddiffyn delweddau rhag cael eu lawrlwytho
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Pan amddiffynnir data delweddau, rydym yn atal bron pob lawrlwythiad, yn cyhoeddi URLau untro unigryw, yn dilysu gan ddefnyddio tocynnau a storir yn y sesiwn, ac yn arddangos y delweddau drwy PHP; mae hyn yn atal bron pob achos o ladrata delweddau yn effeithiol.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Pan amddiffynnir data delweddau, nid yw'r storfa'n gweithio, sy'n golygu y bydd y wefan yn llwytho'n arafach ar ymweliadau dilynol, a thrwy hynny'n effeithio ar SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Gall diogelu data delweddau gynyddu'r llwyth ar y gronfa ddata.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Os dewiswch 'Diogelu delweddau pryd bynnag y gelwir tag img', mae'r system yn defnyddio add_filter i gymhwyso hidlo pan fydd y tag img yn cael ei gynhyrchu; fodd bynnag, efallai na fydd hyn yn gweithio'n gywir gyda rhai themâu.
