設定	Innstilling
IPログリーダー	IP-loggleser
IPアドレスログ	IP-adresselogg
全クリア	Alt klart.
IPログが全て削除されました	Alle IP-logger er slettet.
ID	ID
タイムスタンプ	Tidsstempling
IPアドレス	IP-adresse
ユーザーエージェント	Brukeragent
イベント	Arrangement
IPアドレスのデータはありません	Ingen IP-adressedata tilgjengelig.
デバッグモード、コンソールの警告メッセージ	Feilsøkingsmodus, advarselsmeldinger på konsollen.
右クリックの警告メッセージ	Høyreklikk på advarselsmeldinger.
印刷、PDF保存の警告メッセージ	Advarsler ved utskrift og lagring av PDF-filer.
スクリーンショットの警告メッセージ	Skjermbilde av advarselsmeldinger.
スクリーンショットの疑いの警告メッセージ	Påstått skjermbildeadvarsel.
テキスト全選択時の警告メッセージ	Advarselsmelding når all tekst er valgt.
ページ保存の警告メッセージ	Advarselsmelding om lagring av side.
コピー・カットした時に表示するメッセージ	Meldingen vises når du kopierer eller klipper.
HTMLソース表示時に表示するメッセージ	Melding som skal vises når HTML-kilde vises
HTML難読化・保護時にソースの先頭に表示するメッセージ	Melding som skal vises i begynnelsen av kildekode når HTML er obfuskert og beskyttet.
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Melding som vises hvis engangstokenet for autentisering er unormalt under HTML-beskyttelse.
CookieやJavascriptが有効でない場合に表示するメッセージ	Melding som vises hvis informasjonskapsler og Javascript ikke er aktivert.
実際にはJavascriptが無効時のみ表示されます	I praksis er dette bare synlig når Javascript er deaktivert.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Melding som vises på bildet når bildet er lastet ned og bildet er beskyttet Kun på engelsk
HTML難読化 (圧縮)	HTML-tilsløring
無効	Ugyldig
有効	Gyldighet
一般的なHTML圧縮です、難読化解除のサイトもあります	Generell HTML-komprimering, noen nettsteder har de-obfuscation.
このオプションを有効にするとview-sourceのログが取得できます	Aktiver dette alternativet for å logge view-source
HTML保護	HTML-beskyttelse
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Bare minimal HTML skrives ut utover HTML-komprimering, og innholdet i BODY-taggen skrives ikke ut i det hele tatt.
Firefoxに対しては無効です	Ikke gyldig for Firefox.
SEOに著しく影響があります	Påvirker SEO i betydelig grad.
HTMLをJavaScriptで描画	Gjengivelse av HTML med JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Gjengivelse av HTML med JavaScript som et Firefox-tiltak
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Hvis du aktiverer JavaScript-gjengivelse, vil det redusere visningshastigheten på nettstedet betydelig
画像の保護	Bildebeskyttelse.
imgタグが呼び出されるごとに画像を保護	Beskytt bildet hver gang img-taggen kalles.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Beskytt alle bilder som lastes opp til Wordpress i all HTML-utdata
画像をダウンロードから保護します	Beskytter bilder mot nedlasting.
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Forhindrer nesten fullstendig nedlasting når bildedataene er beskyttet, utsteder en komplett engangsadresse, autentiserer med et token som er lagret i økten og viser bildet fra php, og forhindrer dermed nesten fullstendig bildetyveri.
