設定	Caktimet
IPログリーダー	Lexuesi i regjistrave IP
IPアドレスログ	Regjistri i adresave IP
全クリア	Përfundo të gjitha nivelet
IPログが全て削除されました	Të gjitha regjistrimet e IP-ve janë fshirë.
ID	Identifikimi
タイムスタンプ	Stampa kohore
IPアドレス	Adresa IP
ユーザーエージェント	Agjenti i Përdoruesit
イベント	Ngjarje
IPアドレスのデータはありません	Nuk ka të dhëna për këtë adresë IP.
EU GDPR対応	Përputhshmëria me GDPR-n e BE-së
無効	Jo i vlefshëm
有効	Vlefshëm
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Nëse po përdorni WordPress brenda BE-së, ose nëse faqja juaj synon përdorues brenda BE-së, ju lutemi sigurohuni që kjo të jetë e aktivizuar.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Butoni 'Konfirmo' do të ndryshojë në 'Pajtohem' ose 'Nuk pajtohem', dhe sjellja do të ndryshojë pak.
同意画面の色	Ngjyra e ekranit të pëlqimit
自動	Automatik
ライトモード	Modi i lehtë
ダークモード	Modi i errët
同意画面表示中の配色を設定します	Caktoni skemën e ngjyrave për ekranin e pëlqimit
同意画面中のコンテンツのぼかし	Zbehja e përmbajtjes në ekranin e pëlqimit
同意画面表示中のコンテンツのぼかし具合を設定します	Caktoni nivelin e mjegullimit për përmbajtjen e shfaqur në ekranin e pëlqimit
同意画面の透過	Transparenca e ekranit të pëlqimit
透過なし	Asnjë transparencë
同意画面の透過具合を設定します	Caktoni transparencën e ekranit të pëlqimit
お知らせの1行目	Rreshti i parë i njoftimit
初回表示で必ず表示されるメッセージです	Ky mesazh shfaqet gjithmonë herën e parë që faqja ngarkohet.
お知らせの2行目	Rreshti i dytë i njoftimit
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ky mesazh do të shfaqet gjithmonë në ekranin e parë vetëm kur Rregullorja e Përgjithshme e Mbrojtjes së të Dhënave të BE-së
お知らせの3行目	Rreshti i tretë i njoftimit
プライバシーポリシーのリンクの右側に表示されます	Do të shfaqet në të djathtën e lidhjes për Politikën e Privatësisë.
非EU向け確認の文字列	Teksti i konfirmimit për vendet jo-anëtare të BE-së
