設定	Agordoj
IPログリーダー	IP-Loga Legilo
IPアドレスログ	Protokolo de IP-adresoj
全クリア	Kompletigu ĉiujn nivelojn
IPログが全て削除されました	Ĉiuj IP-registroj estis forigitaj.
ID	Identigilo
タイムスタンプ	Tempostampo
IPアドレス	IP-adreso
ユーザーエージェント	Uzanto-agento
イベント	Okazaĵo
IPアドレスのデータはありません	Ne estas datumoj por ĉi tiu IP-adreso.
EU GDPR対応	Konformeco kun la EU-GDPR
無効	Ne valida
有効	Valida
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Se vi uzas WordPress ene de la EU, aŭ se via retejo celas uzantojn ene de la EU, bonvolu certigi, ke tio estas ebligita.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	La butono 'Konfirmi' ŝanĝiĝos al 'Konsenti' aŭ 'Malkonsenti', kaj la konduto iomete ŝanĝiĝos.
同意画面の色	Koloro de la konsenta ekrano
自動	Aŭtomata
ライトモード	Malpeza reĝimo
ダークモード	Malhela reĝimo
同意画面表示中の配色を設定します	Agordu la kolorskemon por la konsenta ekrano.
同意画面中のコンテンツのぼかし	Malklarigo de enhavo sur la konsenta ekrano
同意画面表示中のコンテンツのぼかし具合を設定します	Agordu la nivelon de malklarigo por la enhavo montrata sur la konsenta ekrano.
同意画面の透過	Travidebleco de la konsenta ekrano
透過なし	Neniu travidebleco
同意画面の透過具合を設定します	Agordu la travideblecon de la konsenta ekrano.
お知らせの1行目	Unua linio de la anonco
初回表示で必ず表示されるメッセージです	Ĉi tiu mesaĝo ĉiam aperas la unuan fojon kiam la paĝo estas ŝarĝita.
お知らせの2行目	La dua linio de la avizo
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ĉi tiu mesaĝo ĉiam aperos sur la unua ekrano nur kiam la EU GDPR estos en forto.
お知らせの3行目	La tria linio de la avizo
プライバシーポリシーのリンクの右側に表示されます	Ĝi aperos dekstre de la ligilo al la Privateca Politiko.
非EU向け確認の文字列	Konfirma teksto por ne-EU-landoj
EU GDPR向け同意するの文字列	Teksto pri konsento por la EU-GDPR
EU GDPR向け同意しないの文字列	Teksto por 'Ne konsenti' laŭ la EU-GDPR
プライバシーポリシーの文字列	Teksto de privateca politiko
プライバシーポリシーのURLはこちらから設定して下さい	Bonvolu agordi la URL-on por la privateca politiko ĉi tie.
プライバシーポリシーには以下の内容を追加して下さい	Bonvolu aldoni la jenon al la Privateca Politiko.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Por detekti fraŭdajn agadojn, identigiloj kiel IP-adresoj estas konservataj en kuketoj kaj datumbazoj. La konservitaj datumoj estas forigitaj laŭ la diskrecia decido de la administranto.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Por certigi, ke bildoj estas liverataj ĝuste nur kiam bildprotekto estas aktivigita, ni konservas en la datumbazo, dum ĝis 60 minutoj, la haŝitajn datumojn, kiuj enhavas la IP-adreson kaj la dosiernomon de la bildo.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Se vi starigas Uzkondiĉojn, bonvolu certigi, ke vi inkluzivas ligilon al ili en via Privateca Politiko.
利用規約の文字列	Teksto de la Kondiĉoj de Uzo
利用規約のページ	Paĝo de Kondiĉoj kaj Regularo
ページ選択なし	Neniu paĝo elektita
検索エンジン等のURL	URL-oj por serĉiloj, ktp.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Agordu la URL-on por serĉiloj kaj similaj retejoj, kiuj redirektas uzantojn kiam konsento ne estas donita.
デバッグモード、コンソールの警告メッセージ	Erar-detektada reĝimo, konzolaj avertaj mesaĝoj
右クリックの警告メッセージ	Dekstre-klaka averta mesaĝo
印刷、PDF保存の警告メッセージ	Averto pri presado kaj konservado kiel PDF
スクリーンショットの警告メッセージ	Averta mesaĝo en la ekrana bildo
スクリーンショットの疑いの警告メッセージ	Averto pri suspektataj ekranfotoj
テキスト全選択時の警告メッセージ	Averta mesaĝo kiam la tuta teksto estas elektita
ページ保存の警告メッセージ	Averto pri paĝa konservado
コピー・カットした時に表示するメッセージ	Mesaĝo montrata dum kopiado aŭ eltondado
HTMLソース表示時に表示するメッセージ	Mesaĝo por montri kiam oni rigardas la HTML-fonton
HTML難読化・保護時にソースの先頭に表示するメッセージ	Mesaĝo por montriĝi ĉe la supro de la fontkodo kiam oni obskuras aŭ protektas HTML-on
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Mesaĝo por montri se la unufoja aŭtentiga ĵetono estas malvalida dum HTML-protektado
CookieやJavascriptが有効でない場合に表示するメッセージ	Mesaĝo por montri se kuketoj aŭ JavaScript estas malŝaltitaj
実際にはJavascriptが無効時のみ表示されます	Fakte, ĉi tio montriĝas nur kiam JavaScript estas malŝaltita.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Kiam bildo estas protektita, ĝi estas elŝutita, kaj mesaĝo estas montrata sur tiu bildo
HTML難読化 (圧縮)	HTML-obskurado
一般的なHTML圧縮です、難読化解除のサイトもあります	Ĉi tio estas norma HTML-kompresio; ekzistas ankaŭ retejoj, kiuj povas malkodigi ĝin.
このオプションを有効にするとview-sourceのログが取得できます	Aktivigo de ĉi tiu opcio permesas al vi akiri la fontkoda logon.
HTML保護	HTML-protekto
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ĝi eligas eĉ malpli da HTML ol la agordo por HTML-kunpremado, kio signifas, ke la enhavo ene de la etikedo BODY tute ne estos eldonita.
Firefoxに対しては無効です	Ĉi tio ne aplikiĝas al Firefox.
SEOに著しく影響があります	Ĉi tio havas signifan efikon sur SEO.
HTMLをJavaScriptで描画	Rendado de HTML per JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Por ĉirkaŭiri Firefox, ni redonas la HTML-on per JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Aktivigo de JavaScript-renderado signife malrapidigos la ŝarĝan rapidon de la retejo.
画像の保護	Bildoprotektado
imgタグが呼び出されるごとに画像を保護	Protektu la bildon ĉiufoje kiam la etikedo img estas vokita.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Protektu ĉiujn bildojn alŝutitajn al WordPress en la tuta HTML-elsendo.
画像をダウンロードから保護します	Protektas bildojn kontraŭ elŝuto
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Kiam bildaj datumoj estas protektitaj, ni malhelpas preskaŭ ĉiujn elŝutojn, eldonas unikajn unufojajn URL-ojn, aŭtentigas per sesie stokitaj tokenoj, kaj montras la bildojn per PHP; tio efike malhelpas preskaŭ ĉiun bildŝtelon.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Kiam bildaj datumoj estas protektitaj, kaŝmemorado ne funkcias, kio signifas, ke la retejo ŝarĝiĝos pli malrapide dum postaj vizitoj, tiel influante SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Protekti bildajn datumojn povas pliigi la ŝarĝon sur la datumbazo.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Se vi elektas 'Protekti bildojn ĉiufoje kiam img-etikedo estas vokita', la sistemo uzas add_filter por apliki filtradon kiam la img-etikedo estas generita; tamen tio eble ne funkcios ĝuste kun iuj temoj.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Se vi elektas 'Protekti ĉiujn bildojn alŝutitajn al WordPress en la tuta HTML-elsendo', la kromprogramo kaptos preskaŭ ĉiujn WordPress-operaciojn kaj prilaboros ĉiun img-etikedon en la enhavo. Bonvolu noti, ke tio eble ne funkcios ĝuste kun iuj temoj.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Bonvolu noti, ke bildoj difinitaj kiel ĉefaj bildoj estos dividitaj kiel OGP-datumoj kaj ne povas esti protektitaj. Se vi absolute devas protekti ilin, bonvolu ŝanĝi la agordon por la eligo de la HEAD-etikedo en la altnivelaj agordoj kiam vi ebligas HTML-protekton.
OS標準搭載のスクリーンショット機能を保護することはできません	La ekrana kapta funkcio integrita en la operaciumo ne povas esti protektita.
画像URLの保護	Protektado de bildaj URL-oj
画像の保護と組み合わせて使用します、単体では意味がありません	Ĉi tion oni devas uzi kune kun bildprotekto; per si mem ĝi ne servas al iu ajn celo.
JavaScriptにより遅延読まれますのでSEOに影響があります	Ĉar ĝi estas pigre ŝarĝita per JavaScript, tio influas SEO.
画像のウォーターマーク	Bilda akvomarko
右下	Malsupra dekstra
ランダム位置	Hazarda pozicio
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Uzate kune kun bildprotekto, dinamikaj akvomarkoj klare indikas la kopirajtan posedon, dum ili donas al spektantoj la impreson, ke ili estas observataj, tiel agante kiel malkuraĝigo.
JPG形式、PNG形式、WebP形式のみ対応します	Nur JPG-, PNG- kaj WebP-formatoj estas subtenataj.
有効にするとサーバーの負荷が高くなります	Aktivigo de ĉi tio pliigos la ŝarĝon sur la servilo.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Elprodukti ASCII-arton el HTML-fonkodo dum obskurado kaj protektado
表示なし	Neniu ekrano
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Montras ASCII-arton, kiu indikas averton kiam oni rigardas la HTML-fonton per 'view-source'.
対象アクションを起こした時の表示デザイン	Montru la dezajnon kiam la celita ago estas plenumita.
黄色の背景の黒文字のベーシックデザイン	Baza dezajno kun nigra teksto sur flava fono
黒色の背景の赤文字のホラー風デザイン	Terurstila dezajno kun ruĝa teksto sur nigra fono.
黒色の背景の赤文字の光る文字のデザイン	Dezajno kun brilruĝa teksto sur nigra fono
対象アクションを起こした時のBGM	Fona muziko, kiu ludas kiam la celita ago estas plenumita.
サウンドなし	Neniu sono
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Batalo kaj Venko - 1 minuto 16,3 sekundoj - 630 056 bajtoj - 64 kbps - Licenco: CC 2.1 aŭ pli nova
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Paĉjo Mallonga - 3,8 sekundoj - 32 364 bajtoj - 64 kbps - Licenco: GPL 2.0 aŭ posta
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Longa - 23,5 sekundoj - 195 578 bajtoj - 64 kbps - Licenco: GPL 2.0 aŭ posta
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 Nr. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin-Etudo Op. 10 n-ro 12 'Revolucio' – komputere generita versio, alt-rapida – 1 minuto 57,6 sekundoj – 724 457 bajtoj – 48 kbps – Licenco: CC BY-ND 4.0 aŭ pli nova
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Ĉopino: Skerco en B-bemola minoro, Op. 2 – komputil-generita versio, alt-rapida mallongigita versio – 1 minuto 48,0 sekundoj – 665 369 bajtoj – 48 kbps – Licenco: CC BY-ND 4.0 aŭ pli nova
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Listo: Étude d'Exécution Transcendante Nr. 4, 'Mazeppa' – komputilgenerita versio, alt-rapida mallongigita versio – 1 minuto 51,6 sekundoj – 687 586 bajtoj – 48 kbps – Licenco: CC BY-ND 4.0 aŭ pli nova
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfaro – 22,3 sekundoj – 183 926 bajtoj – 64 kbps – Licenco: Publika havaĵo
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Retro-stila fanfaro – 2,2 sekundoj – 10 536 bajtoj – 32 kbps – Licenco: Publika havaĵo
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Retro-stila enkonduko – 42,1 sekundoj – 179 138 bajtoj – 32 kbps – Licenco: Publika havaĵo
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Averto de ChatGPT - 3,8 sekundoj - 109 700 bajtoj - 256 kbps - Licenco: Publika havaĵo
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Alta urĝeco, sonas kiel alarmo pri malica programaro – Parto 1 de ChatGPT – 3,3 sekundoj – 102 850 bajtoj – 256 kbps – Licenco: Publika havaĵo
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Alta urĝeco, sonas kiel alarmo pri malica programaro, Parto 2 de ChatGPT - 3,3 sekundoj - 103 122 bajtoj - 256 kbps - Licenco: Publika havaĵo
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	MRI-stila sono de ChatGPT – 1 minuto 14,9 sekundoj – 3 340 392 bajtoj – 320 kbps – Licenco: Publika havaĵo
警告表示中のBGMを選択します	Elektu la fonmuzikon por ludi dum averto.
びっくりするような雰囲気を作ります	Ĝi kreas surprizan etoson.
Firefoxでは音声ブロックされます	Aŭdio estas blokita en Firefox.
対象アクションを起こした時のビープ音	Bipo kiam la specifita ago estas plenumita
有効 音量小さ目	Sur, volumo malalta
有効 音量大き目	Aktiva, volumo agordita al alta
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Bipo sonos por ĉiuj klavaj kaj musaj eventoj dum averto estas montrata.
警告表示中に端末が暴走したかのような雰囲気を作ります	Ĝi kreas la impreson, ke la aparato freneziĝis dum la averto estas montrata.
対象アクションを起こした時のマウスカーソルの消去	Kaŝi la muskursoron kiam specifa ago estas farita
警告表示中にブラウザのエリアのマウスカーソルを消去します	Kaŝas la muskursoron en la retumila areo dum montriĝas averto.
デバッグモード	Erar-detekta reĝimo
妨害＋記録のみ	Interfero + Diskoj nur
妨害＋記録＋表示＋リダイレクト	Interfero + Registrado + Montraĵo + Redirektado
メニューからは操作できてしまいます	Vi ankoraŭ povas aliri ĝin per la menuo.
Firefoxにおけるデバッグモード	Erar-detekta reĝimo en Firefox
ブラウザーコンソール	Retumila konzolo
事実上デバッグモードから操作できてしまいます	Fakte, vi povas funkciigi ĝin en maldebuga reĝimo.
HTMLソース表示	Vidi la HTML-fonton
view-source:から始まるURLを入力すれば操作できてしまいます	Vi povas simple plenumi la operacion enigante URL-on, kiu komenciĝas per 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Vi povas protekti vian enhavon per kombino de ĉi tio kun HTML-protekto.
印刷	Presi
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Kvankam ĝi malhelpas presadon, ĝi eble ne funkcios ĝuste en iuj retumiloj.
スクリーンショット	Ekrankopio
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Depende de la operaciumo, retumilo aŭ uzata metodo, eble ne eblas bloki tion, aŭ eble ĝi ne estas detektita.
ウインドウが背面に移動した時スクリーンショットの疑い	Supozata ekranfoto kiam la fenestro moviĝas al la fono
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ĝi ankaŭ respondas al funkcioj krom ekrana kapto
2キー押下のスクリーンショットの疑い	Supozata ekrana kaptaĵo farita premante du klavojn
上の項目の検出方法は完全ではありません、予防的に検出を行います	La detektometodoj por la supre menciitaj eroj ne estas tute fidindaj; detektado estas farata kiel antaŭzorga rimedo.
スクリーンショットだけではなく、デバッグモード等も検出します	Ĝi detektas ne nur ekranaĵojn, sed ankaŭ debug-reĝimojn kaj similajn.
ページ保存	Konservi paĝon
右クリック	Dekstre klaku
アドオンがインストールされていると操作できてしまいます	Se la aldonaĵo estas instalita, vi povos uzi ĝin.
コピー・カット	Kopiu kaj tranĉu
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Depende de la agordoj de ĉi tiu kromaĵo, vi eble malofte renkontos ĉi tiun eventon.
テキスト全選択	Elektu la tutan tekston
テキスト選択	Elektu tekston
デバッガー起動ログ、デバッガー妨害	Komenca protokolo de la erarretrovilo, interfero de la erarretrovilo
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Tio iomete malpliigas la uzantamikalecon de la depana reĝimo kaj registras la fakton, ke la depanilo estis lanĉita; tamen, iuj retumiloj eble blokos ĉi tiun konduton.
リダイレクトするURL	Redirekti URL-on
利用規約などのページに転送すると良いでしょう	Estus bona ideo redirekti uzantojn al paĝoj kiel la Kondiĉoj de Uzo.
空欄にすると元のURLにリダイレクトをします	Se lasita malplena, ĝi redirektos al la originala URL.
リダイレクトまでの時間	Tempo ĝis redirektado
リダイレクトなし	Neniu redirekto
1秒	1 sekundo
2秒	Du sekundoj
3秒	Tri sekundoj
4秒	4 sekundoj
5秒	5 sekundoj
6秒	6 sekundoj
7秒	Sep sekundoj
8秒	Ok sekundoj
9秒	Naŭ sekundoj
10秒	10 sekundoj
15秒	Dek kvin sekundoj
20秒	20 sekundoj
25秒	25 sekundoj
30秒	30 sekundoj
35秒	35 sekundoj
40秒	Kvardek sekundoj
45秒	Kvardek kvin sekundoj
50秒	Kvindek sekundoj
55秒	Kvindek kvin sekundoj
1分	Unu minuto
1分10秒	Unu minuto kaj dek sekundoj
1分20秒	Unu minuto dudek sekundoj
1分30秒	Unu minuto kaj tridek sekundoj
1分40秒	Unu minuto kaj kvardek sekundoj
1分50秒	Unu minuto kvindek sekundoj
2分	Du minutoj
ソース表示を許可する権限	Permeso vidi la fontkodon
ADMINログイン時のみ通常のソース出力	Normala fonto-elsendo nur kiam ensalutita kiel ADMIN
USERログインで通常のソース出力	Normala eligo de la fonto kiam ensalutita kiel USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Elektu, ĉu la norma HTML-elsendo estu limigita al administrantoj nur aŭ ĉu ĝi postulas uzant ensaluton.
画像を無理やりダウンロードして実際にダウンロードされるもの	Devigi bildon al elŝuto kaj kio fakte estas elŝutita
GIF形式で1×1ピクセルの透過画像	1×1-piksela travidebla bildo en GIF-formato
PNG形式で1×1ピクセルの透過画像	1×1-piksela travidebla bildo en PNG-formato
PNG形式で黄色い背景の警告画面	Averta ekrano kun flava fono en PNG-formato
意味のないHTMLドキュメント	Senchava HTML-dokumento
HTML保護時のHEADタグの出力	Eligo de la HEAD-etikedo kiam HTML estas protektita
出力しない	Ne presi
TITLEタグのみ	Nur la TITLE-etikedo
WordpressのHEADタグより取得	Elprenita el la HEAD-etikedo de WordPress
