設定	Налады
IPログリーダー	Чытальнік IP-логаў
IPアドレスログ	Лог IP-адрасоў
全クリア	Здайце ўсе ўзроўні
IPログが全て削除されました	Усе логі IP-адрасоў выдалены.
ID	ID
タイムスタンプ	Часавы штамп
IPアドレス	IP-адрас
ユーザーエージェント	Карыстальніцкі агент
イベント	Мерапрыемства
IPアドレスのデータはありません	Няма даных для гэтага IP-адраса.
EU GDPR対応	Адпаведнасць GDPR ЕС
無効	Несапраўдны
有効	Дзейнічае
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Калі вы выкарыстоўваеце WordPress у ЕС або калі ваш вэб-сайт разлічаны на карыстальнікаў з ЕС, калі ласка, пераканайцеся, што гэта ўключана.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Кнопка «Пацвердзіць» зменіцца на «Згадзіцца» або «Не згадзіцца», і паводзіны крыху зменяцца.
同意画面の色	Колер экрана згод
自動	Аўтаматычны
ライトモード	Лёгкі рэжым
ダークモード	Цёмны рэжым
同意画面表示中の配色を設定します	Устанавіце каляровую схему для экрана згоды
同意画面中のコンテンツのぼかし	Размыццё змесціва на экране згоды
同意画面表示中のコンテンツのぼかし具合を設定します	Усталюйце ўзровень размыцця для змесціва, якое адлюстроўваецца на экране згоды.
同意画面の透過	Празрыстасць экрана згоды
透過なし	Няма празрыстасці
同意画面の透過具合を設定します	Устанавіце празрыстасць экрана згоды
お知らせの1行目	Першы радок аб'явы
初回表示で必ず表示されるメッセージです	Гэтая паведамленне заўсёды адлюстроўваецца пры першым загрузцы старонкі.
お知らせの2行目	Другі радок апавяшчэння
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Гэтая абвестка будзе заўсёды адлюстроўвацца толькі на першым экране, калі GDPR ЕС будзе дзейнічаць.
お知らせの3行目	Трэці радок аб'явы
プライバシーポリシーのリンクの右側に表示されます	Яно з'явіцца справа ад спасылкі на Палітыку прыватнасці.
非EU向け確認の文字列	Тэкст для пацвярджэння для краін, якія не ўваходзяць у ЕС
EU GDPR向け同意するの文字列	Тэкст згоды ў адпаведнасці з GDPR ЕС
EU GDPR向け同意しないの文字列	Тэкст для «Не даваць згоду» ў адпаведнасці з GDPR ЕС
プライバシーポリシーの文字列	Тэкст палітыкі прыватнасці
プライバシーポリシーのURLはこちらから設定して下さい	Калі ласка, усталюйце URL-адрас палітыкі прыватнасці тут.
プライバシーポリシーには以下の内容を追加して下さい	Калі ласка, дадайце наступнае ў Палітыку прыватнасці.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Для выяўлення махлярскай дзейнасці ідэнтыфікатары, такія як IP-адрасы, захоўваюцца ў файлах cookie і базе даных. Захоўваныя даныя выдаляюцца на меркаванне адміністратара.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Каб гарантаваць правільную дастаўку выяў толькі тады, калі абарона выяў уключана, мы захоўваем у базе даных хешаваныя даныя, якія ўключаюць IP-адрас і назву файла выявы, на працягу 60 хвілін.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Калі вы ствараеце Умовы выкарыстання, калі ласка, пераканайцеся, што вы змясцілі спасылку на іх у вашай Палітыцы прыватнасці.
利用規約の文字列	Тэкст умоў выкарыстання
利用規約のページ	Старонка ўмоў і палажэнняў
ページ選択なし	Ніводнай старонкі не выбрана
検索エンジン等のURL	URL для пошукавых сістэм і г.д.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Усталюйце URL для пошукавых сістэм і падобных сайтаў, якія перанакіроўваюць карыстальнікаў у выпадку адсутнасці згоды
デバッグモード、コンソールの警告メッセージ	Рэжым адладкі, папярэджанні кансолі
右クリックの警告メッセージ	Правы клік па папярэджанні
印刷、PDF保存の警告メッセージ	Папярэджанне аб друку і захаванні ў фармаце PDF
スクリーンショットの警告メッセージ	Папярэджанне на скрыншоце
スクリーンショットの疑いの警告メッセージ	Папярэджанне адносна падазроных скрыншотаў
テキスト全選択時の警告メッセージ	Папярэджанне, калі выбраны ўвесь тэкст
ページ保存の警告メッセージ	Папярэджанне аб захаванні старонкі
コピー・カットした時に表示するメッセージ	Паведамленне, якое адлюстроўваецца пры капіраванні або выразцы
HTMLソース表示時に表示するメッセージ	Паведамленне для адлюстравання пры праглядзе зыходнага кода HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Паведамленне для адлюстравання ўверсе зыходнага кода пры абфускацыі або абароне HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Паведамленне для адлюстравання, калі аднаразовы токен аўтэнтыфікацыі несапраўдны падчас абароны HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Паведамленне для адлюстравання, калі файлы cookie або JavaScript адключаны
実際にはJavascriptが無効時のみ表示されます	Насамрэч, гэта адлюстроўваецца толькі калі JavaScript адключаны.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Калі выява абаронена, яна спампоўваецца, і на ёй адлюстроўваецца паведамленне
HTML難読化 (圧縮)	Зацямненне HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Гэта стандартная кампрэсія HTML; таксама ёсць вэб-сайты, якія могуць яе дэкадаваць.
このオプションを有効にするとview-sourceのログが取得できます	Уключэнне гэтага опцыі дазваляе атрымаць лог адлюстравання крыніка.
HTML保護	Абарона HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Выводзіцца толькі абсалютны мінімум HTML — нават менш, чым пры выкарыстанні сціску HTML — і змесціва тэга BODY зусім не выводзіцца.
Firefoxに対しては無効です	Гэта не датычыцца Firefox
SEOに著しく影響があります	Гэта аказвае значны ўплыў на SEO.
HTMLをJavaScriptで描画	Рэндарынг HTML з дапамогай JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Каб абысці Firefox, мы адлюстроўваем HTML з дапамогай JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Уключэнне рэндэрынгу JavaScript значна запаволіць хуткасць загрузкі вэб-сайта.
画像の保護	Абарона выявы
imgタグが呼び出されるごとに画像を保護	Абараняйце выяву кожны раз, калі выклікаецца тэгі img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Абараніце ўсе выявы, загружаныя ў WordPress, у ўсім HTML-вывадзе.
画像をダウンロードから保護します	Абараняе выявы ад спампоўвання
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Калі даныя выяў абаронены, мы перашкаджаем амаль усім спампоўкам, выдаём унікальныя аднаразовыя URL-адрасы, аўтэнтыфікуемся з дапамогай токенаў, якія захоўваюцца ў сесіі, і адлюстроўваем выявы праз PHP; гэта эфектыўна перашкаджае амаль усім выпадкам крадзяжу выяў.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Калі даныя выявы абаронены, кэшаванне не працуе, што азначае, што сайт будзе загружацца павольней пры паўторных наведваннях, тым самым уплываючы на SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Абарона даных выявы можа павялічыць нагрузку на базу даных.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Калі вы выбіраеце «Абараняць выявы пры кожным выкліку тэга img», сістэма выкарыстоўвае add_filter для прымянення фільтрацыі, калі генеруецца тэга img; аднак гэта можа не працаваць правільна з некаторымі тэмамі.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Калі вы выбераце «Абараніць усе выявы, загружаныя ў WordPress, у ўсім HTML-вывадзе», плагін будзе ахопліваць амаль усе аперацыі WordPress і апрацоўваць кожны тэг img у змесце. Звярніце ўвагу, што гэта можа не працаваць належным чынам з некаторымі тэмамі.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Звярніце ўвагу, што выявы, прызначаныя як асноўныя, будуць перадавацца як даныя OGP і не могуць быць абаронены. Калі вы абавязкова павінны іх абараніць, калі ласка, змяніце налады для вываду тэга HEAD у раздзеле «Пашыраныя налады» пры ўключэнні HTML-абароны.
OS標準搭載のスクリーンショット機能を保護することはできません	Функцыя здымкі экрана, убудаваная ў аперацыйную сістэму, не можа быць абаронена.
画像URLの保護	Абарона URL-адрасоў выяў
画像の保護と組み合わせて使用します、単体では意味がありません	Гэта трэба выкарыстоўваць у спалучэнні з абаронай выявы; сама па сабе яна не мае ніякага сэнсу.
JavaScriptにより遅延読まれますのでSEOに影響があります	Паколькі ён загружаецца ляніва праз JavaScript, гэта ўплывае на SEO.
画像のウォーターマーク	Вадзяны знак выявы
右下	унізе справа
ランダム位置	выпадковае палажэнне
