設定	Postavke
IPログリーダー	Čitač IP dnevnika
IPアドレスログ	Zapisnik IP adresa
全クリア	Završi sve razine
IPログが全て削除されました	Svi IP zapisi su izbrisani
ID	ID
タイムスタンプ	Vremenski žig
IPアドレス	IP adresa
ユーザーエージェント	Korisnički agent
イベント	Događaj
IPアドレスのデータはありません	Nema podataka za ovu IP adresu.
EU GDPR対応	Usklađenost s GDPR-om EU
無効	Neispravno
有効	Valjano
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Ako koristite WordPress unutar EU ili je vaša web stranica namijenjena korisnicima unutar EU, molimo osigurajte da je ovo omogućeno.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Gumb 'Potvrdi' promijenit će se u 'Slažem se' ili 'Ne slažem se', a ponašanje će se neznatno promijeniti.
同意画面の色	Boja zaslona za davanje suglasnosti
自動	Automatski
ライトモード	Laki način
ダークモード	Tamni način
同意画面表示中の配色を設定します	Postavite shemu boja za zaslon za davanje suglasnosti.
同意画面中のコンテンツのぼかし	Zamagljivanje sadržaja na zaslonu za davanje suglasnosti
同意画面表示中のコンテンツのぼかし具合を設定します	Postavite razinu zamućenja za sadržaj prikazan na zaslonu za davanje pristanka.
同意画面の透過	Prozirnost zaslona za davanje suglasnosti
透過なし	Nema transparentnosti
同意画面の透過具合を設定します	Postavite prozirnost zaslona za davanje suglasnosti
お知らせの1行目	Prvi red objave
初回表示で必ず表示されるメッセージです	Ova se poruka uvijek prikazuje prvi put kad se stranica učita.
お知らせの2行目	Drugi red obavijesti
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ova će poruka uvijek biti prikazana samo na prvom zaslonu kada EU GDPR bude na snazi.
お知らせの3行目	Treći red obavijesti
プライバシーポリシーのリンクの右側に表示されます	Prikazat će se desno od poveznice na Pravila o privatnosti.
非EU向け確認の文字列	Potvrdni tekst za zemlje izvan EU
EU GDPR向け同意するの文字列	Tekst pristanka za EU GDPR
EU GDPR向け同意しないの文字列	Tekst za 'Ne dajem privolu' prema GDPR-u EU
プライバシーポリシーの文字列	Tekst politike privatnosti
プライバシーポリシーのURLはこちらから設定して下さい	Molimo postavite URL za politiku privatnosti ovdje.
プライバシーポリシーには以下の内容を追加して下さい	Molimo dodajte sljedeće u Pravila o privatnosti.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Kako bi se otkrila prijevarna aktivnost, identifikatori poput IP adresa pohranjuju se u kolačićima i bazi podataka. Pohranjeni podaci brišu se prema nahođenju administratora.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Kako bismo osigurali da se slike isporučuju ispravno samo kada je zaštita slika omogućena, pohranjujemo hashirane podatke koji uključuju IP adresu i naziv datoteke slike u bazi podataka do 60 minuta.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Ako postavljate Uvjete korištenja, molimo vas da osigurate da u svojoj Politici privatnosti uključite poveznicu na njih.
利用規約の文字列	Tekst uvjeta korištenja
利用規約のページ	Stranica s uvjetima i odredbama
ページ選択なし	Nije odabrana stranica
検索エンジン等のURL	URL-ovi za tražilice itd.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Postavite URL za tražilice i slične stranice koje preusmjeravaju na drugu stranicu kada privola nije dana.
デバッグモード、コンソールの警告メッセージ	Režim otklanjanja pogrešaka, upozoravajuće poruke na konzoli
右クリックの警告メッセージ	Desni klik na poruku upozorenja
印刷、PDF保存の警告メッセージ	Upozorenje o ispisu i spremanju kao PDF
スクリーンショットの警告メッセージ	Upozoravajuća poruka na snimci zaslona
スクリーンショットの疑いの警告メッセージ	Upozorenje o sumnjivim snimkama zaslona
テキスト全選択時の警告メッセージ	Poruka upozorenja kada je sav tekst odabran
ページ保存の警告メッセージ	Upozorenje o spremanju stranice
コピー・カットした時に表示するメッセージ	Poruka koja se prikazuje pri kopiranju ili izrezivanju
HTMLソース表示時に表示するメッセージ	Poruka za prikaz pri pregledu izvornog koda HTML-a
HTML難読化・保護時にソースの先頭に表示するメッセージ	Poruka koja se prikazuje na vrhu izvornog koda prilikom zamućivanja ili zaštite HTML-a
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Poruka za prikaz ako jednokratni token za autentifikaciju nije važeći tijekom HTML zaštite
CookieやJavascriptが有効でない場合に表示するメッセージ	Poruka za prikaz ako su kolačići ili JavaScript onemogućeni
実際にはJavascriptが無効時のみ表示されます	Zapravo, ovo se prikazuje samo kada je JavaScript onemogućen.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Kada je slika zaštićena, ona se preuzima i na njoj se prikazuje poruka
HTML難読化 (圧縮)	HTML zamućivanje
一般的なHTML圧縮です、難読化解除のサイトもあります	Ovo je standardna HTML kompresija; postoje i web stranice koje je mogu dešifrirati.
このオプションを有効にするとview-sourceのログが取得できます	Omogućavanjem ove opcije možete dohvatiti zapisnik izvornog koda.
HTML保護	HTML zaštita
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ispisuje samo najnužniji HTML—čak i manje nego pri korištenju HTML kompresije—i sadržaj unutar oznake BODY uopće se ne ispisuje.
Firefoxに対しては無効です	Ovo se ne odnosi na Firefox.
SEOに著しく影響があります	Ovo ima značajan utjecaj na SEO.
HTMLをJavaScriptで描画	Renderiranje HTML-a pomoću JavaScript-a
Firefox対策としてHTMLをJavaScriptで描画をします	Kako bismo zaobišli Firefox, HTML renderiramo pomoću JavaScript-a.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Omogućavanje iscrtavanja JavaScriptom značajno će usporiti brzinu učitavanja web-stranice.
画像の保護	Zaštita slike
imgタグが呼び出されるごとに画像を保護	Zaštitite sliku svaki put kada se poziva tag img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Zaštitite sve slike učitane u WordPress unutar cijelog HTML izlaza
画像をダウンロードから保護します	Štiti slike od preuzimanja
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Kada su podaci o slikama zaštićeni, sprječavamo gotovo sve preuzimanja, izdajemo jedinstvene jednokratne URL-ove, provodimo autentifikaciju pomoću tokena pohranjenih u sesiji i prikazujemo slike putem PHP-a; to učinkovito sprječava gotovo sve slučajeve krađe slika.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Kada su podaci o slikama zaštićeni, keširanje ne radi, što znači da će se stranica pri ponovnim posjetima učitavati sporije, čime se utječe na SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Zaštita podataka o slikama može povećati opterećenje baze podataka.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Ako odaberete 'Zaštiti slike kad god se poziva img oznaka', sustav koristi add_filter za primjenu filtriranja pri generiranju img oznake; međutim, to možda neće ispravno raditi s nekim temama.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Ako odaberete 'Zaštiti sve slike učitane u WordPress unutar cijelog HTML izlaza', dodatak će uhvatiti gotovo sve WordPress operacije i obraditi svaki img tag unutar sadržaja. Imajte na umu da ovo možda neće ispravno raditi s nekim temama.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Imajte na umu da će slike označene kao istaknute slike biti dijeljene kao OGP podaci i ne mogu biti zaštićene. Ako ih apsolutno morate zaštititi, molimo promijenite postavku za izlaz HEAD oznake u naprednim postavkama prilikom omogućavanja HTML zaštite.
OS標準搭載のスクリーンショット機能を保護することはできません	Funkcija snimanja zaslona ugrađena u operativni sustav ne može se zaštititi.
画像URLの保護	Zaštita URL-ova slika
画像の保護と組み合わせて使用します、単体では意味がありません	Ovo treba koristiti zajedno s zaštitom slika; samo po sebi nema nikakvu svrhu.
JavaScriptにより遅延読まれますのでSEOに影響があります	Budući da se lijeno učitava putem JavaScript-a, to utječe na SEO.
画像のウォーターマーク	Vodeni žig slike
右下	Donji desni
ランダム位置	Slučajni položaj
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	U kombinaciji s zaštitom slika, dinamički vodenih žigova jasno ukazuju na vlasništvo autorskih prava, istovremeno dajući gledateljima dojam da su nadzirani, čime djeluju kao odvraćanje.
JPG形式、PNG形式、WebP形式のみ対応します	Podržani su samo formati JPG, PNG i WebP.
有効にするとサーバーの負荷が高くなります	Omogućavanje ovoga povećat će opterećenje poslužitelja.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Ispisivanje ASCII umjetnosti iz HTML izvornog koda tijekom zamućivanja i zaštite
表示なし	Nema prikaza
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Prikazuje ASCII umjetnost koja označava upozorenje pri pregledavanju izvornog koda HTML-a pomoću 'view-source'
対象アクションを起こした時の表示デザイン	Prikaži dizajn kada se izvrši ciljana radnja
黄色の背景の黒文字のベーシックデザイン	Osnovni dizajn s crnim tekstom na žutoj pozadini
黒色の背景の赤文字のホラー風デザイン	Dizajn u horor stilu s crvenim tekstom na crnoj pozadini
黒色の背景の赤文字の光る文字のデザイン	Dizajn s crvenim svjetlećim tekstom na crnoj pozadini
対象アクションを起こした時のBGM	Pozadinska glazba koja svira kada se izvrši ciljana radnja
サウンドなし	Nema zvuka
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Bitka i pobjeda - 1 minuta 16,3 sekunde - 630.056 bajtova - 64 kbps - Licenca: CC 2.1 ili novija
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Očeva kratka verzija - 3,8 sekundi - 32.364 bajta - 64 kbps - Licenca: GPL 2.0 ili novija
