ISISちゃん	ISIS chan
設定	ترتیبات
IPログリーダー	آئی پی لاگ ریڈر
IPアドレスログ	آئی پی ایڈریس لاگ
全クリア	تمام سطحیں مکمل کریں
IPログが全て削除されました	تمام آئی پی لاگز حذف کر دیے گئے ہیں۔
ID	شناخت
タイムスタンプ	وقت کی مہر
IPアドレス	آئی پی ایڈریس
ユーザーエージェント	صارف ایجنٹ
イベント	تقریب
IPアドレスのデータはありません	اس آئی پی پتے کے لیے کوئی ڈیٹا موجود نہیں ہے۔
EU GDPR対応	یورپی یونین کے جی ڈی پی آر کی تعمیل
無効	غلط
有効	صحیح
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	اگر آپ EU کے اندر ورڈپریس استعمال کر رہے ہیں، یا اگر آپ کی ویب سائٹ EU کے صارفین کو ہدف بنا رہی ہے، تو براہِ کرم اس کو فعال کریں۔
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'تصدیق' کا بٹن 'رضامندی' یا 'عدمِ رضامندی' میں تبدیل ہو جائے گا، اور رویہ تھوڑا سا بدل جائے گا۔
同意画面の色	رضامندی کی اسکرین کا رنگ
自動	خودکار
ライトモード	ہلکا موڈ
ダークモード	ڈارک موڈ
同意画面表示中の配色を設定します	رضامندی کی اسکرین کے لیے رنگ سکیم مقرر کریں۔
同意画面中のコンテンツのぼかし	رضامندی کی اسکرین پر مواد کا دھندلا ہونا
同意画面表示中のコンテンツのぼかし具合を設定します	رضامندی اسکرین پر دکھائے جانے والے مواد کے لیے دھندلا پن کی سطح مقرر کریں۔
同意画面の透過	رضامندی کی اسکرین کی شفافیت
透過なし	کوئی شفافیت نہیں
同意画面の透過具合を設定します	رضامندی کی اسکرین کی شفافیت مقرر کریں۔
お知らせの1行目	اعلان کی پہلی سطر
初回表示で必ず表示されるメッセージです	یہ پیغام ہر بار پہلی مرتبہ صفحہ لوڈ ہونے پر دکھایا جاتا ہے۔
お知らせの2行目	نوٹس کی دوسری لائن
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	یہ پیغام ہمیشہ صرف پہلے ڈسپلے پر تب ہی ظاہر ہوگا جب EU GDPR نافذ ہو۔
お知らせの3行目	نوٹس کی تیسری لائن
プライバシーポリシーのリンクの右側に表示されます	یہ پرائیویسی پالیسی کے لنک کے دائیں جانب ظاہر ہوگا۔
非EU向け確認の文字列	غیر یورپی یونین ممالک کے لیے تصدیقی متن
EU GDPR向け同意するの文字列	یورپی یونین کے ڈیٹا پروٹیکشن قانون
EU GDPR向け同意しないの文字列	یورپی یونین کے جی ڈی پی آر کے تحت 'رضامندی نہ دیں' کے لیے متن
プライバシーポリシーの文字列	رازداری کی پالیسی کا متن
プライバシーポリシーのURLはこちらから設定して下さい	براہ کرم پرائیویسی پالیسی کے لیے یو آر ایل یہاں درج کریں۔
プライバシーポリシーには以下の内容を追加して下さい	براہ کرم ذیل کا متن پرائیویسی پالیسی میں شامل کریں۔
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	دھوکہ دہی کی سرگرمی کا پتہ لگانے کے لیے، شناختی معلومات جیسے آئی پی پتے کوکیز اور ڈیٹا بیس میں محفوظ کیے جاتے ہیں۔ محفوظ شدہ ڈیٹا منتظم کی صوابدید پر حذف کر دیا جاتا ہے۔
