設定	Socruithe
IPログリーダー	Léitheoir Loga IP
IPアドレスログ	Lógh IP
全クリア	Críochnaigh na leibhéil go léir
IPログが全て削除されました	Tá na logaí IP go léir scriosta.
ID	Aitheantas
タイムスタンプ	Cloigcheann
IPアドレス	Seoladh IP
ユーザーエージェント	Gníomhaire úsáideora
イベント	Imeacht
IPアドレスのデータはありません	Níl aon sonraí ann don seoladh IP seo.
EU GDPR対応	Comhlíonadh RGCS an AE
無効	Míbhailí
有効	Bailí
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Má tá tú ag úsáid WordPress laistigh den AE, nó má tá do shuíomh gréasáin dírithe ar úsáideoirí laistigh den AE, cinntigh le do thoil go bhfuil sé seo cumasaithe.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Athróidh an cnaipe 'Dearbhaigh' go 'Aontaím' nó 'Ní Aontaím', agus athróidh an iompar beagáinín.
同意画面の色	Dath an scáileáin toiliú
自動	Uathoibríoch
ライトモード	Mód éadrom
ダークモード	Mód Dorcha
同意画面表示中の配色を設定します	Socraigh scéim dathanna an scáileáin toiliúcháin.
同意画面中のコンテンツのぼかし	Doiléiriú an ábhair ar an scáileán toiliúcháin
同意画面表示中のコンテンツのぼかし具合を設定します	Socraigh an leibhéal doiléirthe don ábhar a thaispeántar ar an scáileán toiliú.
同意画面の透過	Trédhearcacht an scáileáin toiliúcháin
透過なし	Gan trédhearcacht
同意画面の透過具合を設定します	Socraigh trédhearcacht an scáileáin toiliú
お知らせの1行目	An chéad líne den fhógra
初回表示で必ず表示されるメッセージです	Taispeántar an teachtaireacht seo i gcónaí an chéad uair a lódáiltear an leathanach.
お知らせの2行目	An dara líne den fhógra
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ní thaispeánfar an teachtaireacht seo ach ar an gcéad taispeáint, agus an GDPR de chuid an AE i bhfeidhm.
お知らせの3行目	An tríú líne den fhógra
プライバシーポリシーのリンクの右側に表示されます	Beidh sé le feiceáil ar dheis na naíonnaisc chuig an bPolasaí Príobháideachais.
非EU向け確認の文字列	Téacs deimhnithe do thíortha nach bhfuil san AE
EU GDPR向け同意するの文字列	Téacs toiliú do Rialachán Ginearálta an AE maidir le Cosaint Sonraí
EU GDPR向け同意しないの文字列	Téacs do 'Ná toirimheas' faoin RGCS de chuid an AE
プライバシーポリシーの文字列	Téacs an bheartais phríobháideachais
プライバシーポリシーのURLはこちらから設定して下さい	Le do thoil, socraigh an URL don pholasaí príobháideachais anseo.
プライバシーポリシーには以下の内容を追加して下さい	Cuir an méid seo a leanas leis an bPolasaí Príobháideachais, le do thoil.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Chun gníomhaíocht chalaoiseach a bhrath, stóráiltear sainaithnéithe ar nós seoltaí IP i bhfianáin agus sa bhunachar sonraí. Scriostar na sonraí stóráilte de réir rogha an riarthóra.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Chun a chinntiú go seachadtar íomhánna i gceart ach amháin nuair a bhíonn cosaint íomhá cumasaithe, stórálaimid sonraí haischithe ina bhfuil an seoladh IP agus ainm comhaid na híomhá sa bhunachar sonraí ar feadh suas le 60 nóiméad.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Má tá Téarmaí Úsáide á socrú agat, cinntigh le do thoil go gcuireann tú nasc chucu san áireamh i do Pholasaí Príobháideachais.
利用規約の文字列	Téacs na dTéarmaí Úsáide
利用規約のページ	Téarmaí agus Coinníollacha
ページ選択なし	Níl leathanach ar bith roghnaithe
検索エンジン等のURL	URLanna do chuardaitheoirí gréasáin, srl.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Socraigh an URL do innill chuardaigh agus suíomhanna comhchosúla a atreoraíonn úsáideoirí nuair nach dtugtar toiliú.
デバッグモード、コンソールの警告メッセージ	Mód dífhabhtaithe, teachtaireachtaí rabhaidh consóil
右クリックの警告メッセージ	Cliceáil deas ar an teachtaireacht rabhaidh
印刷、PDF保存の警告メッセージ	Fógra rabhaidh maidir le priontáil agus sábháil mar PDF
スクリーンショットの警告メッセージ	Teachtaireacht rabhaidh sa phictiúr scáileáin
スクリーンショットの疑いの警告メッセージ	Fógra rabhaidh maidir le seatanna scáileáin amhrasta
テキスト全選択時の警告メッセージ	Teachtaireacht rabhaidh nuair a bhíonn an téacs ar fad roghnaithe
ページ保存の警告メッセージ	Fógra rabhaidh maidir le leathanach a shábháil
コピー・カットした時に表示するメッセージ	Teachtaireacht a thaispeántar agus cóipeáil nó gearradh á ndéanamh
HTMLソース表示時に表示するメッセージ	Teachtaireacht le taispeáint agus an fhoinse HTML á breathnú
HTML難読化・保護時にソースの先頭に表示するメッセージ	Teachtaireacht le taispeáint ag barr an chóid foinseach agus HTML á doiléiriú nó á chosaint
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Teachtaireacht le taispeáint má bhíonn an t-eochairchomhartha fíordheimhnithe aonuaire neamhbhailí le linn cosanta HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Teachtaireacht le taispeáint má tá fianáin nó JavaScript díchumasaithe
実際にはJavascriptが無効時のみ表示されます	Go deimhin, ní thaispeántar é seo ach amháin nuair a bhíonn JavaScript díchumasaithe.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Nuair a chosnaítear íomhá, íoslódáiltear í, agus taispeántar teachtaireacht ar an íomhá sin
HTML難読化 (圧縮)	Doiléiriú
一般的なHTML圧縮です、難読化解除のサイトもあります	Is comhbhrú caighdeánach HTML é seo; tá suíomhanna gréasáin ann freisin a fhéadann é a dhíchódú.
このオプションを有効にするとview-sourceのログが取得できます	Ligeann cumasú an rogha seo duit an loga foinse-amhairc a aisghabháil.
HTML保護	Cosaint HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ní thugann sé amach ach an t-íosmhéid lom de HTML—níos lú fós ná nuair a úsáidtear comhbhrú HTML—agus ní thugtar an t-ábhar laistigh den chlibe BODY amach ar chor ar bith.
Firefoxに対しては無効です	Ní bhaineann sé seo le Firefox.
SEOに著しく影響があります	Tá tionchar suntasach aige seo ar SEO.
HTMLをJavaScriptで描画	Rindreáil HTML le JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Chun an fhadhb le Firefox a shárú, déanaimid an HTML a rindreáil le JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Má chumasaítear rindreáil JavaScript, maolófar go mór ar luas lódála an tsuímh ghréasáin.
画像の保護	Cosaint íomhá
imgタグが呼び出されるごとに画像を保護	Cosain an íomhá gach uair a thugtar gairm don chlibe img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Cosain gach íomhá a uaslódáiltear chuig WordPress laistigh den toraidh HTML iomlán.
画像をダウンロードから保護します	Cosnaíonn sé íomhánna ó íoslódáil
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Nuair a chosnaítear sonraí íomhá, cuirimid cosc ar bheagnach gach íoslódáil, eisímid URLanna uathúla aonuaire, déanaimid fíordheimhniú ag úsáid comharthaí a stóráiltear sa seisiún, agus taispeánaimid na híomhánna trí PHP; cuireann sé seo cosc éifeachtach ar bheagnach gach cás de ghoid íomhánna.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Nuair a chosnaítear sonraí íomhá, ní oibríonn an taisceadh, rud a chiallaíonn go lódálfaidh an suíomh níos moille ar chuairteanna ina dhiaidh sin, agus mar sin go mbíonn tionchar aige ar SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	D'fhéadfadh cosaint sonraí íomhá an t-ualach ar an mbunachar sonraí a mhéadú.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Má roghnaíonn tú 'Íomhánna a chosaint aon uair a ghlaoitear ar chlibe img', úsáideann an córas add_filter chun scagadh a chur i bhfeidhm nuair a ghintear an chlibe img; áfach, d'fhéadfadh sé nach n-oibreoidh sé seo i gceart le roinnt téamaí.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Má roghnaíonn tú 'Cosain gach íomhá a uaslódáiltear ar WordPress laistigh den aschur HTML iomlán', gabhfaidh an breiseán beagnach gach oibríocht de chuid WordPress agus próiseálfaidh sé gach clib img laistigh den ábhar. Tabhair faoi deara, le do thoil, go bhféadfadh sé nach n-oibreoidh sé seo i gceart le roinnt téamaí.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Tabhair faoi deara, le do thoil, go roinnfear íomhánna a ainmnítear mar íomhánna réadmhaoin mar shonraí OGP agus nach féidir iad a chosaint. Más gá duit iad a chosaint ar gach costas, athraigh an socrú d'aschur an chlib HEAD sna socruithe ardleibhéil nuair a chumasaíonn tú cosaint HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Ní féidir an fheidhm seat scáileáin atá ionsuite sa chóras oibriúcháin a chosaint.
画像URLの保護	URLanna íomhá a chosaint
画像の保護と組み合わせて使用します、単体では意味がありません	Ba cheart é seo a úsáid i gcomhar le cosaint íomhá; ina aonar, níl aon chuspóir leis.
JavaScriptにより遅延読まれますのでSEOに影響があります	Toisc go lódáiltear é go leisciúil trí JavaScript, cuireann sé seo isteach ar SEO.
画像のウォーターマーク	Uisce-mharc an íomhá
右下	íos-deas
ランダム位置	Suíomh randamach
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Nuair a úsáidtear iad i gcomhar le cosaint íomhá, léiríonn uisceadáin dhinimiciúla úinéireacht chóipchirt go soiléir agus ag an am céanna tugann siad an tuiscint do lucht féachana go bhfuiltear á monatóireacht, agus dá bhrí sin feidhmíonn siad mar dhíspreagadh.
JPG形式、PNG形式、WebP形式のみ対応します	Ní thacaítear ach le formáidí JPG, PNG agus WebP.
有効にするとサーバーの負荷が高くなります	Má chuirtear seo i ngníomh, méadófar an t-ualach ar an bhfreastalaí.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	ASCII-ealaín a aschur ó chód foinseach HTML le linn doiléiriú agus cosaint HTML
表示なし	Gan taispeáint
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Taispeánann ealaín ASCII a léiríonn rabhadh agus an fhoinse HTML á breathnú trí 'view-source'.
対象アクションを起こした時の表示デザイン	Taispeáin an dearadh nuair a dhéantar an gníomh spriocdhírithe.
黄色の背景の黒文字のベーシックデザイン	Dearadh bunúsach le téacs dubh ar chúlra buí.
黒色の背景の赤文字のホラー風デザイン	Dearadh de chineál uafáis le téacs dearg ar chúlra dubh.
黒色の背景の赤文字の光る文字のデザイン	Dearadh ina bhfuil téacs dearg lonrach ar chúlra dubh
対象アクションを起こした時のBGM	Ceol cúlra a sheinntear nuair a dhéantar an gníomh sprioc.
