設定	Qindaa'inoota
IPログリーダー	Dubbisaa Galmee IP
IPアドレスログ	Galmee teessoo IP
全クリア	Sadarkaalee hunda xumuraa
IPログが全て削除されました	Galmeewwan IP hundi haqamaniiru
ID	Eenyummaa
タイムスタンプ	Yeroo galmaa'e
IPアドレス	Teessoo IP
ユーザーエージェント	Ejentii Fayyadamaa
イベント	Sagantaa
IPアドレスのデータはありません	Teessoo IP kanaaf ragaa hin jiru.
EU GDPR対応	Gamtoomina GDPR Gamtaa Awurooppaa
無効	Sirrii miti
有効	Sirrii
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Yoo WordPress Gamtaa Awurooppaa keessatti fayyadamaa jiraattan, yookaan yoo marsariitiin keessan fayyadamtoota Gamtaa Awurooppaa keessa jiraniif kan qophaa'e ta'e, maaloo kun akka eeyyamame mirkaneeffadhaa.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Qabduun 'Mirkaneessi' gara 'Waliigaluu' yookiin 'Mormuu'tti ni jijjiirama, amalli isaas xiqqoo ni jijjiirama.
同意画面の色	Halluu iskiriinii hayyamaa
自動	Ofumaan
ライトモード	Haala salphaa
ダークモード	Haala Dukkanaa'aa
同意画面表示中の配色を設定します	Qindaa'ina halluu fuula hayyamaa murteessi.
同意画面中のコンテンツのぼかし	Qabiyyee fuula hayyamaa irratti burkutaa'uu
同意画面表示中のコンテンツのぼかし具合を設定します	Sadarkaa dukkaneessuu qabiyyee iskiriinii hayyamaa irratti mul'atu qindeessi.
同意画面の透過	Iftoomina iskiriinii hayyamaa
透過なし	Iftoomina hin qabu
同意画面の透過具合を設定します	Iftoomina iskiriinii hayyamaa qindeessi
お知らせの1行目	Sarara jalqabaa beeksisaa
初回表示で必ず表示されるメッセージです	Ergaan kun yeroo fuulli kun jalqaba fe'amu yeroo hunda ni agarsiifama.
お知らせの2行目	Sarara lammaffaa beeksisaa
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ergaan kun yeroo hunda agarsiisa isa jalqabaa irratti qofa yeroo EU GDPR hojiirra oolu ni mul'ata.
お知らせの3行目	Sarara sadaffaa beeksisaa
プライバシーポリシーのリンクの右側に表示されます	Gara mirga geessituu Imaammata Dhuunfaatti ni mul'ata.
非EU向け確認の文字列	Barruu mirkaneessaa biyyoota Gamtaa Awurooppaa hin taaneef
EU GDPR向け同意するの文字列	Barruu waliigaltee GDPR Gamtaa Awurooppaa
EU GDPR向け同意しないの文字列	Barruu 'Hin Heyyaminiif' kan EU GDPR jalatti
プライバシーポリシーの文字列	Barruu imaammata iccitii
プライバシーポリシーのURLはこちらから設定して下さい	Maaloo, URL imaammata iccitii asitti galchi.
プライバシーポリシーには以下の内容を追加して下さい	Maaloo kan armaan gadii Imaammata Icciitii keessatti dabalaa.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Gocha gowwoomsaa adda baasuuf, eenyummeessitoonni kan akka teessoo IP kuukiiwwanii fi kuusaa ragaa keessatti kuufamu. Ragaan kuufame sun murtoo bulchaatiin ni haqama.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Yeroo eegumsi suuraa eeyyamamu, suuraawwan sirriitti akka geessaman mirkaneessuuf, teessoo IP fi maqaa faayilii suuraa of keessaa qabu daataa haashii ta'e kuusaa odeeffannoo keenya keessatti hanga daqiiqaa 60f ni kuusna.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Yoo Ulaagaalee Fayyadamaa qopheessaa jiraattan, maaloo Imaammata Dhuunfaa keessan keessatti geessituu isaaniif dabaluu keessan mirkaneeffadhaa.
利用規約の文字列	Barruu Ulaagaalee Fayyadamaa
利用規約のページ	Fuula Seerotaafi Haalawwanii
ページ選択なし	Fuulli hin filatamne
検索エンジン等のURL	URLwwan motoraalee barbaachaa fi kkf.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	URL mootoraalee barbaachaa fi marsariitiiwwan walfakkaatoo kanneen yeroo fayyadamtoonni hayyama hin kennin gara marsariitii biraatti fayyadamtoota dabarsanii erganiif qindeessi.
デバッグモード、コンソールの警告メッセージ	Haala sirreessaa, ergaawwan akeekkachiisaa konsoolii
右クリックの警告メッセージ	Ergaa akeekkachiisaa irratti mirgaan cuqaasi
印刷、PDF保存の警告メッセージ	Ergaa akeekkachiisaa maxxansuu fi akka PDFtti olkaa'uu ilaalchisee
スクリーンショットの警告メッセージ	Ergaa akeekkachiisaa suuraa iskiriinii keessatti
スクリーンショットの疑いの警告メッセージ	Ergaa akeekkachiisaa suuraawwan iskiriinii shakkamaniif
テキスト全選択時の警告メッセージ	Ergaa akeekkachiisaa yeroo barruun hundi filatamu
ページ保存の警告メッセージ	Ergaa akeekkachiisaa waa'ee kuusaa fuulaa
コピー・カットした時に表示するメッセージ	Ergaa yeroo waraabuu yookiin kukkutuu mul'atu
HTMLソース表示時に表示するメッセージ	Ergaa yeroo madda HTML ilaalamu agarsiifamu
HTML難読化・保護時にソースの先頭に表示するメッセージ	Ergaa koodii maddaa gubbaatti yeroo HTML dhoksuun yookaan eeguun mul'atu
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Ergaa yoo tookiiniin mirkaneessaa yeroo tokkoo yeroo eegumsa HTML keessatti hojii ala ta'e agarsiifamu
CookieやJavascriptが有効でない場合に表示するメッセージ	Ergaa yoo kuukiiwwaniifi JaavaAskiriiptiin cufaman agarsiifamu
実際にはJavascriptが無効時のみ表示されます	Dhugumatti, kun kan mul'atu yeroo JaavaAskiriin cufamu qofa.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Yeroo suuraan eegamu, ni buufama, achiis ergaan suuraa sana irratti ni mul'ata
HTML難読化 (圧縮)	Jallisii HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Kun dhiphina HTML kan idileeti; marsariitiiwwan isa deebisanii hiikuus ni jiru.
このオプションを有効にするとview-sourceのログが取得できます	Filannoo kana eeyyamsiisuun, galmee madda ilaaluu deebistee argachuu dandeessa.
HTML保護	Eegumsa HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Kan baasu HTML isa bu'uuraa qofa—dhiibbaa HTML fayyadamuu irra iyyuu gadi—dabalataanis, qabiyyeen taagii BODY keessa jiru gonkumaa hin ba'u.
Firefoxに対しては無効です	Kun Faayerfooksiif hin hojjetu.
SEOに著しく影響があります	Kun SEO irratti dhiibbaa guddaa qaba.
HTMLをJavaScriptで描画	JaavaAskiriitiin HTML Qopheessuu
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox irra darbuuf, HTML'n JaavaAskiriitiin ni agarsiifna.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript akka hojjetu gochuun saffisa marsariitichi ittiin banamu guddaa suuta taasisa.
画像の保護	Eegumsa suuraa
imgタグが呼び出されるごとに画像を保護	Yeroo hundumaa taggiin img yeroo waamamu fakkii eegi
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Fakkiiwwan WordPress keessatti ol fe'aman hunda, bu'aa HTML guutuu keessatti eegi.
画像をダウンロードから保護します	Suuraawwan buufamuu irraa ittisa
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Yeroo daataan suuraa eegamu, buufama
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Yeroo daataan suuraa eegamu, kaashiin hin hojjetu, kunis jechuun marsariitichi yeroo itti deebitan suuta bu'a, kanaanis SEO irratti dhiibbaa geessisa.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Daataa suuraa eeguun ba'aa daataa beezii irratti dabaluu danda'a.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Yoo 'Yeroo hundumaa tag-i img waamamu suuraawwan eegi' kan jedhu filatte, sirnichi yeroo tag-i img uumamu filtarii raawwachuuf add_filter fayyadama; haa ta'u malee, kun tiimiiwwan tokko tokko wajjin sirriitti hojjechuu dhiisuu danda'a.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Yoo 'Suuraawwan WordPress keessatti fe'aman hunda bu'aa HTML guutuu keessatti eegi' kan jedhu filatte, pilaag-iniin kun hojiiwwan WordPress hunda jechuun ni danda'ama qabatee, taagii img hundumaa qabiyyee keessa jiru ni adeemsisa. Maaloo hubadhu, kun tiimiiwwan tokko tokko waliin sirriitti hojjechuu dhiisuu danda'a.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Maaloo hubadhaa, suuraawwan akka suuraa filatamaatti ramadaman akka daataa OGPtti ni qoodamu, eegamus ni danda'amu. Yoo dhuguma eeguu barbaaddan, yeroo eegumsa HTML eeyyamtan, qindaa'ina sadarkaa olaanaa keessatti ba'ii taagii HEAD'f qindaa'ina isaa jijjiiraa.
OS標準搭載のスクリーンショット機能を保護することはできません	Hojiin suuraa ka'uu kan sirna hojii keessatti akka idileetti argamu eegamuu hin danda'u.
画像URLの保護	URLwwan suuraa eeguu
