設定	સેટિંગ્સ
IPログリーダー	આઈપી લોગ રીડર
IPアドレスログ	આઈપી સરનામાનો લોગ
全クリア	બધા સ્તરો પૂર્ણ કરો
IPログが全て削除されました	બધા IP લોગ્સ કાઢી નાખવામાં આવ્યા છે
ID	આઈડી
タイムスタンプ	સમયચિહ્ન
IPアドレス	આઈપી સરનામું
ユーザーエージェント	વપરાશકર્તા એજન્ટ
イベント	કાર્યક્રમ
IPアドレスのデータはありません	આ IP સરનામા માટે કોઈ માહિતી ઉપલબ્ધ નથી.
EU GDPR対応	EU GDPRનું પાલન
無効	અમાન્ય
有効	માન્ય
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	જો તમે EUમાં WordPress નો ઉપયોગ કરી રહ્યા છો, અથવા તમારી વેબસાઇટ EUમાં વપરાશકર્તાઓને લક્ષ્ય બનાવે છે, તો કૃપા કરીને ખાતરી કરો કે આ સક્રિય છે.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' બટન 'Agree' અથવા 'Disagree' માં બદલાશે, અને વર્તન થોડીક બદલાશે.
同意画面の色	સંમતિ સ્ક્રીનનો રંગ
自動	સ્વચાલિત
ライトモード	હળવો મોડ
ダークモード	ડાર્ક મોડ
同意画面表示中の配色を設定します	સંમતિ સ્ક્રીન માટે રંગ યોજના સેટ કરો
同意画面中のコンテンツのぼかし	સંમતિ સ્ક્રીન પર સામગ્રીનું ધૂંધળું થવું
同意画面表示中のコンテンツのぼかし具合を設定します	સંમતિ સ્ક્રીન પર પ્રદર્શિત સામગ્રી માટે ધૂંધળાશનું સ્તર સેટ કરો
同意画面の透過	સંમતિ સ્ક્રીનની પારદર્શિતા
透過なし	કોઈ પારદર્શિતા નથી
同意画面の透過具合を設定します	સંમતિ સ્ક્રીનની પારદર્શિતા સેટ કરો
お知らせの1行目	ઘોષણાની પ્રથમ પંક્તિ
初回表示で必ず表示されるメッセージです	પૃષ્ઠ પ્રથમવાર લોડ થતા આ સંદેશ હંમેશા પ્રદર્શિત થાય છે.
お知らせの2行目	સૂચનાની બીજી પંક્તિ
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	આ સંદેશા ફક્ત ત્યારે જ પ્રથમ ડિસ્પ્લે પર હંમેશા દેખાશે જ્યારે EU GDPR અમલમાં હોય.
お知らせの3行目	સૂચનાની ત્રીજી પંક્તિ
プライバシーポリシーのリンクの右側に表示されます	તે ગોપનીયતા નીતિની લિંકની જમણી બાજુએ દેખાશે.
非EU向け確認の文字列	EU સિવાયના દેશો માટેની પુષ્ટિકરણ લખાણ
EU GDPR向け同意するの文字列	EU GDPR માટે સંમતિનો લખાણ
EU GDPR向け同意しないの文字列	EU GDPR હેઠળ 'સંમતિ ન આપો' માટેનો લખાણ
プライバシーポリシーの文字列	ગોપનીયતા નીતિનો લખાણ
プライバシーポリシーのURLはこちらから設定して下さい	કૃપા કરીને અહીં ગોપનીયતા નીતિ માટે URL સેટ કરો
