設定	Fikirana
IPログリーダー	Mpamaky ny log IP
IPアドレスログ	Lisitry ny adiresy IP
全クリア	Vitao ny ambaratonga rehetra
IPログが全て削除されました	Voafafa daholo ny rakitra IP rehetra.
ID	Famaritana mampiavaka
タイムスタンプ	Marika fotoana
IPアドレス	Adiresy IP
ユーザーエージェント	Solontenan'ny mpampiasa
イベント	Hetsika
IPアドレスのデータはありません	Tsy misy angon-drakitra ho an'ity adiresy IP ity.
EU GDPR対応	Fanarahana ny GDPR an'ny Vondrona Eoropeanina
無効	Tsy manan-kery
有効	Manan-kery
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Raha mampiasa WordPress ao anatin'ny Vondrona Eoropeanina ianao, na raha mikendry mpampiasa ao anatin'ny Vondrona Eoropeanina ny tranokalanao, dia azafady mba ataovy azo antoka fa mandeha izy ity.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Ny bokotra 'Hamarino' dia hiova ho 'Manaiky' na 'Tsy manaiky', ary hiova kely ny fitondran-tena.
同意画面の色	Loko amin'ny efijery fanekena
自動	Mandeha ho azy
ライトモード	Fomba maivana
ダークモード	Fomba Maizina
同意画面表示中の配色を設定します	Farito ny fandaharana loko ho an'ny efijery fanekena
同意画面中のコンテンツのぼかし	Fanaovana manjavozavo ny votoaty eo amin'ny efijery fanekena
同意画面表示中のコンテンツのぼかし具合を設定します	Farito ny haavon'ny fanamaizana ny votoaty aseho eo amin'ny efijery fanekena.
同意画面の透過	Fahazavan'ny efijery fanekena
透過なし	Tsy mangarahara
同意画面の透過具合を設定します	Farito ny mangaraharan'ny efijery fanekena
お知らせの1行目	Andalana voalohany amin'ny fanambarana
初回表示で必ず表示されるメッセージです	Ity hafatra ity dia aseho foana amin'ny voalohany ampidirana ny pejy.
お知らせの2行目	Ny andalana faharoa amin'ny fampandrenesana
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Hiseho hatrany amin'ny fampisehoana voalohany ity hafatra ity rehefa manan-kery ny EU GDPR.
お知らせの3行目	Ny andalana fahatelo amin'ny fampandrenesana
プライバシーポリシーのリンクの右側に表示されます	Hiseho eo ankavananan'ny rohy mankany amin'ny Politikan'ny Tsiambaratelo.
非EU向け確認の文字列	Teny fanamafisana ho an'ny firenena tsy ao anatin'ny Vondrona Eoropeanina
EU GDPR向け同意するの文字列	Teny fanekena ho an'ny GDPR an'ny Vondrona Eoropeana
EU GDPR向け同意しないの文字列	Teny ho an'ny 'Aza manaiky' eo ambanin'ny GDPR an'ny Vondrona Eoropeana
プライバシーポリシーの文字列	Teny momba ny politika fiarovana ny tsiambaratelo
プライバシーポリシーのURLはこちらから設定して下さい	Azafady, apetraho eto ny URL ho an'ny politika momba ny tsiambaratelo.
プライバシーポリシーには以下の内容を追加して下さい	Azafady ampio ireto manaraka ireto ao amin'ny Politikan'ny Tsiambaratelo.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Mba hahitana hetsika hosoka, dia tehirizina ao anaty cookies sy tahiry angona ny mombamomba toy ny adiresy IP. Fafana araka ny sitrapon'ny mpitantana ny angona voatahiry.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Mba hahazoana antoka fa alefa araka ny tokony ho izy ny sary rehefa mandeha ny fiarovana sary, dia mitahiry angon-drakitra voahash izay ahitana ny adiresy IP sy ny anaran'ny rakitra sary ao amin'ny tahiry izahay mandritra ny 60 minitra.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Raha mametraka Fepetra fampiasana ianao, azafady mba ataovy azo antoka fa mampiditra rohy mankany amin'izy ireo ao amin'ny Politikan'ny tsiambaratelo anao.
利用規約の文字列	Lahatsoratr'ireo Fepetran'ny Fampiasana
利用規約のページ	Pejin'ny Fepetra sy Fitsipika
ページ選択なし	Tsy misy pejy voafidy
検索エンジン等のURL	URL ho an'ny milina fikarohana, sns.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Farito ny URL ho an'ny milina fikarohana sy ireo tranonkala mitovy izay mandefa mpampiasa any amin'ny toerana hafa rehefa tsy omena fankatoavana.
デバッグモード、コンソールの警告メッセージ	Maody famahana hadisoana, hafatra fampitandremana amin'ny console
右クリックの警告メッセージ	Tsindrio-ankavanana ny hafatra fampitandremana
印刷、PDF保存の警告メッセージ	Fampitandremana momba ny fanontana sy ny fitahirizana ho PDF
スクリーンショットの警告メッセージ	Hafatra fampitandremana ao amin'ny pikantsary
スクリーンショットの疑いの警告メッセージ	Fampitandremana momba ny sary efijery ahiana
テキスト全選択時の警告メッセージ	Hafatra fampitandremana rehefa voafidy ny lahatsoratra rehetra
ページ保存の警告メッセージ	Fampitandremana momba ny fitahirizana pejy
コピー・カットした時に表示するメッセージ	Haseho ity hafatra ity rehefa maka na manapaka.
HTMLソース表示時に表示するメッセージ	Hafatra haseho rehefa mijery ny loharanon'ny HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Hafatra haseho eo an-tampon'ny kaody loharano rehefa manafina na miaro HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Haseho ny hafatra raha tsy manankery ny token fanamarinana indray mandeha mandritra ny fiarovana HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Hafatra haseho raha toa ka voasakana ny cookies na ny JavaScript
実際にはJavascriptが無効時のみ表示されます	Raha ny marina, tsy miseho ity afa-tsy rehefa voasakana ny JavaScript.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Rehefa arovana ny sary iray, dia alaina izy, ary miseho eo amboniny ny hafatra
HTML難読化 (圧縮)	Fanafenana ny kaody HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Ity no fanerena HTML mahazatra; misy koa tranonkala afaka mandika azy.
このオプションを有効にするとview-sourceのログが取得できます	Ny fampandehanana ity safidy ity dia ahafahanao maka ny rakitra log-n'ny fijerena ny loharano.
HTML保護	Fiarovana HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Mamoaka HTML fototra indrindra fotsiny izy—na dia kely kokoa aza noho ny fampiasana fanerena HTML—ary tsy mamoaka mihitsy ny votoaty ao anatin'ny tag BODY.
Firefoxに対しては無効です	Tsy mihatra amin'ny Firefox ity.
SEOに著しく影響があります	Manana fiantraikany lehibe amin'ny SEO izany.
HTMLをJavaScriptで描画	Fanaovana sary an-tsary HTML amin'ny alalan'ny JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Mba hiasa manodidina ny Firefox, dia asehontsika amin'ny alalan'ny JavaScript ny HTML.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Ny fampandehanana ny fanehoana JavaScript dia hampiadana be ny hafainganam-pandehan'ny fampidinana ny tranonkala.
画像の保護	Fiarovana ny sary
imgタグが呼び出されるごとに画像を保護	Arovy ny sary isaky ny antsoina ny tag img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Arovy ny sary rehetra ampidirina ao amin'ny WordPress ao anatin'ny vokatra HTML manontolo.
画像をダウンロードから保護します	Miaro ny sary tsy ho alaina
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Rehefa arovana ny angon-tsary dia misakana saika ny fisintomana rehetra izahay, mamoaka URL tokana ampiasaina indray mandeha, manamarina ny mombamomba amin'ny alalan'ny token voatahiry ao anatin'ny session, ary mampiseho ny sary amin'ny alalan'ny PHP; izany dia misakana am-pahombiazana saika ny tranga rehetra amin'ny halatra sary.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Rehefa arovana ny angon-tsary, tsy miasa ny fitahirizana vonjimaika, izay midika fa haharitra ela kokoa ny fampidinana ny tranonkala amin'ny fitsidihana manaraka, ka misy fiantraikany amin'ny SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Ny fiarovana ny angon-tsary dia mety hampitombo ny enta-mavesatra amin'ny tahiry angona.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Raha misafidy ny 'Miaro ny sary isaky ny antsoina ny tag img' ianao, dia mampiasa add_filter ny rafitra mba hanasivanana rehefa foronina ny tag img; na izany aza, mety tsy hiasa tsara amin'ny lohahevitra sasany izany.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Raha misafidy ny 'Miaro ny sary rehetra ampidirina ao amin'ny WordPress ao anatin'ny vokatra HTML manontolo' ianao, dia handrakitra saika ny asa rehetra ataon'ny WordPress ny plugin ary handinika ny tag img tsirairay ao anatin'ny votoaty. Mariho fa mety tsy hiasa tsara amin'ny lohahevitra sasany izany.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Mariho fa ny sary voatendry ho sary misongadina dia hozaraina ho toy ny angon-drakitra OGP ary tsy azo arovana. Raha tena ilainao arovana izy ireo dia ovay ny fikirana momba ny famoahana ny marika HEAD ao amin'ny fikirakirana mandroso rehefa mampavitrika ny fiarovana HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Tsy azo arovana ny fiasa fakana sary efijery tafiditra ho fenitra ao amin'ny rafitra fandidiana.
画像URLの保護	Fiarovana ny URL-n'ny sary
画像の保護と組み合わせて使用します、単体では意味がありません	Tokony ampiasaina miaraka amin'ny fiarovana sary izy ity; raha irery izy dia tsy misy ilana azy.
JavaScriptにより遅延読まれますのでSEOに影響があります	Satria ampidirina miadana amin'ny alalan'ny JavaScript izy, dia misy fiantraikany amin'ny SEO izany.
画像のウォーターマーク	Marika rano amin'ny sary
右下	Ambany ankavanana
ランダム位置	Toerana kisendrasendra
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Ampiasaina miaraka amin'ny fiarovana ny sary, ny marika an-drano mihetsika dia mampiseho mazava tsara ny maha-tompon'ny zon'ny mpamorona sady manome fahatsapana ho an'ny mpijery fa arahi-maso izy ireo, ka manakana azy ireo tsy hanao ratsy.
JPG形式、PNG形式、WebP形式のみ対応します	Ny endrika JPG, PNG ary WebP ihany no tohanana.
有効にするとサーバーの負荷が高くなります	Ny fampandehanana izany dia hampitombo ny enta-mavesatra amin'ny mpizara.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Mamoaka zavakanto ASCII avy amin'ny kaody loharano HTML mandritra ny fanalana mazava sy ny fiarovana
表示なし	Tsy misy fampisehoana
