設定	Issettjarijiet
IPログリーダー	Qarrej tal-Logs tal-IP
IPアドレスログ	Reġistru tal-indirizzi IP
全クリア	Kompleta l-livelli kollha
IPログが全て削除されました	Il-logijiet kollha tal-IP ġew imħassra.
ID	Identifikazzjoni
タイムスタンプ	Ħin tal-istampa
IPアドレス	Indirizz IP
ユーザーエージェント	Aġent tal-utent
イベント	Avveniment
IPアドレスのデータはありません	M'hemm l-ebda dejta għal din l-indirizz IP.
EU GDPR対応	Konformità mal-GDPR tal-UE
無効	Invalid
有効	Validu
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Jekk qed tuża WordPress fl-Unjoni Ewropea, jew jekk is-sit web tiegħek huwa mmirat lejn utenti fl-Unjoni Ewropea, jekk jogħġbok kun żgur li dan ikun attivat.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Il-buttuna 'Ikkonferma' se tinbidel f' 'Jaqbel' jew 'Ma jaqbilx', u l-imġiba se tinbidel ftit.
同意画面の色	Il-kulur tal-iskrin tal-kunsens
自動	Awtomatiku
ライトモード	Modalità ħafifa
ダークモード	Modalità skura
同意画面表示中の配色を設定します	Issettja l-iskema tal-kuluri għas-skrin tal-kunsens
同意画面中のコンテンツのぼかし	Imċajpar tal-kontenut fuq l-iskrin tal-kunsens
同意画面表示中のコンテンツのぼかし具合を設定します	Issettja l-livell ta' offuscament għall-kontenut li jidher fuq l-iskrin tal-kunsens
同意画面の透過	Trasparenza tal-iskrin tal-kunsens
透過なし	L-ebda trasparenza
同意画面の透過具合を設定します	Issettja l-opaku tal-iskrin tal-kunsens
お知らせの1行目	L-ewwel linja tal-annunzju
初回表示で必ず表示されるメッセージです	Dan il-messaġġ jidher dejjem l-ewwel darba li l-paġna titgħabba
お知らせの2行目	It-tieni linja tan-notifika
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Dan il-messaġġ se jidher dejjem fuq l-ewwel wirja biss meta l-GDPR tal-UE ikun fis-seħħ.
お知らせの3行目	It-tielet linja tan-notifika
プライバシーポリシーのリンクの右側に表示されます	Se jidher fuq il-lemin tal-link għall-Politika tal-Privatezza.
非EU向け確認の文字列	Test ta' konferma għall-pajjiżi mhux tal-UE
EU GDPR向け同意するの文字列	Test ta' kunsens għall-GDPR tal-UE
