設定	Allichaykuna
IPログリーダー	IP Qillqa Ñawiriq
IPアドレスログ	IP tiyay qillqasqa
全クリア	Tukuy patakunata tukuy
IPログが全て削除されました	Llapan IP qillqasqakuna pichasqañam kanku.
ID	Pichqa yupay
タイムスタンプ	Pacha qillqa
IPアドレス	Llika tiyanap tupuynin
ユーザーエージェント	Ruraq apachikuq
イベント	Ruway
IPアドレスのデータはありません	Kay IP direccionpaqqa manam willakuy kanchu.
EU GDPR対応	UE GDPR nisqaman hunt'ay
無効	Mana chanin
有効	Chanin
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	WordPress nisqata UE ukhupi llamk'achichkanki chayqa, utaq web p'anqayki UE ukhupi kaqkunapaq kachkan chayqa, ama hina kaspa, kayta churay.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' ñit'inaqa 'Arí' utaq 'Manan' nisqamanmi t'ikrakunqa, hinaspataq ruwayninpas pisillata t'ikrakunqa.
同意画面の色	Arí ninapaq qhawanap llimp'in
自動	Kikinmanta
ライトモード	Hap'iqlla ñan
ダークモード	Yana Rikch'ay
同意画面表示中の配色を設定します	Arí ninapaq qhawanapaq llimp'ikunata churay
同意画面中のコンテンツのぼかし	Munasqayki qhawanapi imaymanakuna laqhayay
同意画面表示中のコンテンツのぼかし具合を設定します	Munasqayki qhawana p'anqapi rikuchisqa kaqkunapaq laqhayachiy sayayninta churay.
同意画面の透過	Arí ninapaq qhawanap ch'uyayaynin
透過なし	Mana ch'uyanchay
同意画面の透過具合を設定します	Aranway qhawanap ch'uyaynin churanakuy
お知らせの1行目	Willakuypa ñawpaq siq'in
初回表示で必ず表示されるメッセージです	Kay willakuyqa sapa kutin rikuchikun p'anqa ñawpaq kutita kargakusqanpi.
お知らせの2行目	Willakuypa iskay ñiqin siq'in
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Kay willakuyqa ñawpaq qhawanapim wiñaypaq rikurinqa, EU GDPR kamachikuy kallpachasqa kachkaptinlla.
お知らせの3行目	Willakuypa kinsa ñiqin siq'in
プライバシーポリシーのリンクの右側に表示されます	Sapanchasqa Willaykunamanta Kamachikuypa t'inkininpa paña larunpi rikhurinqa.
非EU向け確認の文字列	Mana UE suyukunapaq takyachina qillqa
EU GDPR向け同意するの文字列	UE GDPR nisqapaq ari ninapaq qillqa
EU GDPR向け同意しないの文字列	Ama ari ninachu, UE GDPR kamachikuypaq qillqa
プライバシーポリシーの文字列	Sapanchasqa willakuykunamanta kamachikuy qillqa
プライバシーポリシーのURLはこちらから設定して下さい	Ama hina kaspa, kaypi churaq chaski kamachikuypa URL nisqanta.
プライバシーポリシーには以下の内容を追加して下さい	Ama hina kaspa, kay qatiqta Sapanchasqa Willakuykunamanta Kamachikuyman yapay.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Llulla ruwaykunata taripanapaq, IP direccionkuna hina riqsichinakunaqa cookies nisqapi hinallataq willay taqipi waqaychasqa kanku. Waqaychasqa willaykunaqa kamachiqpa munasqanman hina pichasqa kanku.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Rikch'a amachay llamk'achkasqan pachapi rikch'akuna allinta chaskisqa kanankuta qhawanapaq, IP tiyaywan rikch'a sutintawan hap'iq hashaqchasqa willakuykunata willay taqiykupi suqta chunka minutukama waqaychayku.
