設定	налаштування
IPログリーダー	Зчитування журналу IP
IPアドレスログ	Журнал IP-адрес
全クリア	Все чисто.
IPログが全て削除されました	Всі IP-логи були видалені.
ID	ІДЕНТИФІКАТОР
タイムスタンプ	відмітка часу
IPアドレス	IP-адреса
ユーザーエージェント	Агент користувача
イベント	Подія
IPアドレスのデータはありません	Дані про IP-адресу відсутні.
デバッグモード、コンソールの警告メッセージ	Режим налагодження, консольні попереджувальні повідомлення.
右クリックの警告メッセージ	Клацніть правою кнопкою миші на попереджувальних повідомленнях.
印刷、PDF保存の警告メッセージ	Попередження під час друку та збереження PDF-файлів.
スクリーンショットの警告メッセージ	Скріншот попереджувальних повідомлень.
スクリーンショットの疑いの警告メッセージ	Попереджувальне повідомлення на скріншоті.
テキスト全選択時の警告メッセージ	Попередження, коли виділено весь текст.
ページ保存の警告メッセージ	Попередження про збереження сторінки.
コピー・カットした時に表示するメッセージ	Повідомлення відображається при копіюванні або вирізанні.
HTMLソース表示時に表示するメッセージ	Повідомлення, яке буде показано при відображенні HTML-джерела
HTML難読化・保護時にソースの先頭に表示するメッセージ	Повідомлення, яке буде показано на початку вихідного коду, коли HTML завуальовано та захищено.
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Повідомлення відображається, якщо одноразовий маркер автентифікації є аномальним під час захисту HTML.
CookieやJavascriptが有効でない場合に表示するメッセージ	Повідомлення відображається, якщо файли cookie та Javascript не ввімкнено.
実際にはJavascriptが無効時のみ表示されます	На практиці це видно лише тоді, коли Javascript вимкнено.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Повідомлення, що відображається на зображенні, коли зображення завантажується і зображення захищене Тільки англійська мова
HTML難読化 (圧縮)	Обфускація
無効	недійсний
有効	дійсність
一般的なHTML圧縮です、難読化解除のサイトもあります	Загальне стиснення HTML, деякі сайти мають де-обфускацію.
このオプションを有効にするとview-sourceのログが取得できます	Увімкніть цю опцію для журналу view-source
HTML保護	Захист HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	За межами стиснення HTML виводиться лише мінімальний HTML, а вміст тегу BODY не виводиться взагалі.
Firefoxに対しては無効です	Не діє для Firefox.
SEOに著しく影響があります	Істотно впливає на SEO.
HTMLをJavaScriptで描画	Відображення HTML за допомогою JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Відображення HTML за допомогою JavaScript у Firefox
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Увімкнення рендерингу JavaScript значно сповільнить швидкість відображення веб-сайту
画像の保護	Захист зображення.
imgタグが呼び出されるごとに画像を保護	Захищайте зображення щоразу, коли викликається тег img.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Захистіть усі зображення, завантажені на Wordpress, у всіх HTML-видачах
画像をダウンロードから保護します	Захищає зображення від завантаження.
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Майже повністю запобігає завантаженню, коли дані зображення захищені, видає повну одноразову URL-адресу, аутентифікує за допомогою токена, що зберігається в сесії, і відображає зображення з php, таким чином майже повністю запобігаючи крадіжці зображень.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Коли дані зображень захищені, кешування зображень не працює, тому при наступному відвідуванні сайт завантажується повільніше, що впливає на SEO
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Навантаження на базу даних може бути вищим, коли дані зображень захищені
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Для "Захищати зображення кожного разу, коли викликається тег img", використовуйте add_filter і filter при публікації тегів img, в залежності від теми це може працювати некоректно
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	"Захищати всі зображення, завантажені в Wordpress, з усього HTML-виводу" перехопить майже всю активність Wordpress і обробить все, що стосується тегів img у контенті. Деякі теми працюватимуть некоректно
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Зверніть увагу, що зображення, визначені як привабливі, поширюються як OGP і не можуть бути захищені. Якщо ви хочете їх захистити, змініть вибір виведення тегу HEAD при захисті HTML у додаткових налаштуваннях.
