設定	सेटिंग्ज
IPログリーダー	आयपी लॉग रीडर
IPアドレスログ	आयपी पत्ता लॉग
全クリア	सर्व स्तर पूर्ण करा
IPログが全て削除されました	सर्व आयपी नोंदी हटवल्या गेल्या आहेत
ID	ओळखपत्र
タイムスタンプ	वेळचिन्ह
IPアドレス	आयपी पत्ता
ユーザーエージェント	वापरकर्ता एजंट
イベント	कार्यक्रम
IPアドレスのデータはありません	या आयपी पत्त्यासाठी कोणतीही माहिती उपलब्ध नाही.
EU GDPR対応	EU GDPR चे अनुपालन
無効	अमान्य
有効	वैध
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	जर आपण EU मध्ये WordPress वापरत असाल किंवा आपली वेबसाइट EU मधील वापरकर्त्यांना लक्ष्य करत असेल, तर कृपया हे सक्षम असल्याची खात्री करा.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' बटण 'Agree' किंवा 'Disagree' मध्ये बदलेल आणि वर्तन थोडेसे बदलेल.
同意画面の色	संमती स्क्रीनचा रंग
自動	स्वयंचलित
ライトモード	हलका मोड
ダークモード	डार्क मोड
同意画面表示中の配色を設定します	संमती स्क्रीनसाठी रंगसंगती सेट करा
同意画面中のコンテンツのぼかし	संमती स्क्रीनवरील सामग्री अस्पष्ट करणे
同意画面表示中のコンテンツのぼかし具合を設定します	संमती स्क्रीनवर प्रदर्शित होणाऱ्या सामग्रीसाठी धुंधळेपणाची पातळी सेट करा
同意画面の透過	संमती स्क्रीनची पारदर्शकता
透過なし	पारदर्शकता नाही
同意画面の透過具合を設定します	संमती स्क्रीनची पारदर्शकता सेट करा
お知らせの1行目	घोषणेची पहिली ओळ
初回表示で必ず表示されるメッセージです	हा संदेश पृष्ठ प्रथमच लोड झाल्यावर नेहमी प्रदर्शित होतो.
お知らせの2行目	सूचनेची दुसरी ओळ
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	हा संदेश फक्त पहिल्या डिस्प्लेवरच नेहमी दिसेल जेव्हा EU GDPR लागू असेल.
お知らせの3行目	सूचनेची तिसरी ओळ
プライバシーポリシーのリンクの右側に表示されます	हे गोपनीयता धोरणाच्या दुव्याच्या उजवीकडे दिसेल.
非EU向け確認の文字列	EU बाहेरील देशांसाठी पुष्टीकरण मजकूर
EU GDPR向け同意するの文字列	EU GDPR साठी संमती मजकूर
EU GDPR向け同意しないの文字列	EU GDPR अंतर्गत 'सहमती देऊ नका' साठी मजकूर
プライバシーポリシーの文字列	गोपनीयता धोरण मजकूर
プライバシーポリシーのURLはこちらから設定して下さい	कृपया येथे गोपनीयता धोरणाची URL सेट करा
プライバシーポリシーには以下の内容を追加して下さい	कृपया खालील गोष्टी गोपनीयता धोरणात समाविष्ट करा.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	फसवणुकीच्या क्रियाकलापांचा शोध घेण्यासाठी, आयपी पत्ते यांसारखी ओळखपत्रां कुकीज आणि डेटाबेसमध्ये संग्रहित केली जातात. संग्रहित डेटा प्रशासकाच्या विवेकानुसार हटवला जातो.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	प्रतिमा संरक्षण सक्षम असतानाच प्रतिमा अचूकपणे वितरित होण्याची खात्री करण्यासाठी, आम्ही डेटाबेसमध्ये आयपी पत्ता आणि प्रतिमा फाईलनाव यांचा समावेश असलेला हॅश केलेला डेटा ६० मिनिटांपर्यंत संग्रहित करतो.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	जर आपण वापराच्या अटी तयार करत असाल, तर कृपया आपल्या गोपनीयता धोरणात त्यांचा दुवा समाविष्ट असल्याची खात्री करा.
利用規約の文字列	वापर अटींचा मजकूर
利用規約のページ	अटी व शर्ती पृष्ठ
ページ選択なし	कोणतीही पृष्ठे निवडलेली नाहीत
検索エンジン等のURL	शोध इंजिन इत्यादींसाठी URL
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	जेव्हा संमती दिली जात नाही तेव्हा वापरकर्त्यांना पुनर्निर्देशित करणाऱ्या शोध इंजिन आणि तत्सम साइट्ससाठी URL सेट करा
デバッグモード、コンソールの警告メッセージ	डिबग मोड, कन्सोल चेतावणी संदेश
右クリックの警告メッセージ	उजव्या-क्लिक चेतावणी संदेश
印刷、PDF保存の警告メッセージ	PDF मध्ये मुद्रण आणि जतन करण्याबाबतचे चेतावणी संदेश
スクリーンショットの警告メッセージ	स्क्रीनशॉटमधील चेतावणी संदेश
スクリーンショットの疑いの警告メッセージ	संशयित स्क्रीनशॉट्सबाबतचे चेतावणी संदेश
テキスト全選択時の警告メッセージ	सर्व मजकूर निवडल्यावर चेतावणी संदेश
ページ保存の警告メッセージ	पृष्ठ जतन करण्याबाबतचे चेतावणी संदेश
コピー・カットした時に表示するメッセージ	कॉपी किंवा कट करताना प्रदर्शित होणारा संदेश
HTMLソース表示時に表示するメッセージ	HTML स्त्रोत पाहताना प्रदर्शित होणारा संदेश
