設定	அமைப்புகள்
IPログリーダー	ஐபி பதிவு வாசகர்
IPアドレスログ	ஐபி முகவரிப் பதிவு
全クリア	அனைத்து நிலைகளையும் முடிக்கவும்
IPログが全て削除されました	அனைத்து ஐபி பதிவுகளும் நீக்கப்பட்டுள்ளன
ID	அடையாளம்
タイムスタンプ	நேர முத்திரை
IPアドレス	ஐபி முகவரி
ユーザーエージェント	பயனர் முகவர்
イベント	நிகழ்வு
IPアドレスのデータはありません	இந்த IP முகவரிக்கான தரவுகள் இல்லை
EU GDPR対応	ஐரோப்பிய ஒன்றிய GDPR இணக்கம்
無効	செயலற்ற
有効	சரி
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	நீங்கள் ஐரோப்பிய ஒன்றியத்திற்குள் வேர்ட்பிரஸ்ஸைப் பயன்படுத்தினால், அல்லது உங்கள் இணையதளம் ஐரோப்பிய ஒன்றியப் பயனர்களை இலக்காகக் கொண்டிருந்தால், இது இயக்கப்பட்டிருப்பதை உறுதிப்படுத்திக் கொள்ளுங்கள்.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'உறுதிப்படுத்து' பொத்தான் 'ஒப்புக்கொள்கிறேன்' அல்லது 'ஒப்புக்கொள்ளவில்லை' என்று மாறும், மேலும் அதன் செயல்பாடும் சற்று மாறும்.
同意画面の色	ஒப்புதல் திரையின் நிறம்
自動	தானியங்கி
ライトモード	இலகுவான பயன்முறை
ダークモード	இருண்ட பயன்முறை
同意画面表示中の配色を設定します	ஒப்புதல் திரைக்கான வண்ணத் திட்டத்தை அமைக்கவும்
同意画面中のコンテンツのぼかし	உடன்பாட்டுத் திரையில் உள்ளடக்கத்தை மங்கச் செய்தல்
同意画面表示中のコンテンツのぼかし具合を設定します	சம்மதத் திரையில் காட்டப்படும் உள்ளடக்கத்திற்கான மங்கல் அளவை அமைக்கவும்
同意画面の透過	ஒப்புதல் திரையின் வெளிப்படைத்தன்மை
透過なし	வெளிப்படைத்தன்மை இல்லை
同意画面の透過具合を設定します	ஒப்புதல் திரையின் ஒளிப்படைத்தன்மையை அமைக்கவும்
お知らせの1行目	அறிவிப்பின் முதல் வரி
初回表示で必ず表示されるメッセージです	பக்கம் முதன்முதலில் ஏற்றப்படும்போது இந்தச் செய்தி எப்போதும் காட்டப்படும்.
お知らせの2行目	அறிவிப்பின் இரண்டாவது வரி
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	EU GDPR அமலில் இருக்கும்போது மட்டுமே இந்தச் செய்தி முதல் திரையில் எப்போதும் தோன்றும்.
お知らせの3行目	அறிவிப்பின் மூன்றாவது வரி
プライバシーポリシーのリンクの右側に表示されます	தனியுரிமைக் கொள்கைக்கான இணைப்பின் வலதுபுறத்தில் அது தோன்றும்.
非EU向け確認の文字列	ஐரோப்பிய ஒன்றியத்தில் இல்லாத நாடுகளுக்கான உறுதிப்படுத்தல் உரை
EU GDPR向け同意するの文字列	ஐரோப்பிய ஒன்றிய GDPR-க்கான ஒப்புதல் உரை
EU GDPR向け同意しないの文字列	ஐரோப்பிய ஒன்றிய GDPR-இன் கீழ் 'சம்மதிக்க வேண்டாம்' என்பதற்கான உரை
プライバシーポリシーの文字列	தனியுரிமைக் கொள்கை உரை
プライバシーポリシーのURLはこちらから設定して下さい	தயவுசெய்து தனியுரிமைக் கொள்கைக்கான URL-ஐ இங்கே அமைக்கவும்.
プライバシーポリシーには以下の内容を追加して下さい	தயவுசெய்து பின்வருவனவற்றைத் தனியுரிமைக் கொள்கையில் சேர்க்கவும்.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	மோசடி நடவடிக்கைகளைக் கண்டறிய, IP முகவரிகள் போன்ற அடையாளங்காட்டிகள் குக்கீகளிலும் தரவுத்தளத்திலும் சேமிக்கப்படுகின்றன. சேமிக்கப்பட்ட தரவுகள் நிர்வாகியின் விருப்பத்தின் பேரில் நீக்கப்படும்.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	படப் பாதுகாப்பு இயக்கப்பட்டிருக்கும் போது மட்டுமே படங்கள் சரியாக வழங்கப்படுவதை உறுதிசெய்ய, நாங்கள் ஐபி முகவரி மற்றும் படக் கோப்புப் பெயரை உள்ளடக்கிய ஹேஷ் செய்யப்பட்ட தரவை 60 நிமிடங்கள் வரை தரவுத்தளத்தில் சேமிக்கிறோம்.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	நீங்கள் பயன்பாட்டு விதிமுறைகளை அமைத்தால், உங்கள் தனியுரிமைக் கொள்கையில் அதற்கான இணைப்பைச் சேர்ப்பதை உறுதிசெய்யவும்.
利用規約の文字列	பயன்பாட்டு விதிமுறைகளின் உரை
利用規約のページ	விதிமுறைகள் மற்றும் நிபந்தனைகள் பக்கம்
ページ選択なし	பக்கம் தேர்ந்தெடுக்கப்படவில்லை
検索エンジン等のURL	தேடுபொறிகள் போன்றவற்றுக்கான URL-கள்
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	பயனர்கள் ஒப்புக்கொள்ளாதபோது அவர்களைத் திருப்பிவிடும் தேடுபொறிகள் மற்றும் அதுபோன்ற தளங்களுக்கான URL-ஐ அமைக்கவும்
デバッグモード、コンソールの警告メッセージ	பிழைதிருத்த முறை, கன்சோல் எச்சரிக்கைச் செய்திகள்
右クリックの警告メッセージ	வலது-கிளிக் எச்சரிக்கை செய்தி
印刷、PDF保存の警告メッセージ	PDF ஆக அச்சிடுதல் மற்றும் சேமித்தல் தொடர்பான எச்சரிக்கை செய்தி
スクリーンショットの警告メッセージ	திரைப்பிடிப்பில் எச்சரிக்கைச் செய்தி
スクリーンショットの疑いの警告メッセージ	சந்தேகத்திற்கிடமான ஸ்கிரீன்ஷாட்கள் குறித்த எச்சரிக்கை செய்தி
テキスト全選択時の警告メッセージ	அனைத்து உரையும் தேர்ந்தெடுக்கப்பட்டிருக்கும் போது எச்சரிக்கை செய்தி
ページ保存の警告メッセージ	பக்கம் சேமிப்பது தொடர்பான எச்சரிக்கை செய்தி
コピー・カットした時に表示するメッセージ	காப்பியிடும்போது அல்லது வெட்டும்போது காட்டப்படும் செய்தி
HTMLソース表示時に表示するメッセージ	HTML மூலத்தைக் காணும்போது காட்டப்படும் செய்தி
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML-ஐ மறைகுறியாக்கம் அல்லது பாதுகாக்கும்போது மூலக் குறியீட்டின் மேலே காட்டப்படும் செய்தி
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML பாதுகாப்பு செயல்பாட்டின் போது, ஒருமுறை அங்கீகாரக் குறியீடு செல்லாததாக இருந்தால் காட்டப்படும் செய்தி
CookieやJavascriptが有効でない場合に表示するメッセージ	குக்கீகள் அல்லது ஜாவாஸ்கிரிப்ட் முடக்கப்பட்டிருந்தால் காட்டப்படும் செய்தி
実際にはJavascriptが無効時のみ表示されます	உண்மையில், ஜாவாஸ்கிரிப்ட் முடக்கப்படும்போது மட்டுமே இது காட்டப்படும்.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	ஒரு படம் பாதுகாக்கப்படும்போது, அது பதிவிறக்கப்பட்டு, அந்தப் படத்தில் ஒரு செய்தி காட்டப்படும்
HTML難読化 (圧縮)	HTML மறைகுறியாக்கம்
一般的なHTML圧縮です、難読化解除のサイトもあります	இது ஒரு நிலையான HTML சுருக்கமாகும்; இதை மீண்டும் குறியாக்கம் செய்யக்கூடிய இணையதளங்களும் உள்ளன.
このオプションを有効にするとview-sourceのログが取得できます	இந்த விருப்பத்தை இயக்குவது, வியூ-சோர்ஸ் பதிவைப் பெற உங்களை அனுமதிக்கிறது.
HTML保護	HTML பாதுகாப்பு
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	இது HTML சுருக்க அமைப்பை விடக் குறைவான HTML-ஐயே வெளியிடுகிறது, அதாவது BODY குறிச்சொல்லுக்குள் உள்ள உள்ளடக்கம் முற்றிலும் காட்டப்படாது.
Firefoxに対しては無効です	இது ஃபயர்பாக்ஸுக்குப் பொருந்தாது
SEOに著しく影響があります	இது எஸ்சிஓ-வில் குறிப்பிடத்தக்க தாக்கத்தை ஏற்படுத்துகிறது.
HTMLをJavaScriptで描画	ஜாவாஸ்கிரிப்ட் பயன்படுத்தி HTML உருவாக்குதல்
Firefox対策としてHTMLをJavaScriptで描画をします	ஃபயர்பாக்ஸில் சிக்கல்களைத் தவிர்க்க, ஜாவாஸ்கிரிப்ட் பயன்படுத்தி HTML-ஐ ரெண்டர் செய்கிறோம்.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	ஜாவாஸ்கிரிப்ட் ரெண்டரிங்கை இயக்குவது, வலைத்தளத்தின் ஏற்றுதல் வேகத்தை கணிசமாகக் குறைக்கும்.
画像の保護	படப் பாதுகாப்பு
imgタグが呼び出されるごとに画像を保護	Img குறிச்சொல் அழைக்கப்படும் ஒவ்வொரு முறையும் படத்தைப் பாதுகாக்கவும்
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	முழு HTML வெளியீட்டிற்குள் வேர்ட்பிரஸில் பதிவேற்றப்பட்ட அனைத்து படங்களையும் பாதுகாக்கவும்
画像をダウンロードから保護します	படங்கள் பதிவிறக்கம் செய்யப்படுவதிலிருந்து பாதுகாக்கிறது
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	படத் தரவுகள் பாதுகாக்கப்படும்போது, நாங்கள் ஏறக்குறைய அனைத்து பதிவிறக்கங்களையும் தடுக்கிறோம், தனித்துவமான ஒருமுறை URL-களை வழங்குகிறோம், அமர்வில் சேமிக்கப்பட்ட டோக்கன்களைப் பயன்படுத்தி அங்கீகரிக்கிறோம், மேலும் PHP வழியாகப் படங்களைக் காட்டுகிறோம்; இது ஏறக்குறைய அனைத்துப் படத் திருட்டுகளையும் திறம்படத் தடுக்கிறது.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	படத் தரவுகள் பாதுகாக்கப்படும்போது, கேச்சிங் வேலை செய்யாது, அதாவது அடுத்தடுத்த வருகைகளில் தளம் மெதுவாக ஏற்றப்படும், இதனால் எஸ்சிஓ பாதிக்கப்படும்.
