設定	Configuración
IPログリーダー	Lector de rexistros IP
IPアドレスログ	Registro de enderezos IP
全クリア	Completa todos os niveis
IPログが全て削除されました	Todos os rexistros de IP foron eliminados
ID	Identificación
タイムスタンプ	Sellado de tempo
IPアドレス	Enderezo IP
ユーザーエージェント	Agente de usuario
イベント	Evento
IPアドレスのデータはありません	Non hai datos para esta dirección IP.
EU GDPR対応	Cumprimento do RGPD da UE
無効	Invalido
有効	Válido
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Se está a usar WordPress na UE ou se o seu sitio web está dirixido a usuarios na UE, asegúrese de que isto estea habilitado.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	O botón 'Confirmar' cambiará a 'Estou de acordo' ou 'Non estou de acordo', e o comportamento cambiará lixeiramente.
同意画面の色	Cor da pantalla de consentimento
自動	Automático
ライトモード	Modo lixeiro
ダークモード	Modo escuro
同意画面表示中の配色を設定します	Establece o esquema de cores para a pantalla de consentimento.
同意画面中のコンテンツのぼかし	Emborrallamento do contido na pantalla de consentimento
同意画面表示中のコンテンツのぼかし具合を設定します	Establece o nivel de difuminado para o contido que se amosa na pantalla de consentimento.
同意画面の透過	Transparencia da pantalla de consentimento
透過なし	Sen transparencia
同意画面の透過具合を設定します	Establecer a opacidade da pantalla de consentimento
お知らせの1行目	Primeira liña do anuncio
初回表示で必ず表示されるメッセージです	Esta mensaxe amósase sempre a primeira vez que a páxina se carga
お知らせの2行目	A segunda liña do aviso
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Esta mensaxe aparecerá sempre na primeira pantalla só cando o RGPD da UE estea en vigor.
お知らせの3行目	A terceira liña do aviso
プライバシーポリシーのリンクの右側に表示されます	Aparecerá á dereita do enlace á Política de privacidade.
非EU向け確認の文字列	Texto de confirmación para países non pertencentes á UE
EU GDPR向け同意するの文字列	Texto de consentimento para o RGPD da UE
EU GDPR向け同意しないの文字列	Texto para 'Non consentir' ao abeiro do RGPD da UE
プライバシーポリシーの文字列	Texto da política de privacidade
プライバシーポリシーのURLはこちらから設定して下さい	Por favor, estableza aquí a URL da política de privacidade.
プライバシーポリシーには以下の内容を追加して下さい	Por favor, engada o seguinte á Política de privacidade.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Para detectar actividades fraudulentas, almacénanse identificadores como enderezos IP en cookies e bases de datos. Os datos almacenados elíminanse a criterio do administrador.
