設定	Bongiseli
IPログリーダー	Motangi ya ba log ya IP
IPアドレスログ	Lisolo ya ba adresi IP
全クリア	Sukisa ba nivo nyonso
IPログが全て削除されました	Balog ya IP nyonso elongolami.
ID	Elembo ya koyeba moto
タイムスタンプ	Ekomami na ngonga
IPアドレス	Adresi IP
ユーザーエージェント	Agent ya mosaleli
イベント	Likambo
IPアドレスのデータはありません	Ba données ezali te mpo na adresi IP oyo.
EU GDPR対応	Botosi na GDPR ya Lisanga ya Mpoto
無効	Ezali te
有効	Endimami
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Soki ozali kosalela WordPress na kati ya Union Européenne, to soki site na yo ezali mpo na bato ya kati ya Union Européenne, soki te, yebisa ete likambo oyo efungwami.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Bouton 'Confirmer' ekobongwana na 'Okondima' to 'Okondima te', mpe lolenge ya mosala ekobongwana moke.
同意画面の色	Langi ya écran ya ndingisa
自動	Yemɔkɔ
ライトモード	Lolenge ya pɛpɛlɛ
ダークモード	Lolenge ya moindo
同意画面表示中の配色を設定します	Bongisa lolenge ya balangi ya écran ya ndingisa.
同意画面中のコンテンツのぼかし	Kopola emonaneli ya makambo na écran ya ndingisa
同意画面表示中のコンテンツのぼかし具合を設定します	Bongisa niveau ya kobebisa bilili mpo na makambo oyo emonanaka na écran ya ndingisa.
同意画面の透過	Polele ya écran ya ndingisa
透過なし	Emonani polele te
同意画面の透過具合を設定します	Bongisa opacité ya écran ya ndingisa
お知らせの1行目	Ligne ya liboso ya liyebisi
初回表示で必ず表示されるメッセージです	Message oyo emonanaka ntango nyonso mbala ya liboso lokasa efungwami.
お知らせの2行目	Líne ya mibale ya liyébisi
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Message oyo ekomonanaka kaka na écran ya liboso ntango mobeko EU GDPR ekozala na nguvu.
お知らせの3行目	Ligne ya misato ya liyebisi
プライバシーポリシーのリンクの右側に表示されます	Ekomonana na loboko ya mobali ya lien ya Politiki ya Confidentialité.
非EU向け確認の文字列	Tɛ́kɛ́stɛ ya kondimisa mpo na bikólo oyo ezali na kati ya Lisanga ya Mpótó tɛ́
EU GDPR向け同意するの文字列	Lisanga ya makomi mpo na GDPR ya Lisanga ya Mpoto
EU GDPR向け同意しないの文字列	Makomi mpo na 'Kondima te' na nse ya GDPR ya Lisanga ya Mpoto
プライバシーポリシーの文字列	Mibeko ya kobatela makambo ya moto ye moko
プライバシーポリシーのURLはこちらから設定して下さい	Tika URL ya politiki ya kobatela makambo ya moto ye moko awa.
プライバシーポリシーには以下の内容を追加して下さい	Bokisa makambo oyo elandi na Politiki ya Confidentialité.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Mpo na koyeba misala ya bokosi, bilembo lokola ba adresi IP ebombamaka na ba cookies mpe na base de données. Ba données oyo ebombami elongolamaka kolanda ndenge administratere amoni malamu.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Mpo na kondimisa ete bilili etindami malamu tango bobateli na yango efungwami, tobombaka na base de données na biso ba données oyo esalemi hash, oyo ezali na adresi IP mpe nkombo ya fisyé ya elili, kino miniti 60.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Soki ozali kobongisa Mibeko ya bosaleli, tosengi yo otia lien na yango na kati ya Politiki na yo ya kobatela makambo ya moto ye moko.
利用規約の文字列	Makomi ya Mibeko ya kosalela
利用規約のページ	Lokasa ya Mibeko mpe Mibombano
ページ選択なし	Lokasa moko te eponami
検索エンジン等のURL	Ba-URL mpo na ba-moteur de recherche, etc.
