設定	विन्यासाः
IPログリーダー	आईपी-पञ्जी-पठकः
IPアドレスログ	आईपी-पत्त्र-लेखः
全クリア	सर्वाणि स्तराणि पूर्णयतु।
IPログが全て削除されました	सर्वे आईपी अभिलेखाः मेटिताः।
ID	परिचयः
タイムスタンプ	कालचिह्नम्
IPアドレス	अद्वितीय-पत्ता
ユーザーエージェント	उपयोक्ता-प्रतिनिधि
イベント	कार्यक्रमः
IPアドレスのデータはありません	अस्य IP-पत्तेः दत्ताङ्काः नास्ति।
EU GDPR対応	यूरोपीय संघस्य सामान्य दत्तसंरक्षणनियमस्य अनुपालनम्
無効	अमान्यम्
有効	मान्यः
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	यदि यूरोपीयसंघे वर्डप्रेस् उपयुज्यते अथवा तव जालपुटं यूरोपीयसंघस्य अन्तर्जालप्रयोगकर्तॄन् लक्ष्यति, तर्हि कृपया एतत् सक्षमं भवेत् इति सुनिश्चितं कुरु।
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'पुष्टिकरण' बटनम् 'सममति' अथवा 'विरोधः' इति परिवर्तयिष्यते, तथा आचरणम् किंचित् परिवर्तयिष्यते।
同意画面の色	अनुमतिपटलस्य वर्णः
自動	स्वयंचालितम्
ライトモード	हल्का विन्यासः
ダークモード	तमो-पद्धतिः
同意画面表示中の配色を設定します	अनुमतिपटलस्य वर्णविन्यासं स्थापय।
同意画面中のコンテンツのぼかし	अनुमतिपटलस्य विषयवस्तु अस्पष्टीकरणम्
同意画面表示中のコンテンツのぼかし具合を設定します	अनुमतिपटलिकायां प्रदर्शिताय विषयवस्तूनां धूसरतास्तरं निश्चितयतु।
同意画面の透過	अनुमतिपटलस्य पारदर्शिता
透過なし	पारदर्शिता नास्ति
同意画面の透過具合を設定します	अनुमतिपटलस्य पारदर्शितां नियोजयतु।
お知らせの1行目	घोषणायाः प्रथमपङ्क्तिः
初回表示で必ず表示されるメッセージです	यदा पृष्ठं प्रथमवारं लोड् भवति तदा एषः संदेशः सर्वदा दृश्यते।
お知らせの2行目	सूचनायाः द्वितीयं पङ्क्तिः
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	यदा ईयू जीडीपीआर प्रवर्तते तदा एव एषः संदेशः प्रथमदर्शने एव सर्वदा दृश्यते।
お知らせの3行目	सूचनायाः तृतीयं पङ्क्तिः
プライバシーポリシーのリンクの右側に表示されます	गोपनीयता-नीति-सूत्रस्य दक्षिणपार्श्वे दृश्यते।
非EU向け確認の文字列	यूरोपीयसंघबाह्यदेशानां पुष्टिपठ्यम्
EU GDPR向け同意するの文字列	यूरोपीय संघस्य सामान्य दत्तसंरक्षणनियमस्य
EU GDPR向け同意しないの文字列	यूरोपीय संघस्य सामान्य दत्तसंरक्षणनियमस्य अन्तर्गत 'अनुमतिं मा ददातु' इत्यस्य पाठः
プライバシーポリシーの文字列	गोपनीयता-नीति-पाठः
プライバシーポリシーのURLはこちらから設定して下さい	कृपया अत्र गोपनीयता-नीति-URL स्थापयतु।
プライバシーポリシーには以下の内容を追加して下さい	कृपया निम्नलिखितं गोपनीयता-नीतिमध्ये योजयतु।
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	छद्मक्रियायाः अन्वेषणार्थम् IP-पत्तेषु इत्यादि परिचयचिह्नानि कुकीज् मध्ये च दत्तसङ्ग्रहणे च सञ्चितानि भवन्ति। सञ्चितदत्तानि प्रशासकस्य विवेकानुसारं विलोप्यन्ते।
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	यदा चित्ररक्षणं सक्रियं भवति तदा चित्राणां सम्यक् प्रेषणं सुनिश्चितुं वयं आईपी-पत्त्रं च चित्रस्य फाइल्-नामं च समाविष्टं हैश्-कृतं दत्तं अस्माकं दत्तसंग्रहणे षष्टिमिनिटपर्यन्तं सञ्चयामः।
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	यदि भवन्तः उपयोगशर्ताः स्थापयन्ति तर्हि कृपया सुनिश्चितं कुर्वन्तु यत् भवन्तः तेषां लिङ्कं स्वगोपनीयतानीतिपत्रे समावेशयन्ति।
利用規約の文字列	उपयोगशर्त्सुपाठः
利用規約のページ	शर्ताः च नियमाः पृष्ठम्
ページ選択なし	पृष्ठं न निर्दिष्टम्
検索エンジン等のURL	अन्वेषणयन्त्राणां इत्यादीनां यूआरएल्-सूचयः
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	यदा उपयोगकर्तारः अनुमतिं न ददन्ति तदा तान् पुनर्निर्देशयन्ति यन्त्राणि अन्वेषणयन्त्राणि च समानानि जालस्थलानि; तेषां URL निर्दिष्टयतु।
デバッグモード、コンソールの警告メッセージ	दोषशोधनप्रकारः, कन्सोल् चेतावनीसन्देशाः
右クリックの警告メッセージ	दक्षिणक्लिक-चेतावनी-सन्देशः
印刷、PDF保存の警告メッセージ	पीडीएफ् रूपे मुद्रणं च संरक्षणं च विषये चेतावनी सन्देशः
スクリーンショットの警告メッセージ	दृश्यचित्रे चेतावनी-सन्देशः
スクリーンショットの疑いの警告メッセージ	संशयित-स्क्रीनशॉट् विषये चेतावनी-सन्देशः
テキスト全選択時の警告メッセージ	यदा सर्वं पाठ्यं चयनितम् तदा चेतावनी-सन्देशः
ページ保存の警告メッセージ	पृष्ठरक्षणसम्बन्धी चेतावनीसन्देशः
コピー・カットした時に表示するメッセージ	प्रतिलिपिं कुर्वन् वा छिद्रयन् प्रदर्शितः सन्देशः
HTMLソース表示時に表示するメッセージ	HTML-स्रोतदर्शनकाले प्रदर्शयितुं संदेशः
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML-स्य अस्पष्टीकरणे वा संरक्षणे स्रोतकोडस्य शीर्षे प्रदर्शयितुं संदेशः
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML-संरक्षणकाले यदि एकवारप्रमाणिकरणप्रतीकः अमान्यः भवति तर्हि प्रदर्शयितुं संदेशः।
CookieやJavascriptが有効でない場合に表示するメッセージ	यदि कुकीज़् वा जावास्क्रिप्ट् निष्क्रियं कृतम् अस्ति तर्हि प्रदर्शयितुं संदेशः
実際にはJavascriptが無効時のみ表示されます	वास्तवतः एतत् केवलं तदा प्रदर्श्यते यदा जावास्क्रिप्ट् निष्क्रियं भवति।
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	यदा चित्रम् संरक्षितम् भवति तदा तत् डाउनलोड् क्रियते च तस्मिन्चित्रे सन्देशः प्रदर्श्यते
HTML難読化 (圧縮)	HTML अस्पष्टीकरणम्
一般的なHTML圧縮です、難読化解除のサイトもあります	एतत् सामान्यं एच् टी एम् एल् संपीडनम् अस्ति। तत्र अपि जालस्थलानि सन्ति यानि तस्य विसंकोडनं कर्तुं शक्नुवन्ति।
このオプションを有効にするとview-sourceのログが取得できます	एतत् विकल्पं सक्रियं कृत्वा त्वं दृश्यस्रोत-पञ्जिकाः प्राप्तुं शक्नोषि।
HTML保護	HTML संरक्षणम्
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	एषः HTML-संपीडनविकल्पात् अपि न्यूनतरं HTML उत्पद्यति, यत् BODY-टैगस्य अन्तर्गतं विषयवस्तु सर्वथा न प्रकाशितम्।
Firefoxに対しては無効です	एतत् फायरफ़ॉक्स् विषये न प्रयुज्यते।
SEOに著しく影響があります	एतत् एसईओ-परिष्करणे महत्त्वपूर्णं प्रभावं करोति।
HTMLをJavaScriptで描画	जावास्क्रिप्टेन एचटीएमएल् प्रस्तुतीकरणम्
Firefox対策としてHTMLをJavaScriptで描画をします	फायरफ़ॉक्स् परिहारार्थं वयं जावास्क्रिप्ट् उपयोगेन एचटीएमएल् प्रतिरूपयामः।
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	जावास्क्रिप्ट्-प्रदर्शनस्य सक्रियणं जालस्थलस्य लोड्-गतिम् विशेषतया मन्दयिष्यति।
画像の保護	चित्ररक्षणम्
imgタグが呼び出されるごとに画像を保護	यदा यदा इम्‍ज्-टैग् आह्व्यते तदा तदा चित्रं रक्षतु।
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	सम्पूर्ण एचटीएमएल्-निष्पत्तौ वर्डप्रेस् मध्ये अपलोडितानि सर्वाणि चित्राणि रक्षतु।
画像をダウンロードから保護します	चित्राणां डाउनलोड् भवनात् रक्षणम्
