設定	ছেটিংছ
IPログリーダー	আইপি লগ ৰিডাৰ
IPアドレスログ	আইপি ঠিকনাৰ লগ
全クリア	সকলো স্তৰ সম্পূৰ্ণ কৰক
IPログが全て削除されました	সকলো আইপি লগ মচি পেলোৱা হৈছে
ID	চিন
タイムスタンプ	সময়চিহ্ন
IPアドレス	আইপি ঠিকনা
ユーザーエージェント	ব্যৱহাৰকাৰী এজেণ্ট
イベント	অনুষ্ঠান
IPアドレスのデータはありません	এই আইপি ঠিকনাৰ কোনো তথ্য নাই।
EU GDPR対応	ইইউ জিডিপিআৰৰ অনুপালন
無効	অসিদ্ধ
有効	বৈধ
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	যদি আপুনি ইইউৰ ভিতৰত ৱৰ্ডপ্ৰেছ ব্যৱহাৰ কৰিছে, বা যদি আপোনাৰ ৱেবছাইটটোৱে ইইউৰ ব্যৱহাৰকাৰীসকলক লক্ষ্য কৰিছে, তেন্তে অনুগ্ৰহ কৰি নিশ্চিত কৰক যে এইটো সক্ষম কৰা আছে।
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' বুটামটো 'Agree' বা 'Disagree'লৈ সলনি হ'ব, আৰু আচৰণটো সামান্য সলনি হ'ব।
同意画面の色	সন্মতিৰ স্ক্ৰীণৰ ৰং
自動	স্বয়ংক্ৰিয়
ライトモード	সহজ মোড
ダークモード	ডাৰ্ক মোড
同意画面表示中の配色を設定します	সন্মতি স্ক্ৰীণৰ বাবে ৰঙৰ আঁচনি নিৰ্ধাৰণ কৰক
同意画面中のコンテンツのぼかし	সন্মতি স্ক্ৰীণত বিষয়বস্তুৰ অস্পষ্টতা
同意画面表示中のコンテンツのぼかし具合を設定します	সন্মতি স্ক্ৰীণত প্ৰদৰ্শিত সমলৰ বাবে ধুঁৱলীকাৰ স্তৰ নিৰ্ধাৰণ কৰক
同意画面の透過	সন্মতি স্ক্ৰীণৰ স্বচ্ছতা
透過なし	স্বচ্ছতা নাই
同意画面の透過具合を設定します	সন্মতি স্ক্ৰীণৰ স্বচ্ছতা নিৰ্ধাৰণ কৰক
お知らせの1行目	ঘোষণাৰ প্ৰথম শাৰী
初回表示で必ず表示されるメッセージです	পৃষ্ঠাখন প্ৰথমবাৰ লোড হ'লে এই বাৰ্তাটো সদায় দেখুওৱা হয়।
お知らせの2行目	অৱগতিপত্ৰখনৰ দ্বিতীয় শাৰী
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	এই বাৰ্তাটো কেৱল তেতিয়াহে প্ৰথম ডিছপ্লেত সদায় দেখা যাব, যেতিয়া EU GDPR বলবৎ হৈ থাকিব।
お知らせの3行目	অৱগতিপত্ৰখনৰ তৃতীয় শাৰী
プライバシーポリシーのリンクの右側に表示されます	ই গোপনীয়তা নীতিৰ লিংকটোৰ সোঁফালে দেখা যাব।
非EU向け確認の文字列	EU-ৰ বাহিৰৰ দেশসমূহৰ বাবে নিশ্চিতকৰণৰ পাঠ্য
EU GDPR向け同意するの文字列	EU GDPR-ৰ বাবে সন্মতিৰ পাঠ্য
EU GDPR向け同意しないの文字列	EU GDPR-ৰ অধীনত 'সন্মতি নিদিব'ৰ বাবে পাঠ্য
プライバシーポリシーの文字列	গোপনীয়তা নীতিৰ পাঠ
プライバシーポリシーのURLはこちらから設定して下さい	অনুগ্ৰহ কৰি ইয়াত গোপনীয়তা নীতিৰ URLটো দিয়ক।
プライバシーポリシーには以下の内容を追加して下さい	অনুগ্ৰহ কৰি গোপনীয়তা নীতিত নিম্নলিখিতখিনি যোগ কৰক
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	প্ৰতাৰণামূলক কাৰ্যকলাপ চিনাক্ত কৰিবলৈ, আইপি ঠিকনাৰ দৰে চিনাক্তকৰণকাৰীসমূহ কুকিজ আৰু ডাটাবেছত সংৰক্ষণ কৰা হয়। সংৰক্ষিত ডাটা প্ৰশাসকৰ বিবেচনা অনুসৰি মচি পেলোৱা হয়।
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	ইমেজ সুৰক্ষা সক্ষম কৰি থকাৰ সময়ত ছবিবোৰ সঠিকভাৱে ডেলিভাৰী হোৱাটো নিশ্চিত কৰিবলৈ, আমি IP ঠিকনা আৰু ছবিৰ ফাইলৰ নাম অন্তৰ্ভুক্ত থকা হেছ কৰা ডেটা আমাৰ ডাটাবেছত ৬০ মিনিটলৈকে সংৰক্ষণ কৰোঁ।
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	যদি আপুনি ব্যৱহাৰৰ চৰ্তাৱলী স্থাপন কৰিছে, তেন্তে অনুগ্ৰহ কৰি নিশ্চিত কৰিব যে আপুনি আপোনাৰ গোপনীয়তা নীতিত ইয়াৰ এটা লিংক অন্তৰ্ভুক্ত কৰিছে।
利用規約の文字列	ব্যৱহাৰৰ চৰ্তাৱলীৰ পাঠ
利用規約のページ	চৰ্তাৱলী আৰু নিয়মাবলী পৃষ্ঠা
ページ選択なし	কোনো পৃষ্ঠা বাছনি কৰা হোৱা নাই
検索エンジン等のURL	চাৰ্চ ইঞ্জিন আদিৰ বাবে URL
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	অনুমতি নিদিলে অন্য পৃষ্ঠালৈ পুনঃনিৰ্দেশিত কৰা চাৰ্চ ইঞ্জিন আৰু অনুৰূপ চাইটসমূহৰ বাবে URL ছেট কৰক
デバッグモード、コンソールの警告メッセージ	ডিবাগ মোড, কনছ'ল সতৰ্কবাৰ্তা
右クリックの警告メッセージ	সোঁ-ক্লিক সতৰ্কবাণী বাৰ্তা
印刷、PDF保存の警告メッセージ	পিডিএফ হিচাপে প্ৰিণ্ট আৰু ছেভ কৰাৰ সন্দৰ্ভত সতৰ্কবাণী
スクリーンショットの警告メッセージ	স্ক্ৰীণশ্বটত সতৰ্কবাৰ্তা
スクリーンショットの疑いの警告メッセージ	সন্দেহযুক্ত স্ক্ৰীণশ্বট সম্পৰ্কে সতৰ্কবাণী
テキスト全選択時の警告メッセージ	সকলো পাঠ্য বাছনি কৰাৰ সময়ত সতৰ্কবাণী বাৰ্তা
ページ保存の警告メッセージ	পৃষ্ঠা সংৰক্ষণ সম্পৰ্কে সতৰ্কবাৰ্তা
コピー・カットした時に表示するメッセージ	কপি বা কাট কৰাৰ সময়ত প্ৰদৰ্শিত বাৰ্তা
HTMLソース表示時に表示するメッセージ	HTML উৎস দৰ্শন কৰাৰ সময়ত প্ৰদৰ্শন কৰিবলগীয়া বাৰ্তা
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML অস্পষ্ট বা সুৰক্ষিত কৰাৰ সময়ত উৎস ক'ডৰ একেবাৰে ওপৰত প্ৰদৰ্শন কৰিবলগীয়া বাৰ্তা
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML সুৰক্ষাৰ সময়ত যদি এককালীন প্ৰমাণীকৰণ টোকেনটো অবৈধ হয়, তেন্তে প্ৰদৰ্শন কৰিবলৈ বাৰ্তা
CookieやJavascriptが有効でない場合に表示するメッセージ	কুকিজ বা জাভাস্ক্রিপ্ট নিষ্ক্ৰিয় কৰিলে প্ৰদৰ্শন কৰিবলগীয়া বাৰ্তা
実際にはJavascriptが無効時のみ表示されます	প্ৰকৃততে, জাভাস্ক্রিপ্ট নিষ্ক্ৰিয় কৰিলেহে এইটো দেখুওৱা হয়।
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	যেতিয়া এখন ছবি সুৰক্ষিত কৰা হয়, ই ডাউনল'ড হয়, আৰু সেই ছবিখনত এটা বাৰ্তা প্ৰদৰ্শিত হয়
HTML難読化 (圧縮)	HTML অস্পষ্টকৰণ
一般的なHTML圧縮です、難読化解除のサイトもあります	এইটো এটা সাধাৰণ HTML কম্প্ৰেছন; ইয়াক ডিকোড কৰিব পৰা ৱেবছাইটো আছে।
このオプションを有効にするとview-sourceのログが取得できます	এই বিকল্পটো সক্ষম কৰিলে আপুনি ভিউ-চ'ৰ্চ লগটো পুনৰুদ্ধাৰ কৰিব পাৰিব।
HTML保護	HTML সুৰক্ষা
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	ই কেৱল একেবাৰে ন্যূনতম HTML আউটপুট দিয়ে—HTML কম্প্ৰেছন ব্যৱহাৰ কৰাতকৈও কম—আৰু BODY টেগৰ ভিতৰৰ সমল একেবাৰেই আউটপুট নহয়।
Firefoxに対しては無効です	এইটো ফায়াৰফক্সৰ বাবে প্ৰযোজ্য নহয়।
SEOに著しく影響があります	ইয়াৰ SEO-ৰ ওপৰত এক গুৰুত্বপূৰ্ণ প্ৰভাৱ আছে।
HTMLをJavaScriptで描画	জাভাস্ক্রিপ্ট ব্যৱহাৰ কৰি HTML ৰেন্ডাৰ কৰা
Firefox対策としてHTMLをJavaScriptで描画をします	ফায়াৰফক্সৰ সমস্যাটো এৰাই চলিবলৈ, আমি জাভাস্ক্রিপ্ট ব্যৱহাৰ কৰি HTML ৰেণ্ডাৰ কৰোঁ।
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	জাভাস্ক্রিপ্ট ৰেণ্ডাৰিং সক্ষম কৰিলে ৱেবছাইটটোৰ লোডিং গতি যথেষ্ট লেহেমীয়া হ'ব।
画像の保護	ছবি সুৰক্ষা
imgタグが呼び出されるごとに画像を保護	Img টেগ প্ৰতিবাৰ কল কৰাৰ সময়ত ছবিখনক সুৰক্ষিত কৰক
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	গোটেই HTML আউটপুটৰ ভিতৰত WordPress-ত আপলোড কৰা সকলো ছবি সুৰক্ষিত কৰক।
画像をダウンロードから保護します	ছবিবোৰ ডাউনলোড হোৱাৰ পৰা ৰক্ষা কৰে
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	যেতিয়া ছবিৰ ডেটা সুৰক্ষিত কৰা হয়, আমি প্ৰায় সকলো ডাউনল'ড প্ৰতিৰোধ কৰোঁ, একক বাৰ ব্যৱহাৰ কৰিব পৰা বিশেষ URL জাৰি কৰোঁ, ছেচনত সংৰক্ষিত টোকেনৰ জৰিয়তে প্ৰমাণীকৰণ কৰোঁ, আৰু PHP-ৰ জৰিয়তে ছবিসমূহ প্ৰদৰ্শন কৰোঁ; ই ফলপ্ৰসূভাৱে ছবি চুৰিৰ প্ৰায় সকলো ঘটনাই প্ৰতিৰোধ কৰে।
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	যেতিয়া ছবিৰ ডেটা সুৰক্ষিত কৰা হয়, কেছিং কাম নকৰে, যাৰ অৰ্থ হ'ল পৰৱৰ্তী ভ্ৰমণবোৰত চাইটটো অধিক লাহে লাহে লোড হ'ব, যাৰ ফলত SEO-ৰ ওপৰত প্ৰভাৱ পৰে।
画像データを保護した時には、データベースの負荷が高くなる可能性があります	ছবিৰ ডাটা সুৰক্ষিত কৰিলে ডাটাবেছৰ ওপৰত বোজা বৃদ্ধি হ'ব পাৰে।
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	যদি আপুনি 'যেতিয়াই কোনো img টেগ কল কৰা হয়, তেতিয়া ছবিবোৰ সুৰক্ষিত কৰক' বাছনি কৰে, চিষ্টেমে img টেগটো সৃষ্টি হোৱাৰ সময়ত ফিল্টাৰিং প্ৰয়োগ কৰিবলৈ add_filter ব্যৱহাৰ কৰে; কিন্তু, কিছুমান থিমৰ সৈতে ই হয়তো সঠিকভাৱে কাম নকৰিব পাৰে।
