設定	সেটিংস
IPログリーダー	আইপি লগ রিডার
IPアドレスログ	আইপি ঠিকানার লগ
全クリア	সব স্তর সম্পন্ন করুন
IPログが全て削除されました	সমস্ত আইপি লগ মুছে ফেলা হয়েছে।
ID	আইডি
タイムスタンプ	সময়চিহ্ন
IPアドレス	আইপি ঠিকানা
ユーザーエージェント	ব্যবহারকারী এজেন্ট
イベント	ইভেন্ট
IPアドレスのデータはありません	এই আইপি ঠিকানার জন্য কোনো তথ্য নেই।
EU GDPR対応	ইইউ জিডিপিআর-এর সাথে সম্মতি
無効	অবৈধ
有効	বৈধ
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	যদি আপনি ইইউ-এর মধ্যে WordPress ব্যবহার করছেন, অথবা আপনার ওয়েবসাইট ইইউ-এর ব্যবহারকারীদের লক্ষ্য করে, তবে অনুগ্রহ করে নিশ্চিত করুন যে এটি সক্ষম করা আছে।
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' বোতামটি 'Agree' বা 'Disagree' তে পরিবর্তিত হবে, এবং আচরণ সামান্য পরিবর্তিত হবে।
同意画面の色	সম্মতির স্ক্রিনের রঙ
自動	স্বয়ংক্রিয়
ライトモード	হালকা মোড
ダークモード	ডার্ক মোড
同意画面表示中の配色を設定します	সম্মতি স্ক্রিনের রঙের স্কিম নির্ধারণ করুন
同意画面中のコンテンツのぼかし	সম্মতি স্ক্রিনে বিষয়বস্তু ঝাপসা হওয়া
同意画面表示中のコンテンツのぼかし具合を設定します	সম্মতি স্ক্রিনে প্রদর্শিত বিষয়বস্তুর অস্পষ্টতার স্তর নির্ধারণ করুন।
同意画面の透過	সম্মতির স্ক্রিনের স্বচ্ছতা
透過なし	কোনও স্বচ্ছতা নেই
同意画面の透過具合を設定します	সম্মতির স্ক্রিনের স্বচ্ছতা নির্ধারণ করুন
お知らせの1行目	ঘোষণার প্রথম লাইন
初回表示で必ず表示されるメッセージです	এই বার্তাটি পৃষ্ঠা প্রথমবার লোড হলে সর্বদা প্রদর্শিত হয়।
お知らせの2行目	অবহিতের দ্বিতীয় লাইন
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	এই বার্তাটি শুধুমাত্র তখনই প্রথম প্রদর্শনে সবসময় দেখা যাবে যখন EU GDPR কার্যকর থাকবে।
お知らせの3行目	অবহিতের তৃতীয় লাইন
プライバシーポリシーのリンクの右側に表示されます	এটি গোপনীয়তা নীতি লিঙ্কের ডানদিকে প্রদর্শিত হবে।
非EU向け確認の文字列	অ-ইইউ দেশগুলির জন্য নিশ্চিতকরণ পাঠ্য
EU GDPR向け同意するの文字列	ইইউ জিডিপিআরের জন্য সম্মতি টেক্সট
EU GDPR向け同意しないの文字列	ইইউ জিডিপিআরের 'সম্মতি দেবেন না' শিরোনামের জন্য টেক্সট
プライバシーポリシーの文字列	গোপনীয়তা নীতি টেক্সট
プライバシーポリシーのURLはこちらから設定して下さい	অনুগ্রহ করে এখানে গোপনীয়তা নীতির URL সেট করুন।
プライバシーポリシーには以下の内容を追加して下さい	অনুগ্রহ করে গোপনীয়তা নীতিতে নিম্নলিখিত বিষয়গুলো যোগ করুন।
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	প্রতারণামূলক কার্যকলাপ সনাক্ত করতে আইপি ঠিকানার মতো শনাক্তকারী তথ্য কুকিজ এবং ডাটাবেসে সংরক্ষণ করা হয়। সংরক্ষিত তথ্য প্রশাসকের বিবেচনায় মুছে ফেলা হয়।
