設定	Cài đặt
IPログリーダー	Trình đọc nhật ký IP
IPアドレスログ	Nhật ký địa chỉ IP
全クリア	Hoàn thành tất cả
IPログが全て削除されました	Tất cả các bản ghi IP đã bị xóa
ID	ID
タイムスタンプ	Dấu thời gian
IPアドレス	Địa chỉ IP
ユーザーエージェント	Trình duyệt
イベント	Sự kiện
IPアドレスのデータはありません	Không có dữ liệu về địa chỉ IP
EU GDPR対応	Tuân thủ Quy định chung về bảo vệ dữ liệu của EU
無効	Không hợp lệ
有効	Hiệu lực
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Nếu bạn sử dụng WordPress trong khu vực EU, hoặc nếu trang web của bạn nhắm đến người dùng trong khu vực EU, hãy nhớ kích hoạt tính năng này
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Nút "Xác nhận" sẽ được thay thế bằng nút "Đồng ý" hoặc "Không đồng ý", và cách thức hoạt động sẽ có một chút thay đổi
同意画面の色	Màu của màn hình xác nhận
自動	Tự động
ライトモード	Chế độ sáng
ダークモード	Chế độ tối
同意画面表示中の配色を設定します	Cài đặt màu sắc cho màn hình xác nhận
同意画面中のコンテンツのぼかし	Làm mờ nội dung trên màn hình xác nhận
同意画面表示中のコンテンツのぼかし具合を設定します	Cài đặt mức độ làm mờ nội dung khi hiển thị màn hình xác nhận
同意画面の透過	Độ trong suốt của màn hình xác nhận
透過なし	Không trong suốt
同意画面の透過具合を設定します	Cài đặt độ trong suốt của màn hình xác nhận
お知らせの1行目	Dòng đầu tiên của thông báo
初回表示で必ず表示されるメッセージです	Đây là thông báo luôn hiển thị khi truy cập lần đầu
お知らせの2行目	Dòng thứ hai của thông báo
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Đây là thông báo sẽ luôn hiển thị trong lần hiển thị đầu tiên, chỉ khi Quy định chung về bảo vệ dữ liệu của EU
お知らせの3行目	Dòng thứ ba của thông báo
プライバシーポリシーのリンクの右側に表示されます	Sẽ hiển thị ở bên phải liên kết Chính sách bảo mật
非EU向け確認の文字列	Dòng xác nhận dành cho các thị trường ngoài EU
EU GDPR向け同意するの文字列	Dòng văn bản về việc đồng ý theo Quy định chung về bảo vệ dữ liệu của EU
EU GDPR向け同意しないの文字列	Dòng văn bản từ chối đồng ý theo Quy định chung về bảo vệ dữ liệu của EU
プライバシーポリシーの文字列	Nội dung Chính sách bảo mật
プライバシーポリシーのURLはこちらから設定して下さい	Vui lòng thiết lập URL của Chính sách bảo mật tại đây
プライバシーポリシーには以下の内容を追加して下さい	Vui lòng bổ sung các nội dung sau vào Chính sách bảo mật
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Để phát hiện các hành vi thao túng trái phép, chúng tôi sẽ lưu trữ các thông tin nhận dạng như địa chỉ IP vào cookie và cơ sở dữ liệu. Dữ liệu được lưu trữ sẽ được xóa theo quyết định của người quản trị vào bất kỳ thời điểm nào.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Chỉ khi tính năng bảo vệ hình ảnh được kích hoạt, để đảm bảo hình ảnh được phân phối bình thường, dữ liệu băm từ địa chỉ IP và tên tệp hình ảnh sẽ được lưu trữ trong cơ sở dữ liệu tối đa 60 phút.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Khi thiết lập Điều khoản sử dụng, vui lòng đảm bảo rằng bạn đã chèn liên kết đến Điều khoản sử dụng trong Chính sách bảo mật
利用規約の文字列	Nội dung Điều khoản sử dụng
利用規約のページ	Trang Điều khoản sử dụng
ページ選択なし	Không chọn trang
検索エンジン等のURL	URL của công cụ tìm kiếm, v.v.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Cài đặt URL của các công cụ tìm kiếm sẽ chuyển sang trang khác khi người dùng không đồng ý
デバッグモード、コンソールの警告メッセージ	Chế độ gỡ lỗi, thông báo cảnh báo trên bảng điều khiển
右クリックの警告メッセージ	Thông báo cảnh báo khi nhấp chuột phải
印刷、PDF保存の警告メッセージ	Thông báo cảnh báo khi in hoặc lưu dưới dạng PDF
スクリーンショットの警告メッセージ	Thông báo cảnh báo trên ảnh chụp màn hình
スクリーンショットの疑いの警告メッセージ	Thông báo cảnh báo về ảnh chụp màn hình nghi ngờ
テキスト全選択時の警告メッセージ	Thông báo cảnh báo khi chọn toàn bộ văn bản
ページ保存の警告メッセージ	Thông báo cảnh báo khi lưu trang
コピー・カットした時に表示するメッセージ	Thông báo hiển thị khi sao chép hoặc cắt
HTMLソース表示時に表示するメッセージ	Thông báo hiển thị khi xem mã nguồn HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Thông báo hiển thị ở đầu mã nguồn khi mã hóa và bảo vệ HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Thông báo hiển thị khi mã xác thực dùng một lần gặp sự cố trong quá trình bảo vệ HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Thông báo hiển thị khi Cookie và Javascript bị tắt
実際にはJavascriptが無効時のみ表示されます	Trên thực tế, nội dung này chỉ hiển thị khi JavaScript bị tắt
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Khi hình ảnh được bảo vệ, hình ảnh đó sẽ được tải xuống và thông báo hiển thị trên hình ảnh đó chỉ có tiếng Anh
HTML難読化 (圧縮)	Làm rối mã HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Đây là phương pháp nén HTML thông thường; cũng có một số trang web giúp giải mã mã hóa
このオプションを有効にするとview-sourceのログが取得できます	Khi bật tùy chọn này, bạn có thể lấy nhật ký view-source
HTML保護	Bảo vệ HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Không chỉ nén HTML mà còn chỉ xuất ra lượng HTML tối thiểu, khiến nội dung bên trong thẻ BODY hoàn toàn không được hiển thị
Firefoxに対しては無効です	Tính năng này không hoạt động trên Firefox
SEOに著しく影響があります	Điều này có ảnh hưởng đáng kể đến SEO
HTMLをJavaScriptで描画	Vẽ HTML bằng JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Để đối phó với Firefox, chúng tôi sẽ hiển thị HTML bằng JavaScript
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Nếu bật tính năng vẽ bằng JavaScript, tốc độ hiển thị trang web sẽ chậm đi đáng kể
画像の保護	Bảo vệ hình ảnh
imgタグが呼び出されるごとに画像を保護	Bảo vệ hình ảnh mỗi khi thẻ img được gọi
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Bảo vệ tất cả các hình ảnh đã được tải lên WordPress trong toàn bộ mã HTML được xuất ra
画像をダウンロードから保護します	Bảo vệ hình ảnh khỏi bị tải xuống
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Khi bảo vệ dữ liệu hình ảnh, hệ thống sẽ ngăn chặn gần như hoàn toàn việc tải xuống trái phép, cấp phát URL dùng một lần duy nhất, xác thực thông qua mã thông báo được lưu trữ trong phiên làm việc và hiển thị hình ảnh thông qua PHP; nhờ đó, hệ thống ngăn chặn gần như hoàn toàn việc đánh cắp hình ảnh.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Khi dữ liệu hình ảnh được bảo vệ, bộ nhớ đệm hình ảnh sẽ không hoạt động, dẫn đến việc trang web tải chậm hơn trong lần truy cập tiếp theo, từ đó ảnh hưởng đến SEO
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Khi bảo vệ dữ liệu hình ảnh, tải trọng của cơ sở dữ liệu có thể tăng cao
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Trong trường hợp “bảo vệ hình ảnh mỗi khi thẻ img được gọi”, hãy sử dụng add_filter để thực hiện lọc khi thẻ img được phát ra; tuy nhiên, tùy thuộc vào chủ đề, chức năng này có thể không hoạt động chính xác
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Trong trường hợp chọn “Bảo vệ tất cả hình ảnh được tải lên WordPress trong toàn bộ mã HTML được xuất ra”, hệ thống sẽ ghi lại gần như toàn bộ hoạt động của WordPress và xử lý tất cả các thẻ img trong nội dung. Tùy thuộc vào chủ đề, tính năng này có thể không hoạt động chính xác
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Xin lưu ý rằng hình ảnh được chỉ định làm hình ảnh nổi bật sẽ được chia sẻ dưới dạng OGP nên không thể bảo vệ được. Nếu nhất định phải bảo vệ, vui lòng thay đổi tùy chọn xuất thẻ HEAD trong phần cài đặt nâng cao khi kích hoạt bảo vệ HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Không thể bảo vệ tính năng chụp ảnh màn hình được cài đặt sẵn trong hệ điều hành
画像URLの保護	Bảo vệ URL hình ảnh
画像の保護と組み合わせて使用します、単体では意味がありません	Sử dụng kết hợp với tính năng bảo vệ hình ảnh; nếu dùng riêng lẻ thì không có ý nghĩa gì
JavaScriptにより遅延読まれますのでSEOに影響があります	Vì nội dung được tải chậm nhờ JavaScript nên sẽ ảnh hưởng đến SEO
画像のウォーターマーク	Hình mờ trên ảnh
右下	Góc dưới bên phải
ランダム位置	Vị trí ngẫu nhiên
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Sử dụng kết hợp với tính năng bảo vệ hình ảnh; bằng cách sử dụng hình mờ động để thể hiện rõ quyền tác giả, đồng thời tạo cảm giác cho người xem rằng họ đang bị theo dõi, từ đó tăng cường hiệu quả răn đe
JPG形式、PNG形式、WebP形式のみ対応します	Chỉ hỗ trợ định dạng JPG, PNG và WebP
有効にするとサーバーの負荷が高くなります	Nếu bật tính năng này, tải trọng của máy chủ sẽ tăng lên
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Hiển thị mã ASCII từ mã nguồn HTML khi mã hóa và bảo vệ HTML
表示なし	Không hiển thị
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Khi hiển thị mã nguồn HTML bằng lệnh `view-source`, hệ thống sẽ hiển thị hình ảnh ASCII biểu thị cảnh báo
対象アクションを起こした時の表示デザイン	Thiết kế hiển thị khi thực hiện hành động tương ứng
黄色の背景の黒文字のベーシックデザイン	Thiết kế cơ bản với chữ đen trên nền vàng
黒色の背景の赤文字のホラー風デザイン	Thiết kế theo phong cách kinh dị với chữ đỏ trên nền đen
黒色の背景の赤文字の光る文字のデザイン	Thiết kế chữ đỏ phát sáng trên nền đen
対象アクションを起こした時のBGM	Nhạc nền khi thực hiện hành động tương ứng
サウンドなし	Không có âm thanh
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Chiến đấu & Chiến thắng - 1 phút 16,3 giây - 630.056 byte - 64 kbps - Giấy phép: CC 2.1 trở lên
