設定	Saituna
IPログリーダー	Mai karanta log na IP
IPアドレスログ	Rajistar adireshin IP
全クリア	Kammala duk matakan
IPログが全て削除されました	An goge duk bayanan rajistar IP.
ID	Shaida
タイムスタンプ	Alamar lokaci
IPアドレス	Adireshin IP
ユーザーエージェント	Mai aikin mai amfani
イベント	Taro
IPアドレスのデータはありません	Babu bayanai don wannan adireshin IP.
EU GDPR対応	Bin ƙa'idar GDPR ta EU
無効	Ba ingantacce ba
有効	Ingantacce
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Idan kuna amfani da WordPress a cikin Tarayyar Turai, ko idan gidan yanar gizonku yana nufin masu amfani a cikin Tarayyar Turai, da fatan za ku tabbatar an kunna wannan.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Maɓallin 'Tabbatar' zai canza zuwa 'Yarda' ko 'Karyata', kuma halayya za ta canza kaɗan.
同意画面の色	Launin allon amincewa
自動	Ta atomatik
ライトモード	Halin haske
ダークモード	Halin Duhu
同意画面表示中の配色を設定します	Saita tsarin launuka na allon amincewa
同意画面中のコンテンツのぼかし	Ruɗe abun ciki a allon amincewa
同意画面表示中のコンテンツのぼかし具合を設定します	Saita matakin ruɗe-gani ga abun da ake nunawa a allon amincewa
同意画面の透過	Bayyanar allon amincewa
透過なし	Babu gaskiya
同意画面の透過具合を設定します	Saita bayyanar allon amincewa
お知らせの1行目	Layin farko na sanarwar
初回表示で必ず表示されるメッセージです	Ana nuna wannan saƙon koyaushe a karo na farko da aka loda shafin.
お知らせの2行目	Layin na biyu na sanarwar
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Wannan saƙon zai bayyana koyaushe a nuni na farko kawai idan EU GDPR ta fara aiki.
お知らせの3行目	Layin na uku na sanarwar
プライバシーポリシーのリンクの右側に表示されます	Zai bayyana a dama na mahaɗin zuwa Manufofin Sirri.
非EU向け確認の文字列	Rubutun tabbatarwa don ƙasashen da ba na EU ba
EU GDPR向け同意するの文字列	Rubutaccen izini don EU GDPR
EU GDPR向け同意しないの文字列	Rubutu don 'Kada a yarda' a ƙarƙashin EU GDPR
プライバシーポリシーの文字列	Rubutun manufofin sirri
プライバシーポリシーのURLはこちらから設定して下さい	Don Allah sa adireshin URL na manufofin sirri a nan.
プライバシーポリシーには以下の内容を追加して下さい	Don Allah a ƙara waɗannan abubuwan zuwa ga Dokar Sirri.
