設定	Ezarpenak
IPログリーダー	IP Log Irakurgailua
IPアドレスログ	IP helbideen erregistroa
全クリア	Bukatu maila guztiak
IPログが全て削除されました	IP erregistro guztiak ezabatu dira.
ID	Identifikatzailea
タイムスタンプ	Denbora-marka
IPアドレス	IP helbidea
ユーザーエージェント	Erabiltzaile-agentzia
イベント	Ekitaldia
IPアドレスのデータはありません	IP helbiderako ez dago daturik.
EU GDPR対応	EBko GDPRari betetzea
無効	Baliozkoa ez den
有効	Baliozkoa
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Europako Batasunean WordPress erabiltzen ari bazara, edo zure webguneak EBko erabiltzaileei zuzenduta badago, mesedez ziurtatu hau gaituta dagoela.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Berretsi' botoia 'Ados' edo 'Ez ados' bihurtuko da, eta portaera pixka bat aldatuko da.
同意画面の色	Onarpen pantailaren kolorea
自動	Automatikoa
ライトモード	Argi modua
ダークモード	Modu iluna
同意画面表示中の配色を設定します	Onarpen pantailaren kolore-eskema ezarri
同意画面中のコンテンツのぼかし	Onarpen-pantailako edukiaren lausotzea
同意画面表示中のコンテンツのぼかし具合を設定します	Onarpen pantailan bistaratzen den edukirako lausotze-maila ezarri
同意画面の透過	Onarpen-pantailaren gardentasuna
透過なし	Ez dago gardentasunik
同意画面の透過具合を設定します	Onarpen-pantailaren gardentasun-maila ezarri
お知らせの1行目	Iragarkiaren lehen lerroa
初回表示で必ず表示されるメッセージです	Mezu hau beti bistaratzen da orria lehen aldiz kargatzen denean.
お知らせの2行目	Oharraren bigarren lerroa
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Mezu hau beti lehen bistaratzean bakarrik agertuko da EBko GDPR indarrean dagoenean.
お知らせの3行目	Oharraren hirugarren lerroa
プライバシーポリシーのリンクの右側に表示されます	Pribatutasun Politikarako estekaren eskuinean agertuko da.
非EU向け確認の文字列	EBkoak ez diren herrialdeentzako baieztapen-testua
EU GDPR向け同意するの文字列	EBko GDPRrako baimen-testua
EU GDPR向け同意しないの文字列	EBko GDPRaren arabera 'Ez eman baimena' testua
プライバシーポリシーの文字列	Pribatutasun-politikaren testua
プライバシーポリシーのURLはこちらから設定して下さい	Mesedez, ezarri hemen pribatutasun-politikarako URL-a.
プライバシーポリシーには以下の内容を追加して下さい	Mesedez, gehitu honako hau Pribatutasun Politikara.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Jarduera iruzurrezkoak antzemateko, IP helbideak bezalako identifikatzaileak cookieetan eta datu-basean gordetzen dira. Gordetako datuak administratzailearen erabakiz ezabatzen dira.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Irudiak babesteko neurriak gaituta daudenean bakarrik behar bezala bidaltzen direla ziurtatzeko, IP helbidea eta irudiaren fitxategi-izena barne hartzen dituzten hash-datuak 60 minutuz gorde ditugu datu-basean.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Erabilera Baldintzak ezartzen ari bazara, ziurtatu zure Pribatutasun Politikaren barruan haien esteka sartzen duzula.
利用規約の文字列	Erabilera-baldintzen testua
利用規約のページ	Baldintzak eta Kondizioak orria
ページ選択なし	Ez dago aukeratutako orrialderik
検索エンジン等のURL	Bilatzaileentzako URLak, etab.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Ezarri bilatzaileentzako eta antzeko webguneetarako URL-a, baimenik eman ez denean erabiltzaileak birbideratzen dituztenak.
デバッグモード、コンソールの警告メッセージ	Akatsak konpontzeko modua, kontsolako ohartarazpen-mezuak
右クリックの警告メッセージ	Eskumako klikeko ohartarazpen-mezu
印刷、PDF保存の警告メッセージ	PDF formatuan inprimatu eta gordeari buruzko ohartarazpen-mezu
スクリーンショットの警告メッセージ	Pantaila-argazkian ohartarazpen-mezu bat
スクリーンショットの疑いの警告メッセージ	Susmagarri diren pantaila-argazkiei buruzko ohartarazpen-mezu
テキスト全選択時の警告メッセージ	Testu guztia hautatuta dagoenean ohartarazpen-mezu
ページ保存の警告メッセージ	Orrialdea gordetzearekin lotutako ohartarazpen-mezu
コピー・カットした時に表示するメッセージ	Kopiatzean edo moztean bistaratzen den mezua
HTMLソース表示時に表示するメッセージ	HTML iturburu-kodea ikusten denean erakutsi beharreko mezua
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML-a obskuratzean edo babestzean iturri-kodearen goialdean erakutsiko den mezua
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML babesaldian behin-behineko autentifikazio-tokena baliogabea bada, erakutsiko den mezua
CookieやJavascriptが有効でない場合に表示するメッセージ	Cookieak edo JavaScript desgaituta badaude, erakutsi beharreko mezua
実際にはJavascriptが無効時のみ表示されます	Egiazki, hau soilik agertzen da JavaScript desgaituta dagoenean.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Irudi bat babestuta dagoenean, deskargatu egiten da eta mezua agertzen da irudi horretan
HTML難読化 (圧縮)	HTML iluntzea
一般的なHTML圧縮です、難読化解除のサイトもあります	Hau HTMLaren konpresio estandarra da; deskonpon dezakeen webguneak ere badaude.
このオプションを有効にするとview-sourceのログが取得できます	Aukera hau gaitzeak ikus-iturriaren erregistroa berreskuratzeko aukera ematen dizu.
HTML保護	HTML babesa
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	HTMLaren oinarrizko minimoa bakarrik irteten du—HTML konpresioa erabiltzean baino gutxiago ere—eta BODY etiketako edukia batere ez da irteten.
Firefoxに対しては無効です	Hau ez da Firefox-i aplikagarria.
SEOに著しく影響があります	Honek SEOan eragin handia du.
HTMLをJavaScriptで描画	JavaScript erabiliz HTML renderizatzea
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox saihesteko, HTML-a JavaScript erabiliz bistaratzen dugu.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript-en errendatzea gaitzeak nabarmen motelduko du webgunearen karga-abiadura.
画像の保護	Irudiaren babesa
imgタグが呼び出されるごとに画像を保護	Babestu irudia img etiketa deitzen den bakoitzean
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Babestu WordPress-era igo diren irudi guztiak HTML irteera osoan zehar.
画像をダウンロードから保護します	Irudiak deskargatzeaz babesten ditu
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Irudi-datuak babestuta daudenean, ia deskarga guztiak saihesten ditugu, behin bakarreko URL bereziak ematen ditugu, saioan gordetako tokenak erabiliz egiaztatzen dugu eta irudiak PHP bidez bistaratzen ditugu; horrek irudi-lapurreta ia guztiak eraginkortasunez saihesten ditu.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Irudi-datuak babestuta daudenean, cacheak ez du funtzionatzen, eta horrek esan nahi du gunea hurrengo bisitaldietan motelago kargatuko dela, SEOari eraginez.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Irudi-datuak babesteak datu-basearen karga handitu dezake.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	'Irudiak babestu img etiketa deitzen den bakoitzean' hautatzen baduzu, sistemak add_filter erabiltzen du iragazketa aplikatzeko img etiketa sortzen denean; hala ere, honek ez du behar bezala funtzionatuko zenbait gaiekin.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	'WordPress-era igotako irudi guztiak HTML irteera osoan babestu' hautatzen baduzu, pluginak WordPress-eko ia eragiketa guztiak harrapatuko ditu eta edukian dauden img etiketa guztiak prozesatuko ditu. Kontuan izan honek zenbait gaiekin ez duela behar bezala funtzionatuko.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Mesedez, kontuan izan nabarmendutako irudi gisa izendatutako irudiak OGP datu gisa partekatuko direla eta ezin direla babestu. Haiek babestu behar badituzu, mesedez, aldatu HEAD etiketa irteerarako ezarpenak ezarpen aurreratuetan HTML babesa gaitzean.
OS標準搭載のスクリーンショット機能を保護することはできません	Ezin da babestu sistema eragilean integratutako pantaila-argazki funtzioa.
画像URLの保護	Irudi-URLak babestea
画像の保護と組み合わせて使用します、単体では意味がありません	Hau irudiaren babesarekin batera erabili behar da; bere kabuz ez du inolako helbururik betetzen.
JavaScriptにより遅延読まれますのでSEOに影響があります	JavaScriptez alferrik kargatzen denez, honek SEOari eragiten dio.
画像のウォーターマーク	Irudiaren ur-marka
右下	Beheko eskuinean
ランダム位置	Posizio ausazkoa
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Irudiaren babesarekin batera erabilita, ur-marka dinamikoek egile-eskubideen jabegoa argi adierazten dute, aldi berean ikusleei jarraipena jasotzen ari direla irudipena emanez, eta horrela eragozle gisa jarduten dute.
JPG形式、PNG形式、WebP形式のみ対応します	JPG, PNG eta WebP formatuak soilik onartzen dira.
有効にするとサーバーの負荷が高くなります	Honek zerbitzariaren karga handituko du.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML iturburu-kodetik ASCII artea irteten HTML iluntze eta babes prozesuan
表示なし	Ez dago pantailarik
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' erabiliz HTML iturburu-kodea ikusten denean ohartarazpen bat adierazten duen ASCII artea bistaratzen du.
対象アクションを起こした時の表示デザイン	Helburu-ekintza gauzatzen denean diseinua erakutsi
黄色の背景の黒文字のベーシックデザイン	Hondo horia duen testu beltzezko oinarrizko diseinua
黒色の背景の赤文字のホラー風デザイン	Beldurrezko estiloko diseinu bat, atzeko plano beltz batean testu gorria duena
黒色の背景の赤文字の光る文字のデザイン	Atzeko plano beltz batean testu gorri distiratsua duen diseinua
対象アクションを起こした時のBGM	Helburu-ekintza gauzatzen denean jotzen den atzeko musika
サウンドなし	Ez dago soinurik
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Borroka eta garaipena - 1 minutu 16,3 segundo - 630.056 byte - 64 kbps - Lizentzia: CC 2.1 edo beranduen
