設定	Izilungiselelo
IPログリーダー	Umfundi we-IP Log
IPアドレスログ	Irekhodi lwamakheli e-IP
全クリア	Qedela zonke izigaba
IPログが全て削除されました	Zonke amarekhodi e-IP sesusiwe
ID	Isazisi
タイムスタンプ	Isiginesha yesikhathi
IPアドレス	Ikheli le-IP
ユーザーエージェント	Ijenti yomsebenzisi
イベント	Umcimbi
IPアドレスのデータはありません	Ayikho idatha yekheli le-IP.
EU GDPR対応	Ukuhambisana ne-EU GDPR
無効	Akulungile
有効	Kuvumelekile
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Uma usebenzisa i-WordPress ngaphakathi kwe-EU, noma uma iwebhusayithi yakho ihloselwe abasebenzisi abangaphakathi kwe-EU, sicela uqinisekise ukuthi lokhu kuvuliwe.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Inkinobho ethi 'Qinisekisa' izoguquka ibe 'Vuma' noma 'Ungavumelani', futhi ukuziphatha kuzoshintsha kancane.
同意画面の色	Umbala wesikrini sokuvuma
自動	Ngokuzenzakalelayo
ライトモード	Imodi elula
ダークモード	Imodi emnyama
同意画面表示中の配色を設定します	Sethaphi uhlelo lombala kwesikrini sokuvuma
同意画面中のコンテンツのぼかし	Ukudambisa okuqukethwe esikrinini sokuvuma
同意画面表示中のコンテンツのぼかし具合を設定します	Beka izinga lokudambisa ukucaca kokuqukethwe okuboniswa esikrinini sokuvuma
同意画面の透過	Ukuqhakazeka kwesikrini sokuvuma
透過なし	Akukho ukusobala
同意画面の透過具合を設定します	Seta ukusobala kwesikrini sokuvuma
お知らせの1行目	Umugqa wokuqala womemezelo
初回表示で必ず表示されるメッセージです	Lomlayezo uhlale ubonakala okokuqala ikhasi livalwa.
お知らせの2行目	Umugqa wesibili wesaziso
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Lomlayezo uzohlala uvela ekubonisweni kokuqala kuphela lapho i-EU GDPR isebenza.
お知らせの3行目	Umugqa wesithathu wesaziso
プライバシーポリシーのリンクの右側に表示されます	Kuzovela ngakwesokudla kwesixhumanisi soMgaqo Wokuvikelwa Kwemfihlo.
非EU向け確認の文字列	Umbhalo wokuqinisekisa wamazwe angaphandle kwe-EU
EU GDPR向け同意するの文字列	Umbhalo wemvume we-EU GDPR
EU GDPR向け同意しないの文字列	Umbhalo we-'Ungavumi' ngaphansi kwe-EU GDPR
プライバシーポリシーの文字列	Umbhalo wenqubomgomo yobumfihlo
プライバシーポリシーのURLはこちらから設定して下さい	Sicela usethe i-URL yenqubomgomo yobumfihlo lapha.
プライバシーポリシーには以下の内容を追加して下さい	Sicela wengeze okulandelayo kuNqubomgomo Yobumfihlo.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Ukuze kutholakale imisebenzi yokukhwabanisa, izazisi ezifana namakheli e-IP zigcinwa kumakhukhi nasemgqeni wedatha. Idatha egciniwe iyasuswa ngokuthanda komlawuli.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Ukuqinisekisa ukuthi izithombe zihanjiswa ngendlela efanele kuphela lapho ukuvikelwa kwezithombe kuvuliwe, sigcina idatha eyi-hashed equkethe ikheli le-IP negama lefayela lesithombe kudathabheyisi kuze kufike emizuzwini engu-60.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Uma usetha Imigomo Yokusetshenziswa, sicela uqinisekise ukuthi ufaka isixhumanisi sayo kuNqubomgomo Yakho Yobumfihlo.
利用規約の文字列	Umbhalo Wezimo Zokusetshenziswa
利用規約のページ	Ikhasi Lezimo Nemibandela
ページ選択なし	Akukho ikhasi elikhethiwe
検索エンジン等のURL	Ama-URL ezinjini zokusesha, njll.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Seta i-URL yamajini wokusesha namasayithi afanayo adlulisela abasebenzisi lapho imvume inganikezwanga
デバッグモード、コンソールの警告メッセージ	Imodi yokuxilonga amaphutha, imilayezo yesixwayiso yekhonsoli
右クリックの警告メッセージ	Chofoza kwesokudla umyalezo wesixwayiso
印刷、PDF保存の警告メッセージ	Umyalezo wesixwayiso mayelana nokuphrinta nokugcina njenge-PDF
スクリーンショットの警告メッセージ	Umyalezo wesixwayiso esithombeni sesikrini
スクリーンショットの疑いの警告メッセージ	Umyalezo wesixwayiso mayelana nezithombe-skrini ezikholelwa ukuthi zithathwe ngokungekho emthethweni
テキスト全選択時の警告メッセージ	Umyalezo wesixwayiso lapho wonke umbhalo ukhethiwe
ページ保存の警告メッセージ	Umyalezo wesixwayiso mayelana nokulondolozwa kwekhasi
コピー・カットした時に表示するメッセージ	Umlayezo oboniswa lapho ukopisha noma usika
HTMLソース表示時に表示するメッセージ	Umyalezo ozoboniswa lapho kubukwa umthombo we-HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Umyalezo okufanele ubonakale phezulu kukhodi yomthombo lapho kufihlwa noma kuvikelwa i-HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Umyalezo ozovezwa uma ithokheni yokungena eyodwa ingasebenzi ngesikhathi sokuvikelwa kwe-HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Umyalezo ozovezwa uma ama-cookie noma i-JavaScript kuvinjiwe
実際にはJavascriptが無効時のみ表示されます	Eqinisweni, lokhu kukhishwa kuphela uma i-JavaScript ivinjwe.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Uma isithombe sivikelwe, siyalanda, bese umlayezo ubonakala kuleso sithombe
HTML難読化 (圧縮)	Ukudideka kwe-HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Lokhu kuwucindezelo olujwayelekile lwe-HTML; kukhona futhi amawebhusayithi angakwazi ukulihumusha.
このオプションを有効にするとview-sourceのログが取得できます	Ukwenza kube nesici lokhu kukuvumela ukuthi uthole ilogi yokubuka umthombo.
HTML保護	Ukuvikelwa kwe-HTML
