設定	Ntọala
IPログリーダー	Onye na-agụ ndekọ IP
IPアドレスログ	Ndekọ adreesị IP
全クリア	Meechaa ọkwa niile
IPログが全て削除されました	E hichapụla ndekọ IP niile.
ID	Nọmba njirimara
タイムスタンプ	Akara oge
IPアドレス	Adreesị IP
ユーザーエージェント	Onye nnọchi anya onye ọrụ
イベント	Ihe omume
IPアドレスのデータはありません	Enweghị data maka adreesị IP a.
EU GDPR対応	Ịgbaso EU GDPR
無効	Ezighi ezi
有効	Ziri ezi
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Ọ bụrụ na ị na-eji WordPress n'ime EU, ma ọ bụ ma weebụsaịtị gị na-elekwasị anya na ndị ọrụ n'ime EU, biko hụ na a kwadoro nke a.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Bọtịnụ 'Nkwenye' ga-agbanwe bụrụ 'Nkwenye' ma ọ bụ 'Mgbagha', na omume ga-agbanwe ntakịrị.
同意画面の色	Agba nke ihuenyo nkwenye
自動	Na-akpaghị aka
ライトモード	Ụdị ìhè
ダークモード	Ụdị Ọchịchịrị
同意画面表示中の配色を設定します	Tọọ usoro agba maka ihuenyo nkwenye
同意画面中のコンテンツのぼかし	Ịkụda ọdịnaya na ihuenyo nkwenye
同意画面表示中のコンテンツのぼかし具合を設定します	Tọọ ọkwa igbu anya maka ọdịnaya e gosipụtara na ihuenyo nkwenye
同意画面の透過	Ihe doro anya nke ihuenyo nkwenye
透過なし	Enweghị ìhè doro anya
同意画面の透過具合を設定します	Tọọ ịdị doro anya nke ihuenyo nkwenye
お知らせの1行目	Ahịrị mbụ nke nkwupụta
初回表示で必ず表示されるメッセージです	A na-egosi ozi a mgbe niile n'oge mbụ e bulitere ibe ahụ.
お知らせの2行目	Ahịrị nke abụọ nke ọkwa ahụ
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ozi a ga-apụta mgbe niile na ngosipụta mbụ naanị mgbe EU GDPR dị n'ọrụ.
お知らせの3行目	Ahịrị nke atọ nke ọkwa ahụ
プライバシーポリシーのリンクの右側に表示されます	Ọ ga-apụta n'aka nri nke njikọ na Usoro Nzuzo.
非EU向け確認の文字列	Ozi nkwenye maka mba ndị na-abụghị EU
EU GDPR向け同意するの文字列	Ozi ederede nkwenye maka EU GDPR
EU GDPR向け同意しないの文字列	Ozi maka 'Ekwela ikwe' n'okpuru EU GDPR
プライバシーポリシーの文字列	Nkwupụta nzuzo
プライバシーポリシーのURLはこちらから設定して下さい	Biko tọọ URL maka iwu nzuzo ebe a.
プライバシーポリシーには以下の内容を追加して下さい	Biko tinye ihe ndị a na Atụmatụ Nzuzo.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Iji chọpụta omume aghụghọ, a na-echekwa njirimara dịka adreesị IP na kuki na nchekwa data. A na-ehichapụ data echekwara ahụ dịka onye nchịkwa si kpebie.
