設定	Tetapan
IPログリーダー	Pembaca Log IP
IPアドレスログ	Log alamat IP
全クリア	Lengkapkan semua peringkat
IPログが全て削除されました	Semua log IP telah dipadamkan.
ID	ID
タイムスタンプ	Cap masa
IPアドレス	Alamat IP
ユーザーエージェント	Agens Pengguna
イベント	Acara
IPアドレスのデータはありません	Tiada data untuk alamat IP ini
EU GDPR対応	Pematuhan kepada GDPR EU
無効	Tidak sah
有効	Sah
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Jika anda menggunakan WordPress di dalam EU, atau jika laman web anda menyasarkan pengguna di dalam EU, sila pastikan ini diaktifkan.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Butang 'Konfirmasi' akan berubah menjadi 'Setuju' atau 'Tidak Setuju', dan kelakuannya akan berubah sedikit.
同意画面の色	Warna skrin persetujuan
自動	Otomatik
ライトモード	Mod ringan
ダークモード	Mod Gelap
同意画面表示中の配色を設定します	Tetapkan skema warna untuk skrin persetujuan
同意画面中のコンテンツのぼかし	Penyamaran kandungan pada skrin persetujuan
同意画面表示中のコンテンツのぼかし具合を設定します	Tetapkan tahap pengaburan untuk kandungan yang dipaparkan pada skrin persetujuan
同意画面の透過	Keterbukaan skrin persetujuan
透過なし	Tiada ketelusan
同意画面の透過具合を設定します	Tetapkan ketelusan skrin persetujuan
お知らせの1行目	Baris pertama pengumuman
初回表示で必ず表示されるメッセージです	Mesej ini sentiasa dipaparkan pada kali pertama halaman dimuatkan.
お知らせの2行目	Baris kedua notis itu
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Mesej ini akan sentiasa muncul pada paparan pertama hanya apabila EU GDPR berkuat kuasa.
お知らせの3行目	Baris ketiga pemberitahuan itu
プライバシーポリシーのリンクの右側に表示されます	Ia akan muncul di sebelah kanan pautan kepada Dasar Privasi.
非EU向け確認の文字列	Teks pengesahan untuk negara bukan EU
EU GDPR向け同意するの文字列	Teks persetujuan untuk EU GDPR
EU GDPR向け同意しないの文字列	Teks untuk 'Jangan bersetuju' di bawah EU GDPR
プライバシーポリシーの文字列	Teks dasar privasi
プライバシーポリシーのURLはこちらから設定して下さい	Sila tetapkan URL untuk dasar privasi di sini.
プライバシーポリシーには以下の内容を追加して下さい	Sila tambah yang berikut ke dalam Dasar Privasi.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Untuk mengesan aktiviti penipuan, pengecam seperti alamat IP disimpan dalam kuki dan pangkalan data. Data yang disimpan akan dipadam mengikut budi bicara pentadbir.
