設定	ക്രമീകരണങ്ങൾ
IPログリーダー	ഐപി ലോഗ് റീഡർ
IPアドレスログ	ഐപി വിലാസത്തിന്റെ രേഖ
全クリア	എല്ലാ ലെവലുകളും പൂർത്തിയാക്കുക
IPログが全て削除されました	എല്ലാ ഐപി ലോഗുകളും ഇല്ലാതാക്കിയിരിക്കുന്നു
ID	ഐഡി
タイムスタンプ	സമയമുദ്ര
IPアドレス	ഐപി വിലാസം
ユーザーエージェント	ഉപയോക്തൃ ഏജന്റ്
イベント	പരിപാടി
IPアドレスのデータはありません	ഈ ഐപി വിലാസത്തിന് വിവരങ്ങളൊന്നുമില്ല.
EU GDPR対応	യൂറോപ്യൻ യൂണിയൻ ജിഡിപിആറുമായുള്ള അനുവർത്തനം
無効	അസാധു
有効	സാധുവായ
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	നിങ്ങൾ യൂറോപ്യൻ യൂണിയനിൽ
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'കൺഫേം' ബട്ടൺ 'സമ്മതിക്കുന്നു' അല്ലെങ്കിൽ 'സമ്മതിക്കുന്നില്ല' എന്നായി മാറുകയും, പ്രവർത്തനരീതിയിൽ ചെറിയ മാറ്റം വരികയും ചെയ്യും.
同意画面の色	സമ്മതപത്രത്തിൻ്റെ നിറം
自動	ഓട്ടോമാറ്റിക്
ライトモード	ലഘു രീതി
ダークモード	ഡാർക്ക് മോഡ്
同意画面表示中の配色を設定します	സമ്മതം നൽകൽ സ്ക്രീനിൻ്റെ നിറങ്ങൾ ക്രമീകരിക്കുക
同意画面中のコンテンツのぼかし	സമ്മതം നൽകുന്ന സ്ക്രീനിലെ ഉള്ളടക്കം മങ്ങുന്നത്
同意画面表示中のコンテンツのぼかし具合を設定します	സമ്മതം ചോദിക്കുന്ന സ്ക്രീനിൽ പ്രദർശിപ്പിക്കുന്ന ഉള്ളടക്കത്തിൻ്റെ മങ്ങലിൻ്റെ അളവ് ക്രമീകരിക്കുക
同意画面の透過	സമ്മതം നൽകുന്നതിനുള്ള സ്ക്രീനിന്റെ സുതാര്യത
透過なし	പരിശോധനയില്ല
同意画面の透過具合を設定します	സമ്മതം നൽകുന്നതിനുള്ള സ്ക്രീനിൻ്റെ അതാര്യത ക്രമീകരിക്കുക
お知らせの1行目	അറിയിപ്പിന്റെ ആദ്യ വരി
初回表示で必ず表示されるメッセージです	പേജ് ആദ്യമായി ലോഡ് ചെയ്യുമ്പോൾ ഈ സന്ദേശം എപ്പോഴും പ്രദർശിപ്പിക്കും.
お知らせの2行目	അറിയിപ്പിന്റെ രണ്ടാമത്തെ വരി
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	EU GDPR പ്രാബല്യത്തിൽ ആയിരിക്കുമ്പോൾ മാത്രം ആദ്യത്തെ ഡിസ്‌പ്ലേയിൽ ഈ സന്ദേശം എപ്പോഴും ദൃശ്യമാകും.
お知らせの3行目	അറിയിപ്പിന്റെ മൂന്നാം വരി
プライバシーポリシーのリンクの右側に表示されます	ഇത് സ്വകാര്യതാ നയത്തിലേക്കുള്ള ലിങ്കിന്റെ വലതുവശത്ത് ദൃശ്യമാകും.
非EU向け確認の文字列	യൂറോപ്യൻ യൂണിയനിൽ അംഗമല്ലാത്ത രാജ്യങ്ങൾക്കുള്ള സ്ഥിരീകരണ സന്ദേശം
EU GDPR向け同意するの文字列	EU ജിഡിപിആറിനുള്ള സമ്മതപരമായ ടെക്സ്റ്റ്
EU GDPR向け同意しないの文字列	യൂറോപ്യൻ യൂണിയൻ ജിഡിപിആർ പ്രകാരം 'സമ്മതം നൽകരുത്' എന്നതിനുള്ള വിവരണം
プライバシーポリシーの文字列	സ്വകാര്യതാ നയം
プライバシーポリシーのURLはこちらから設定して下さい	ദയവായി സ്വകാര്യതാ നയത്തിൻ്റെ URL ഇവിടെ നൽകുക
プライバシーポリシーには以下の内容を追加して下さい	ദയവായി താഴെ പറയുന്നവ സ്വകാര്യതാ നയത്തിൽ ചേർക്കുക
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	തട്ടിപ്പ് പ്രവർത്തനങ്ങൾ കണ്ടെത്തുന്നതിനായി, ഐപി വിലാസങ്ങൾ പോലുള്ള ഐഡന്റിഫയറുകൾ കുക്കികളിലും ഡാറ്റാബേസിലും സംഭരിക്കുന്നു. സംഭരിച്ച ഡാറ്റ അഡ്മിനിസ്ട്രേറ്ററുടെ വിവേചനാധികാരപ്രകാരം ഇല്ലാതാക്കുന്നു.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	ചിത്ര സംരക്ഷണം പ്രവർത്തനക്ഷമമാക്കുമ്പോൾ ചിത്രങ്ങൾ ശരിയായി ലഭ്യമാകുന്നുവെന്ന് ഉറപ്പാക്കാൻ, ഐപി വിലാസവും ചിത്രത്തിന്റെ ഫയൽ നാമവും അടങ്ങുന്ന ഹാഷ് ചെയ്ത ഡാറ്റ 60 മിനിറ്റ് വരെ ഞങ്ങളുടെ ഡാറ്റാബേസിൽ സൂക്ഷിക്കുന്നു.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	നിങ്ങൾ ഉപയോഗ നിബന്ധനകൾ സജ്ജീകരിക്കുകയാണെങ്കിൽ, നിങ്ങളുടെ സ്വകാര്യതാ നയത്തിൽ അതിലേക്കുള്ള ഒരു ലിങ്ക് ഉൾപ്പെടുത്തിയിട്ടുണ്ടെന്ന് ഉറപ്പാക്കുക.
利用規約の文字列	ഉപയോഗ നിബന്ധനകളുടെ ഉള്ളടക്കം
利用規約のページ	നിബന്ധനകളും വ്യവസ്ഥകളും പേജ്
ページ選択なし	പേജ് തിരഞ്ഞെടുത്തിട്ടില്ല
検索エンジン等のURL	സെർച്ച് എഞ്ചിനുകൾക്കുള്ള URL-കൾ, മുതലായവ.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	ഉപയോക്താക്കൾ സമ്മതം നൽകാത്തപ്പോൾ അവരെ മറ്റ് വെബ്സൈറ്റുകളിലേക്ക് തിരിച്ചുവിടുന്ന സെർച്ച് എഞ്ചിനുകൾക്കും സമാനമായ സൈറ്റുകൾക്കുമുള്ള URL സജ്ജീകരിക്കുക
デバッグモード、コンソールの警告メッセージ	ഡീബഗ് മോഡ്, കൺസോൾ മുന്നറിയിപ്പ് സന്ദേശങ്ങൾ
右クリックの警告メッセージ	വലത്-ക്ലിക്ക് മുന്നറിയിപ്പ് സന്ദേശം
印刷、PDF保存の警告メッセージ	പിഡിഎഫ് ആയി പ്രിന്റ് ചെയ്യുന്നതിനും സേവ് ചെയ്യുന്നതിനും സംബന്ധിച്ച മുന്നറിയിപ്പ് സന്ദേശം
スクリーンショットの警告メッセージ	സ്ക്രീൻഷോട്ടിലെ മുന്നറിയിപ്പ് സന്ദേശം
スクリーンショットの疑いの警告メッセージ	സംശയാസ്പദമായ സ്ക്രീൻഷോട്ടുകളെക്കുറിച്ചുള്ള മുന്നറിയിപ്പ് സന്ദേശം
テキスト全選択時の警告メッセージ	എല്ലാ ടെക്സ്റ്റും തിരഞ്ഞെടുക്കുമ്പോൾ പ്രദർശിക്കുന്ന മുന്നറിയിപ്പ് സന്ദേശം
ページ保存の警告メッセージ	പേജ് സേവിംഗിനെക്കുറിച്ചുള്ള മുന്നറിയിപ്പ് സന്ദേശം
コピー・カットした時に表示するメッセージ	പകർത്തുമ്പോഴോ മുറിക്കുമ്പോഴോ ദൃശ്യമാകുന്ന സന്ദേശം
HTMLソース表示時に表示するメッセージ	HTML സോഴ്സ് കാണുമ്പോൾ പ്രദർശിപ്പിക്കാനുള്ള സന്ദേശം
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML മങ്ങാക്കുകയോ സംരക്ഷിക്കുകയോ ചെയ്യുമ്പോൾ സോഴ്സ് കോഡിന്റെ മുകളിൽ പ്രദർശിപ്പിക്കാനുള്ള സന്ദേശം
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML സംരക്ഷണ സമയത്ത് ഏകതവണ ഉപയോഗിക്കാവുന്ന ഓതന്റിക്കേഷൻ ടോക്കൺ അസാധുവാണെങ്കിൽ പ്രദർശിപ്പിക്കാനുള്ള സന്ദേശം
CookieやJavascriptが有効でない場合に表示するメッセージ	കുക്കികളോ ജാവാസ്ക്രിപ്റ്റോ പ്രവർത്തനരഹിതമാക്കിയിട്ടുണ്ടെങ്കിൽ പ്രദർശിപ്പിക്കാനുള്ള സന്ദേശം
実際にはJavascriptが無効時のみ表示されます	വാസ്തവത്തിൽ, ജാവാസ്ക്രിപ്റ്റ് പ്രവർത്തനരഹിതമാക്കിയിരിക്കുമ്പോൾ മാത്രമേ ഇത് ദൃശ്യമാകുകയുള്ളൂ.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	ഒരു ചിത്രം സംരക്ഷിക്കുമ്പോൾ, അത് ഡൗൺലോഡ് ചെയ്യുകയും, ആ ചിത്രത്തിൽ ഒരു സന്ദേശം
HTML難読化 (圧縮)	HTML അവ്യക്തീകരണം
一般的なHTML圧縮です、難読化解除のサイトもあります	ഇതൊരു സാധാരണ എച്ച്‌ടിഎംഎൽ കംപ്രഷനാണ്; ഇത് ഡീകോഡ് ചെയ്യാൻ കഴിയുന്ന വെബ്സൈറ്റുകളുമുണ്ട്.
このオプションを有効にするとview-sourceのログが取得できます	ഈ ഓപ്ഷൻ പ്രവർത്തനക്ഷമമാക്കുന്നത്, വ്യൂ-സോഴ്‌സ് ലോഗ് വീണ്ടെടുക്കാൻ നിങ്ങളെ അനുവദിക്കുന്നു.
HTML保護	HTML സംരക്ഷണം
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	ഇത് HTML-ന്റെ ഏറ്റവും കുറഞ്ഞ അളവ് മാത്രമേ ഔട്ട്പുട്ട് ചെയ്യുന്നുള്ളൂ—HTML കംപ്രഷൻ ഉപയോഗിക്കുമ്പോൾ ലഭിക്കുന്നതിനേക്കാൾ കുറവ്—കൂടാതെ BODY ടാഗിനുള്ളിലെ ഉള്ളടക്കം ഒട്ടും ഔട്ട്പുട്ട് ചെയ്യുകയുമില്ല.
Firefoxに対しては無効です	ഇത് ഫയർഫോക്സിൽ ബാധകമല്ല
SEOに著しく影響があります	ഇത് എസ്.ഇ.ഒ-യെ കാര്യമായി ബാധിക്കുന്നു.
