設定	Astellungen
IPログリーダー	IP-Log-Lieser
IPアドレスログ	IP-Adress-Log
全クリア	Fäerdeg maachen all d'Niveauen
IPログが全て削除されました	All IP-Logdateien goufen geläscht.
ID	Identifikatioun
タイムスタンプ	Zäitstempel
IPアドレス	IP-Adress
ユーザーエージェント	Benotzeragent
イベント	Evenement
IPアドレスのデータはありません	Et ginn keng Donnéeën fir d'IP-Adress.
EU GDPR対応	Konformitéit mat der EU-DSGVO
無効	Net gëlteg
有効	Gëlteg
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Wann Dir WordPress an der EU benotzt oder wann Är Websäit op Benotzer an der EU ausgeriicht ass, suergt w.e.g. datt dëst aktivéiert ass.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	De Knäppchen 'Bestätegen' gëtt zu 'Zoustëmmen' oder 'Net averstan' geännert, an d'Verhalen ännert sech e bësse.
同意画面の色	Faarf vum Zoustëmmungsbildschierm
自動	Automatesch
ライトモード	Liichtmodus
ダークモード	Däischter Modus
同意画面表示中の配色を設定します	Setzt d'Faarferschema fir de Zoustëmmungsbildschierm.
同意画面中のコンテンツのぼかし	Verwëschelung vum Inhalt um Zoustëmmungsbildschierm
同意画面表示中のコンテンツのぼかし具合を設定します	Setzt de Schärfegrad vum Inhalt, deen um Zoustëmmungsbildschierm ugewisen gëtt.
同意画面の透過	Transparenz vum Zoustëmmungsbildschierm
透過なし	Keng Transparenz
同意画面の透過具合を設定します	Setzt d'Transparenz vum Zoustëmmungsbildschierm.
お知らせの1行目	Éischt Zeil vun der Annonce
初回表示で必ず表示されるメッセージです	Dës Noriicht gëtt ëmmer d'éischt Kéier ugewisen, wann d'Säit geluede gëtt.
お知らせの2行目	Déi zweet Zeil vun der Notiz
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Dës Noriicht erschéngt ëmmer nëmmen op dem éischte Display, wann d'EU-DSGVO a Kraaft ass.
お知らせの3行目	Déi drëtt Zeil vun der Notiz
プライバシーポリシーのリンクの右側に表示されます	Et wäert riets vum Link op d'Datenschutzpolitik erschéngen.
非EU向け確認の文字列	Bestätegungstext fir net-EU-Länner
EU GDPR向け同意するの文字列	Zoustëmmungstext fir d'EU-DSGVO
