設定	设置
IPログリーダー	IP 日志阅读器
IPアドレスログ	IP 地址日志
全クリア	一切正常
IPログが全て削除されました	所有 IP 日志均已删除。
ID	身份证
タイムスタンプ	时间戳
IPアドレス	IP 地址
ユーザーエージェント	用户代理
イベント	活动
IPアドレスのデータはありません	无 IP 地址数据。
デバッグモード、コンソールの警告メッセージ	调试模式，控制台警告信息。
右クリックの警告メッセージ	右键单击警告信息。
印刷、PDF保存の警告メッセージ	打印和保存 PDF 文件时的警告信息。
コピー・カットした時に表示するメッセージ	复印或剪切时显示信息。
HTMLソース表示時に表示するメッセージ	显示 HTML 代码时要显示的信息
HTML難読化・保護時にソースの先頭に表示するメッセージ	当 HTML 被混淆和保护时，在源代码开头显示的信息。
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	如果一次性身份验证令牌在 HTML 保护过程中出现异常，则显示此消息。
CookieやJavascriptが有効でない場合に表示するメッセージ	如果 cookie 和 Javascript 未启用，则会显示信息。
実際にはJavascriptが無効時のみ表示されます	实际上，这只有在禁用 Javascript 时才能看到。
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	下载图像且图像受保护时图像上显示的信息 仅限英文
HTML難読化 (圧縮)	HTML 混淆（压缩）
無効	无效
有効	有效性
一般的なHTML圧縮です、難読化解除のサイトもあります	一般 HTML 压缩，有些网站有去混淆功能。
HTML保護	HTML 保护
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	除 HTML 压缩外，只输出最少量的 HTML，而且根本不输出 BODY 标记中的内容。
view-source:の動作をされた時の記録もします	它还会记录何时执行了视图源：操作。
有効化した時は必ずリダイレクトが発生するため、SEOが落ちるかもしれません	无论何时激活，都会出现重定向，这可能会导致搜索引擎优化效果下降
若干デザインが変わる可能性があります	设计可能略有改动。
画像の保護	图像保护。
add_filterを使用して画像を保護	使用 add_filter 保护图像
wp_head～wp_footerの間をキャプチャして画像を保護	捕捉并保护 wp_head 和 wp_footer 之间的图像
画像をダウンロードから保護します	保护图像免受下载。
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	当图像数据受到保护时，几乎可以完全防止下载，发出完整的一次性 URL，使用会话中存储的令牌进行身份验证，并从 php 显示图像，从而几乎完全防止图像被盗。
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOが落ちるかもしれません	当图片数据受到保护时，图片缓存不起作用，因此下次访问网站时加载速度会变慢，这可能会导致搜索引擎优化效果下降
画像データを保護した時には、データベースの負荷が高くなる可能性があります	保护图像数据时，数据库负载可能会更高
add_filterを使用した方式はimgタグの発行時にフィルタリングを行い、wp_head～wp_footerを使用した方式はコンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	使用 add_filter 的方法会在发布时过滤 img 标记，而使用 wp_head 至 wp_footer 的方法则会处理内容中的所有 img 标记。(根据主题的不同，这种方法可能无法正常工作。
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	请注意，指定为醒目的图像会作为 OGP 传播，无法对其进行保护。如果必须保护，请在高级设置中更改保护 HTML 时 HEAD 标记输出的选择。
OS標準搭載のスクリーンショット機能を保護することはできません	无法保护标准操作系统截屏功能
画像URLの保護	保护图像 URL
即時読み込みをして有効	立即加载有效。
遅延読み込みをして有効	启用延迟加载。
画像の保護と組み合わせて使用します、単体では意味がありません	与图像保护结合使用，单独使用意义不大。
JavaScriptにより動的に読まれますのでSEOに影響があります	它是由 JavaScript 动态读取的，这会影响搜索引擎优化。
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	在 HTML 混淆和保护过程中输出 HTML 源代码中的 ASCII 艺术。
表示なし	无指示
HTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	在显示 HTML 源文件时，显示 ASCII 文字，表明警告的意图。
ログインしていないブラウザーでソース表示を行って確認して下さい	在未登录的浏览器中查看源文件进行检查
デバッグモード	调试模式
妨害＋記録のみ	仅干扰+记录。
妨害＋記録＋表示＋リダイレクト	拦截 + 记录 + 显示 + 重定向
メニューからは操作できてしまいます	可通过菜单进行操作。
ブラウザーコンソール	浏览器控制台
事実上デバッグモードから操作できてしまいます	实际上，您可以在调试模式下进行操作。
HTMLソース表示	显示 HTML 源代码
view-source:から始まるURLを入力すれば操作できてしまいます	可通过输入以 view-source: 开头的 URL 进行操作。
印刷	印刷
印刷阻止をするもものの、ブラウザによってはうまく動作しません	打印阻塞，但在某些浏览器中效果不佳
ページ保存	保存页面
右クリック	右击
アドオンがインストールされていると操作できてしまいます	如果安装了附加组件，就可以进行操作。
コピー・カット	复制剪切
あまりこのイベントに遭遇することはありません	我们并不经常遇到这种情况。
テキスト選択	文本选择
デバッガー妨害	调试器干扰
デバッグモードの使い勝手を少し悪くします、ブラウザによってはこの挙動が止められてしまいます	使调试模式对用户不那么友好，有些浏览器会阻止这种行为
リダイレクトするURL	重定向到的 URL。
利用規約などのページに転送すると良いでしょう	您可能需要将他们转发到 "使用条款 "等页面。
ソース表示を許可する権限	允许源显示的权限。
ADMINログイン時のみ通常のソース出力	仅在管理员登录时输出正常信号源
USERログインで通常のソース出力	用户登录后的正常信号源输出
通常のHTML出力を管理者のみかユーザーログインかを選択します	选择正常 HTML 输出是仅供管理员使用，还是供用户登录使用
HTML保護時のHEADタグの出力	在 HTML 保护过程中输出 HEAD 标记
出力しない	无输出
TITLEタグのみ	仅 TITLE 标签
WordpressのHEADタグより取得	从 Wordpress 的 HEAD 标签中提取
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	对于企业使用的页面，如会员专享页面或内部页面，"无输出 "或 "仅 TITLE 标签 "即可。
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	除非 OGP 图像来自 Wordpress HEAD 标签，否则不会显示在社交网络共享中。
画像botをアクセス禁止にする	禁止图像机器人。
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます	相对于 HTML 而言，避免图像机器人可以保护那些无法通过图像搜索直接链接保护的内容。
alertメッセージを表示する言語	显示警报信息的语言。
Wordpressの言語	Wordpress 语言。
ブラウザの設定言語	浏览器设置语言
メッセージをカスタム設定されている場合は言語を変更できません	如果自定义了信息，则无法更改语言
view-sourceメッセージを表示する言語	显示视图源信息的语言。
一時使用トークンの有効期限	临时使用令牌的到期日。
1分	一分钟
2分	2 分钟
3分	3 分钟
4分	4 分钟
5分	5 分钟
6分	6 分钟
7分	7 分钟
8分	8 分钟
9分	9 分钟
10分	10 分钟
15分	15 分钟
20分	20 分钟
25分	25 分钟
30分	30 分钟
35分	35 分钟
40分	40 分钟
45分	45 分钟
50分	50 分钟
55分	55 分钟
1時間	1 小时
画像URL情報の有効期限を設定します	设置图片 URL 信息的有效期。
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	加载后，图像 URL 信息和临时使用标记将被禁用
一時使用トークンのビット数	临时使用标记的位数
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	指定用作密码的临时使用标记的强度，以加密图像 URL 信息
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	当您选择下拉菜单下面的选项时，强度会增加，但服务器的负载也会增加
ハッシュ化アルゴリズム	散列算法
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	临时令牌用作密码来加密图像 URL 信息，但必须进行散列，并设置散列强度。
基本設定	基本设置
高度な設定	高级设置
初期設定に戻す	重置为默认值
メッセージの設定	信息设置
右クリックやソースコード表示時に転送する URL を設定します	设置右键单击或查看源代码时要转发的 URL。
警告メッセージにはHTMLは使用できません	警告信息不能使用 HTML
この画面で設定すると、高度な設定タブにある言語設定が無視されます	如果在此屏幕上设置，高级设置选项卡中的语言设置将被忽略
以下の文字列が使用できます	可以使用以下字符串
改行	新线
押下されたキー	按键
Neo HTML Protector 設定	尼欧 HTML 保护程序设置
このプラグインについて	关于此插件。
データをすべてクリアするには、プラグインをアンインストールしてから、インストールしなおして下さい	要清除所有数据，请卸载插件，然后重新安装
Neo HTML Protectorについて	关于 Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	该插件旨在保护 Wordpress 输出的 HTML、图片等，防止未经授权使用其内容。
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	内容不可能得到完美的保护。但是，通过以各种可能的方式向他们发出警告，并在发生意外时做好准备，您应该能够以国家规定的方式解决问题。
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	当然，您还需要完善您的使用条款和网站政策。这个插件不是一个使用条款生成应用程序，但它可以给你一个提示。
開発者: 夜桜　なの	开发者：Nano Yozakura
バージョン	版本
ビルド	构建
サポートページ	支持页面
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	乌拉马尼拉先生演唱的《小姐
支援のお願い	请求援助。
Neo HTML Protectorをご利用いただき、ありがとうございます！	感谢您使用 Neo HTML Protector！
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	我们投入了大量的时间和智慧来开发和维护这个插件，如果您能帮助我们筹集资金来继续改进和更新这个插件，我们将不胜感激。
寄付について	关于捐赠
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	捐赠是自愿的，不是强制性的。它对所有人开放，因此插件可以免费使用。但是，我们非常希望得到您的支持以继续开发，我们也非常乐意提供力所能及的帮助。
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	您可以通过以下链接捐款。如果您来自日本，也可以免费捐款，此外，您还可以使用亚马逊礼券轻松捐款。
寄付先	捐助方
