設定	Тохиргоо
IPログリーダー	IP бүртгүүлэгч уншигч
IPアドレスログ	IP хаягийн бүртгэл
全クリア	Бүх түвшингүүдээ дуусга
IPログが全て削除されました	Бүх IP бүртгэлийн файлууд устгагдсан
ID	ID
タイムスタンプ	Цагны тэмдэг
IPアドレス	IP хаяг
ユーザーエージェント	Хэрэглэгчийн агент
イベント	Арга хэмжээ
IPアドレスのデータはありません	Энэ IP хаягтай холбоотой ямар ч мэдээлэл байхгүй байна.
EU GDPR対応	ЕХ-ны GDPR-д нийцэх
無効	Хүчин төгөлдөр бус
有効	Хүчинтэй
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Хэрэв та Европын Холбоо
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Баталгаажуулах' товч 'Зөвшөөрөх' эсвэл 'Зөвшөөрөхгүй' болж, үйлдэл нь бага зэрэг өөрчлөгдөнө.
同意画面の色	Зөвшөөрлийн дэлгэцийн өнгө
自動	Автомат
ライトモード	Хөнгөн горим
ダークモード	Харанхуй горим
同意画面表示中の配色を設定します	Зөвшөөрлийн дэлгэцийн өнгөний схем тохируулах
同意画面中のコンテンツのぼかし	Зөвшөөрлийн дэлгэцийн агуулгыг бүдгэрүүлэх
同意画面表示中のコンテンツのぼかし具合を設定します	Зөвшөөрлийн дэлгэц дээр харуулагдах агуулгын бүдгэрүүлэлтийн түвшинг тохируулна
同意画面の透過	Зөвшөөрлийн дэлгэцийн ил тод байдал
透過なし	Нээлттэй байдал байхгүй
同意画面の透過具合を設定します	Зөвшөөрлийн дэлгэцийн тунгалаг байдлыг тохируулна уу
お知らせの1行目	Зар мэдэгдлийн эхний мөр
初回表示で必ず表示されるメッセージです	Энэ мессеж хуудас анх удаа ачаалагдах бүрт үргэлж харуулагддаг
お知らせの2行目	Мэдэгдлийн хоёр дахь мөр
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Энэхүү мессеж зөвхөн EU GDPR хүчин төгөлдөр болсон үед эхний дэлгэц дээр үргэлж гарна.
お知らせの3行目	Мэдэгдлийн гурав дахь мөр
プライバシーポリシーのリンクの右側に表示されます	Энэ нь Нууцлалын бодлогын холбоосын баруун талд гарч ирнэ.
非EU向け確認の文字列	ЕХ-нд хамаарахгүй орнуудын баталгаажуулалтын текст
