設定	Подешавања
IPログリーダー	Читач ИП логова
IPアドレスログ	Лог ИП адреса
全クリア	Завршите све нивое
IPログが全て削除されました	Сви ИП логови су избрисани
ID	ИД
タイムスタンプ	Временски печат
IPアドレス	IP адреса
ユーザーエージェント	Кориснички агент
イベント	Догађај
IPアドレスのデータはありません	Нема података за IP адресу
EU GDPR対応	Усаглашеност са ЕУ ГДПР
無効	Неважеће
有効	Важеће
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Ако користите WordPress унутар ЕУ или ако је ваш веб-сајт намењен корисницима унутар ЕУ, молимо вас да обезбедите да је ово омогућено.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Дугме "Потврди" ће се променити у "Слажем се" или "Не слажем се", а понашање ће се мало променити.
同意画面の色	Боја екрана за пристанак
自動	Аутоматски
ライトモード	Лаки режим
ダークモード	Тамни режим
同意画面表示中の配色を設定します	Подесите шему боја за екран за пристанак
同意画面中のコンテンツのぼかし	Замућивање садржаја на екрану за пристанак
同意画面表示中のコンテンツのぼかし具合を設定します	Подесите ниво замућења за садржај приказан на екрану за пристанак
同意画面の透過	Провидност екрана за пристанак
透過なし	Нема транспарентности
同意画面の透過具合を設定します	Подесите провидност екрана за пристанак
お知らせの1行目	Први ред обавештења
初回表示で必ず表示されるメッセージです	Ова порука се увек приказује први пут када се страница учита.
お知らせの2行目	Други ред обавештења
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ова порука ће се увек појављивати на првом приказу само када је EU GDPR на снази.
お知らせの3行目	Трећи ред обавештења
プライバシーポリシーのリンクの右側に表示されます	Појавиће се десно од линка за Политику приватности.
非EU向け確認の文字列	Текст потврде за земље ван ЕУ
EU GDPR向け同意するの文字列	Текст сагласности за ЕУ ГДПР
EU GDPR向け同意しないの文字列	Текст за "Не дај сагласност" у оквиру ЕУ ГДПР-а
プライバシーポリシーの文字列	Текст политике приватности
プライバシーポリシーのURLはこちらから設定して下さい	Молимо поставите УРЛ за политику приватности овде
プライバシーポリシーには以下の内容を追加して下さい	Молимо вас да у Политику приватности додате следеће
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Да би се открила преварна активност, идентификатори као што су ИП адресе чувају се у колачићима и бази података. Подаци који су сачувани бришу се по дискрецији администратора.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Да бисмо осигурали да се слике испоручују исправно само када је заштита слика омогућена, чувамо у бази података хеш-оване податке који обухватају IP адресу и назив датотеке слике до 60 минута.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Ако подешавате Услове коришћења, молимо вас да у својој Политици приватности укључите линк ка њима.
利用規約の文字列	Текст услова коришћења
利用規約のページ	Страница са условима и одредбама
ページ選択なし	Није изабрана страница
検索エンジン等のURL	УРЛ-ови за претраживаче, итд.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Поставите УРЛ за претраживаче и сличне сајтове који преусмеравају кориснике када не дају сагласност
デバッグモード、コンソールの警告メッセージ	Режим отклањања грешака, упозоравајуће поруке у конзоли
右クリックの警告メッセージ	Десни клик упозоравајући порука
印刷、PDF保存の警告メッセージ	Упозорење о штампању и сачувању као PDF
スクリーンショットの警告メッセージ	Упозоравајућа порука на снимку екрана
スクリーンショットの疑いの警告メッセージ	Упозоравајућа порука у вези са сумњивим снимцима екрана
テキスト全選択時の警告メッセージ	Упозоравајућа порука када је сав текст изабран
ページ保存の警告メッセージ	Упозорење о сачувању странице
コピー・カットした時に表示するメッセージ	Порука која се приказује приликом копирања или исецања
HTMLソース表示時に表示するメッセージ	Порука за приказ приликом прегледавања HTML извора
