ISISちゃん	ISIS chan
設定	Sozlamalar
IPログリーダー	IP Log O'quvchi
IPアドレスログ	IP manzillari logi
全クリア	Barcha bosqichlarni yakunlang
IPログが全て削除されました	Barcha IP jurnallari o'chirildi.
ID	ID
タイムスタンプ	Vaqt belgisi
IPアドレス	IP manzili
ユーザーエージェント	Foydalanuvchi agenti
イベント	Tadbir
IPアドレスのデータはありません	Ushbu IP manzil bo'yicha ma'lumot yo'q.
EU GDPR対応	Yevropa Ittifoqi GDPRiga muvofiqlik
無効	Noto'g'ri
有効	Amaldor
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Agar siz Yevropa Ittifoqida WordPress'dan foydalanayotgan bo'lsangiz yoki veb-saytingiz Yevropa Ittifoqi foydalanuvchilariga mo'ljallangan bo'lsa, iltimos, buni yoqilganligiga ishonch hosil qiling.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Tasdiqlash' tugmasi 'Rozi bo'lish' yoki 'Rozi bo'lmaslik' ga o'zgaradi va xatti-harakat biroz o'zgaradi.
同意画面の色	Rozilik ekrani rangi
自動	Avtomatik
ライトモード	Yengil rejim
ダークモード	Qorong'i rejim
同意画面表示中の配色を設定します	Rozilik ekrani uchun rang sxemasini sozlang
同意画面中のコンテンツのぼかし	Ruxsat ekrani mazmunining xiralashishi
同意画面表示中のコンテンツのぼかし具合を設定します	Rozilik ekrani ko'rsatadigan kontent uchun xiralashtirish darajasini belgilang
同意画面の透過	Rozilik ekrani shaffofligi
透過なし	Shaffoflik yo'q
同意画面の透過具合を設定します	Rozilik ekrani shaffofligini sozlang
お知らせの1行目	E'lonning birinchi qatori
初回表示で必ず表示されるメッセージです	Ushbu xabar sahifa birinchi marta yuklanganda har doim ko'rsatiladi.
お知らせの2行目	Bildirishnomaning ikkinchi qatori
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ushbu xabar faqat EU GDPR kuchga kirganda birinchi ekranda doimiy ravishda paydo bo'ladi.
お知らせの3行目	Bildirishnomaning uchinchi qatori
プライバシーポリシーのリンクの右側に表示されます	Bu Maxfiylik siyosatiga havolaning o'ng tomonida paydo bo'ladi.
非EU向け確認の文字列	Yevropa Ittifoqiga a'zo bo'lmagan mamlakatlar uchun tasdiqlash matni
EU GDPR向け同意するの文字列	Yevropa Ittifoqi GDPR uchun rozilik matni
EU GDPR向け同意しないの文字列	Yevropa Ittifoqi GDPR bo'yicha "Rozilik bermang" matni
プライバシーポリシーの文字列	Maxfiylik siyosati matni
プライバシーポリシーのURLはこちらから設定して下さい	Iltimos, maxfiylik siyosati URL manzilini bu yerga belgilang.
プライバシーポリシーには以下の内容を追加して下さい	Iltimos, quyidagilarni Maxfiylik siyosatiga qo'shing.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Firibgarlik faoliyatini aniqlash uchun IP-manzillar kabi identifikatorlar cookie-fayllarda va ma'lumotlar bazasida saqlanadi. Saqlangan ma'lumotlar administratorning ixtiyoriga ko'ra o'chirib tashlanadi.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Rasm himoyasi faollashtirilganda rasmlarning to'g'ri yetkazilishini ta'minlash uchun biz IP manzili va rasm fayl nomidan iborat xesh qilingan ma'lumotlarni ma'lumotlar bazasida 60 daqiqagacha saqlaymiz.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Agar siz Foydalanish shartlarini sozlayotgan bo'lsangiz, iltimos, ularga havolani Maxfiylik siyosatingizga kiritganingizga ishonch hosil qiling.
利用規約の文字列	Foydalanish shartlari matni
利用規約のページ	Shartlar va qoidalar sahifasi
ページ選択なし	Hech qanday sahifa tanlanmagan
検索エンジン等のURL	Qidiruv tizimlari va boshqalar uchun URL manzillari.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Ruxsat berilmagan hollarda foydalanuvchilarni yo'naltiradigan qidiruv tizimlari va shunga o'xshash saytlar uchun URL manzilini belgilang.
デバッグモード、コンソールの警告メッセージ	Xatoliklarni tuzatish rejimi, konsol ogohlantirish xabarlari
右クリックの警告メッセージ	O'ng tugma bilan bosish ogohlantirish xabari
印刷、PDF保存の警告メッセージ	PDFga chop etish va saqlash bo'yicha ogohlantirish xabari
スクリーンショットの警告メッセージ	Ekran tasviridagi ogohlantirish xabari
スクリーンショットの疑いの警告メッセージ	Taxmin qilingan skrinshotlar bo'yicha ogohlantirish xabari
テキスト全選択時の警告メッセージ	Barcha matn tanlanganda ogohlantirish xabari
ページ保存の警告メッセージ	Sahifani saqlash bo'yicha ogohlantirish xabari
コピー・カットした時に表示するメッセージ	Ko'chirish yoki kesish paytida ko'rsatiladigan xabar
HTMLソース表示時に表示するメッセージ	HTML manba kodini ko'rayotganda ko'rsatiladigan xabar
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTMLni obfuskatsiya qilish yoki himoya qilish paytida manba kodining yuqori qismida ko'rsatiladigan xabar
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML himoyasi vaqtida bir martalik autentifikatsiya tokeni haqiqiy bo'lmasa ko'rsatiladigan xabar
