設定	Tautuhinga
IPログリーダー	Pānui Rēkōta IP
IPアドレスログ	Rārangi wāhitau IP
全クリア	Whakaoti i ngā taumata katoa
IPログが全て削除されました	Kua mukua ngā rangitaki IP katoa
ID	Tohu tuakiri
タイムスタンプ	Tohu wā
IPアドレス	Wāhitau IP
ユーザーエージェント	Kaihoko kaiwhakamahi
イベント	Hātepe
IPアドレスのデータはありません	Kāore he raraunga mō tēnei wāhitau IP.
EU GDPR対応	Te ū ki te GDPR o te Uniana o Europi
無効	Hē
有効	Pono
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Mēnā kei te whakamahi koe i te WordPress i roto i te EU, rānei mēnā e aro ana tō paetukutuku ki ngā kaiwhakamahi i roto i te EU, tēnā whakarite kia whakahohea tēnei.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Ka huri te pātene 'Whakapūmau' ki 'Whakaae' rānei 'Kāore e whakaae', ā, ka rerekē paku te whanonga.
同意画面の色	Tae o te mata whakaaetanga
自動	Aunoa
ライトモード	Aratau māmā
ダークモード	Aratau Pōuri
同意画面表示中の配色を設定します	Whakaritea te hoahoa tae mō te mata whakaae
同意画面中のコンテンツのぼかし	Te whakaparuparu o ngā ihirangi i runga i te mata whakaaetanga
同意画面表示中のコンテンツのぼかし具合を設定します	Whakaritea te taumata o te whakamatapō mō ngā ihirangi e whakaatuhia ana i runga i te mata whakaaetanga
同意画面の透過	Mārama o te mata whakaae
透過なし	Kāore he mārama
同意画面の透過具合を設定します	Whakaritea te mārama o te mata whakaaetanga
お知らせの1行目	Raina tuatahi o te pānui
初回表示で必ず表示されるメッセージです	Ka whakaatuhia tonu tēnei karere i te wā tuatahi ka utaina te whārangi.
お知らせの2行目	Te rārangi tuarua o te pānui
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ka puta tonu tēnei karere i te whakaaturanga tuatahi anake ina whai mana te EU GDPR.
お知らせの3行目	Ko te rārangi tuatoru o te pānui
プライバシーポリシーのリンクの右側に表示されます	Ka puta ki te taha matau o te hono ki te Kaupapahere Tūmataiti.
非EU向け確認の文字列	Tēnēhi whakapūmau mō ngā whenua kāore i roto i te EU
EU GDPR向け同意するの文字列	Tēnehi whakaaetanga mō te EU GDPR
EU GDPR向け同意しないの文字列	Tuhi mō te 'Kaua e whakaae' i raro i te EU GDPR
プライバシーポリシーの文字列	Tēnehi mō te kaupapa here tūmataiti
プライバシーポリシーのURLはこちらから設定して下さい	Tēnā, whakaritea te URL mō te kaupapa here tūmataiti ki konei.
プライバシーポリシーには以下の内容を追加して下さい	Tēnā koa tāpiri i ngā mea e whai ake nei ki te Kaupapahere Tūmataiti.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Hei kite i ngā mahi tinihanga, ka penapenahia ngā tohu tuakiri pērā i ngā wāhitau IP ki ngā kuki me te pātengi raraunga. Ka mukua ngā raraunga kua penapenahia i runga i te whakaaro a te kaiwhakahaere.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Hei whakarite kia tukuna tika ngā whakaahua ina whakahohea te tiaki whakaahua, ka penapenahia e mātou ngā raraunga hash e kapi ana i te wāhitau IP me te ingoa kōnae whakaahua ki tō mātou pātengi raraunga mō te 60 meneti.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Mēnā kei te whakarite koe i ngā Tikanga Whakamahi, tēnā whakarite kia whakauru koe i tētahi hononga ki a rātou i roto i tō Kaupapahere Tūmataitinga.
利用規約の文字列	Tuhi o ngā tikanga whakamahi
利用規約のページ	Whārangi Ngā Tikanga me Ngā Here
ページ選択なし	Kāore he whārangi kua tīpakohia
検索エンジン等のURL	Ngā URL mō ngā miihini rapu, me ērā atu.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Whakaritea te URL mō ngā miihini rapu me ērā atu pae e whakahoki ana i ngā kaiwhakamahi ina kāore i whakaaetia.
デバッグモード、コンソールの警告メッセージ	Aratau wetewete hapa, karere whakatūpato o te papamātiti
右クリックの警告メッセージ	Panui whakatūpato pāwhiri-matau
印刷、PDF保存の警告メッセージ	Panui whakatūpato mō te tā me te penapena hei PDF
スクリーンショットの警告メッセージ	Karere whakatūpato i te whakaahua mata
スクリーンショットの疑いの警告メッセージ	Panui whakatūpato mō ngā whakaahua mata e whakapaetia ana
テキスト全選択時の警告メッセージ	Panui whakatūpato ina kua tohua katoa ngā kuputuhi
ページ保存の警告メッセージ	Panui whakatūpato mō te penapena whārangi
コピー・カットした時に表示するメッセージ	Te karere ka whakaatuhia ina tārua, ina tapahia rānei
HTMLソース表示時に表示するメッセージ	Karere hei whakaatu i te wā e tiro ana i te puna HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Karere hei whakaatu i te tihi o te waehere puna ina whakawātea, ina tiaki rānei i te HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Karere hei whakaatu mēnā kāore te tohu whakamana kotahi-wa i whaimana i te wā e tiakina ana te HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Karere hei whakaatu mēnā kua whakawetohia ngā kuki, ngā JavaScript rānei
実際にはJavascriptが無効時のみ表示されます	Inā hoki, ka whakaatuhia anake tēnei ina kua whakawetohia te JavaScript.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Ka tiakina tētahi whakaahua, ka tikiake, ā, ka whakaatuhia he karere ki runga i taua whakaahua
HTML難読化 (圧縮)	Whakamāhāhā HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	He pēhanga paerewa HTML tēnei; he paetukutuku anō hoki e taea ana te wetewete.
このオプションを有効にするとview-sourceのログが取得できます	Mā te whakahohe i tēnei kōwhiringa ka taea e koe te tiki i ngā rangitaki tirohanga pūtake.
HTML保護	Tiaki HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ka whakaputa ia i te HTML iti ake i te tautuhinga pēhanga HTML, arā, kāore rawa ngā ihirangi kei roto i te tapanga BODY e whakaputaina.
Firefoxに対しては無効です	Ehara tēnei i te mea e pā ana ki a Firefox.
SEOに著しく影響があります	He pānga nui tēnei ki te SEO.
HTMLをJavaScriptで描画	Te whakaputa i te HTML mā te JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Hei karo i a Firefox, ka whakaputa mātou i te HTML mā te JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Mā te whakahohe i te whakaaturanga JavaScript ka tino whakaroa te tere utaina o te paetukutuku.
画像の保護	Tiaki whakaahua
imgタグが呼び出されるごとに画像を保護	Tiakina te whakaahua ia wā ka karangahia te tapanga img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Tiakina ngā whakaahua katoa kua tukuna ki WordPress i roto i te whakaputanga HTML katoa.
画像をダウンロードから保護します	E tiaki ana i ngā whakaahua kia kore ai e taea te tikiake
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Ka tiakina ngā raraunga whakaahua, ka aukatia e mātou te nuinga o ngā tango, ka whakaputahia he URL motuhake mō te kotahi anake, ka whakamana mā ngā tohu kua penapenahia i roto i te wāhanga, ā, ka whakaatuhia ngā whakaahua mā PHP; nā konei ka aukatia te nuinga o ngā tahae whakaahua.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Ki te tiakina ngā raraunga whakaahua, kāore e mahi te penapena wā-poto, arā, ka utaina āta haere te paetukutuku i ngā haerenga whai ake, ā, ka pā tēnei ki te SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Ka piki pea te kawenga ki runga i te pātengi raraunga mēnā ka tiakina ngā raraunga whakaahua.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Mēnā ka tīpako koe i te 'Tiaki whakaahua ia wā ka karangahia te tapanga img', ka whakamahi te pūnaha i te add_filter hei tāpiri tātari i te wā e waihangatia ana te tapanga img; heoi, kāore pea e mahi tika tēnei ki ētahi kaupapa āhua.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Mēnā ka tīpako koe i te 'Tiakina ngā whakaahua katoa kua tukuna ki WordPress i roto i te putanga HTML katoa', ka hopu te mono i te nuinga o ngā mahi a WordPress, ā, ka tukatuka ia i ia tapanga img i roto i te ihirangi. Tēnā kia mōhio, kāore pea e mahi tika tēnei me ētahi kaupapa āhua.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Tēnā koa mōhio, ka tohaina ngā whakaahua kua tohua hei whakaahua ārahi hei raraunga OGP, ā, kāore e taea te tiaki. Mēnā me tino tiaki koe i ēnei, tēnā huri i te tautuhinga mō te whakaputanga o te tapanga HEAD i ngā tautuhinga matatau ina whakahohe koe i te tiaki HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Kāore e taea te tiaki i te āheinga hopu mata kua whakaurua hei paerewa i te pūnaha whakahaere.
画像URLの保護	Te tiaki i ngā URL whakaahua
画像の保護と組み合わせて使用します、単体では意味がありません	Me whakamahi tēnei i te taha o te tiaki whakaahua; ki tōna anake, kāore he take.
JavaScriptにより遅延読まれますのでSEOに影響があります	Nā te mea ka utaina mā JavaScript i runga i te māngere, ka pā tēnei ki te SEO.
画像のウォーターマーク	Tohu wai tohu whakaahua
右下	Wāhi raro matau
ランダム位置	Tūranga tūpono
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Ka whakamahia ngātahi me te tiaki whakaahua, ka tohu mārama ngā tohu wai huringa i te rangatiratanga mana kaituhi, ā, ka waiho he whakaaro ki ngā kaitirotiro kei te aroturuki rātou, nā reira ka mahi hei aukati.
JPG形式、PNG形式、WebP形式のみ対応します	Ka tautokohia anake ngā hōputu JPG, PNG me WebP.
有効にするとサーバーの負荷が高くなります	Mā te whakahohe i tēnei ka piki ake te kawenga o te tūmau.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Te whakaputa i te toi ASCII mai i te waehere puna HTML i te wā e whakawātea ana, e tiakina ana
表示なし	Kāore he whakaaturanga
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	E whakaatu ana i ngā toi ASCII e tohu ana i tētahi whakatūpato ina tirotiro ana i te puna HTML mā te 'view-source'
対象アクションを起こした時の表示デザイン	Whakaatu i te hoahoa ina oti te mahi whāinga
黄色の背景の黒文字のベーシックデザイン	He hoahoa taketake e whakaatu ana i ngā kupu pango i runga i te papamuri kōwhai
黒色の背景の赤文字のホラー風デザイン	He hoahoa āhua mataku me te tuhinga whero i runga i te papamuri pango
黒色の背景の赤文字の光る文字のデザイン	He hoahoa e whakaatu ana i ngā kupu whero kanapa i runga i te papamuri pango
対象アクションを起こした時のBGM	Puoro papamuri e rere ana ina mahia te mahi whāinga
サウンドなし	Kāore he oro
