設定	Aranjman
IPログリーダー	Lektè Jounal IP
IPアドレスログ	Jounal adrès IP
全クリア	Konplete tout nivo yo
IPログが全て削除されました	Tout jounal IP yo efase.
ID	ID
タイムスタンプ	Mak tan
IPアドレス	Adrès IP
ユーザーエージェント	Ajan itilizatè
イベント	Evènman
IPアドレスのデータはありません	Pa gen done pou adrès IP a.
EU GDPR対応	Konfòmite ak GDPR Inyon Ewopeyèn nan
無効	Envayid
有効	Valab
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Si w ap itilize WordPress nan Inyon Ewopeyen an, oswa si sitwèb ou vize itilizatè nan Inyon Ewopeyen an, tanpri asire w ke sa a aktive.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Bouton 'Konfime' a ap chanje pou 'Akò' oswa 'Pa dakò', epi konpòtman an ap chanje yon ti kras.
同意画面の色	Koulè ekran konsantman an
自動	Otomatik
ライトモード	Mòd klè
ダークモード	Mòd Fènwa
同意画面表示中の配色を設定します	Mete konbinezon koulè pou ekran konsantman an
同意画面中のコンテンツのぼかし	Flou kontni sou ekran konsantman an
同意画面表示中のコンテンツのぼかし具合を設定します	Ajiste nivo flou pou kontni ki parèt sou ekran konsantman an
同意画面の透過	Transparans ekran konsantman an
透過なし	Pa gen transparans
同意画面の透過具合を設定します	Mete opasite ekran konsantman an
お知らせの1行目	Premye liy anons la
初回表示で必ず表示されるメッセージです	Mesaj sa a toujou parèt premye fwa paj la chaje.
お知らせの2行目	Dezyèm liy avi a
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Mesaj sa a ap toujou parèt sou premye afichaj la sèlman lè GDPR Inyon Ewopeyen an an vigè.
お知らせの3行目	Twazyèm liy avi a
プライバシーポリシーのリンクの右側に表示されます	Li pral parèt sou bò dwat lyen Règleman sou Konfidansyalite a.
非EU向け確認の文字列	Tèks konfimasyon pou peyi ki pa nan Inyon Ewopeyen an
EU GDPR向け同意するの文字列	Tèks konsantman pou GDPR Inyon Ewopeyen an
EU GDPR向け同意しないの文字列	Tèks pou 'Pa bay konsantman' anba GDPR Inyon Ewopeyen an
プライバシーポリシーの文字列	Tèks politik konfidansyalite
プライバシーポリシーのURLはこちらから設定して下さい	Tanpri mete URL pou politik konfidansyalite a isit la.
プライバシーポリシーには以下の内容を追加して下さい	Tanpri ajoute sa ki annapre nan Règleman sou Konfidansyalite a.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Pou detekte aktivite fwod, idantifyan tankou adrès IP yo estoke nan cookies ak baz done. Done ki estoke yo efase selon diskresyon administratè a.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Pou asire imaj yo delivre kòrèkteman sèlman lè pwoteksyon imaj la aktive, nou estoke done haché ki gen adrès IP a ak non fichye imaj la nan baz done a pou jiska 60 minit.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Si w ap mete sou pye Kondisyon Itilizasyon, tanpri asire w ou mete yon lyen ki mennen nan yo nan Règleman sou Konfidansyalite w la.
利用規約の文字列	Tèks Kondisyon Itilizasyon yo
利用規約のページ	Paj Tèm ak Kondisyon
ページ選択なし	Pa gen paj ki chwazi
検索エンジン等のURL	URL pou motè rechèch, elatriye.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Etabli URL pou motè rechèch ak sit ki sanble ki redirije itilizatè yo lè yo pa bay konsantman.
デバッグモード、コンソールの警告メッセージ	Mòd debogaj, mesaj avètisman sou konsòl la
右クリックの警告メッセージ	Mesaj avètisman klike dwat
印刷、PDF保存の警告メッセージ	Mesaj avètisman konsènan enprime ak anrejistre kòm PDF
スクリーンショットの警告メッセージ	Mesaj avètisman nan kapti ekran an
スクリーンショットの疑いの警告メッセージ	Mesaj avètisman konsènan foto ekran sispèk
テキスト全選択時の警告メッセージ	Mesaj avètisman lè tout tèks la seleksyone
ページ保存の警告メッセージ	Mesaj avètisman konsènan anrejistreman paj la
コピー・カットした時に表示するメッセージ	Mesaj ki parèt lè w ap kopye oswa koupe
HTMLソース表示時に表示するメッセージ	Mesaj pou afiche lè w ap gade kòd sous HTML la.
HTML難読化・保護時にソースの先頭に表示するメッセージ	Mesaj pou afiche anlè kòd sous la lè w ap obfuskate oswa pwoteje HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Mesaj pou afiche si jeton otantifikasyon yon sèl fwa a pa valab pandan pwoteksyon HTML la.
CookieやJavascriptが有効でない場合に表示するメッセージ	Mesaj pou afiche si cookie oswa JavaScript dezaktive
実際にはJavascriptが無効時のみ表示されます	An reyalite, sa a sèlman parèt lè JavaScript dezaktive.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Lè yon imaj pwoteje, li telechaje epi yon mesaj parèt sou imaj la
HTML難読化 (圧縮)	Obfwasyon HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Sa a se konpresyon HTML estanda; genyen tou sit entènèt ki ka dechifre li.
このオプションを有効にするとview-sourceのログが取得できます	Lè w aktive opsyon sa a, sa pèmèt ou rekipere jounal sous vizyalizasyon an.
HTML保護	Pwoteksyon HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Li pwodui sèlman HTML ki pi minimòm lan—menm mwens pase lè w ap itilize konpresyon HTML—epi kontni ki nan etikèt BODY a pap parèt ditou.
Firefoxに対しては無効です	Sa a pa aplike pou Firefox
SEOに著しく影響があります	Sa gen yon enpak siyifikatif sou SEO.
HTMLをJavaScriptで描画	Rendè HTML ak JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Pou kontoune Firefox, nou rande HTML la ak JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Pèmèt JavaScript rande ap ralanti anpil vitès chajman sit wèb la.
画像の保護	Pwoteksyon imaj
imgタグが呼び出されるごとに画像を保護	Pwoteje imaj la chak fwa yo rele etikèt img la.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Pwoteje tout imaj telechaje sou WordPress nan tout pwodiksyon HTML la.
画像をダウンロードから保護します	Pwoteje imaj pou yo pa telechaje yo
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Lè done imaj yo pwoteje, nou prèske konplètman anpeche telechajman, nou bay URL inik pou yon sèl fwa, nou otantifye ak jeton ki estoke nan sesyon an, epi nou afiche imaj yo atravè PHP; sa a efektivman anpeche vòl imaj.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Lè done imaj yo pwoteje, kachaj pa mache, sa vle di sit la ap chaje pi dousman nan vizit ki vin apre yo, konsa li afekte SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Pwoteje done imaj yo ka ogmante chaj sou baz done a.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Si ou chwazi 'Pwoteje imaj chak fwa yo rele yon etikèt img', sistèm nan itilize add_filter pou aplike filtraj lè etikèt img la jenere; sepandan, sa ka pa mache kòrèkteman ak kèk tèm.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Si ou chwazi 'Pwoteje tout imaj telechaje sou WordPress nan tout pwodiksyon HTML la', plugin nan ap kaptire prèske tout operasyon WordPress epi trete chak etikèt img nan kontni an. Tanpri sonje ke sa ka pa fonksyone kòrèkteman ak kèk tèm.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Tanpri note ke imaj ki deziyen kòm imaj vedèt yo pral pataje kòm done OGP e yo pa ka pwoteje. Si ou absoliman bezwen pwoteje yo, tanpri chanje paramèt pou pwodiksyon etikèt HEAD nan paramèt avanse lè w ap aktive pwoteksyon HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Fonksyon kaptire ekran ki enkli kòm estanda nan sistèm operasyon an pa ka pwoteje
画像URLの保護	Pwoteje URL imaj yo
画像の保護と組み合わせて使用します、単体では意味がありません	Sa a dwe itilize ansanm ak pwoteksyon imaj; poukont li, li pa gen okenn itilite.
JavaScriptにより遅延読まれますのでSEOに影響があります	Kòm li chaje parese atravè JavaScript, sa afekte SEO.
画像のウォーターマーク	Filigran imaj
右下	Anba adwat
ランダム位置	Pozisyon o aza
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Lè yo itilize ansanm ak pwoteksyon imaj, filigran dinamik yo endike klèman pwopriyetè dwa otè a pandan y ap bay moun k ap gade yo enpresyon ke y ap siveye, konsa yo sèvi kòm yon faktè dekourajan.
JPG形式、PNG形式、WebP形式のみ対応します	Se sèlman fòma JPG, PNG ak WebP ki sipòte.
有効にするとサーバーの負荷が高くなります	Lè w aktive sa a, sa ap ogmante chaj sou sèvè a.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Pwodui atizay ASCII apati kòd sous HTML pandan obfuskasyon ak pwoteksyon HTML
表示なし	Pa gen afichaj
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Afiche atizay ASCII ki endike yon avètisman lè w ap gade kòd sous HTML la ak 'view-source'
対象アクションを起こした時の表示デザイン	Afiche konsepsyon an lè aksyon sib la fèt.
黄色の背景の黒文字のベーシックデザイン	Yon konsepsyon debaz ki gen tèks nwa sou yon fon jòn.
黒色の背景の赤文字のホラー風デザイン	Yon konsepsyon stil laterè ki gen tèks wouj sou yon fon nwa.
黒色の背景の赤文字の光る文字のデザイン	Yon konsepsyon ki gen tèks wouj ki klere sou yon fon nwa
対象アクションを起こした時のBGM	Mizik an fon ki jwe lè aksyon sib la fèt
サウンドなし	Pa gen son
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Batay & Viktwa - 1 minit 16.3 segonn - 630,056 bytes - 64 kbps - Lisans: CC 2.1 oswa pita
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Papa Kout - 3.8 segonn - 32,364 bytes - 64 kbps - Lisans: GPL 2.0 oswa pita
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23.5 segonn - 195,578 bytes - 64 kbps - Lisans: GPL 2.0 oswa pita
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – Vèsyon òdinatè, vèsyon gwo vitès – 1 minit 57.6 segonn – 724,457 bytes – 48 kbps – Lisans: CC BY-ND 4.0 oswa pita
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo an Si bèmòl mine, Op. 2 – Vèsyon jenere pa òdinatè, vèsyon rezime a gwo vitès – 1 minit 48.0 segonn – 665,369 bytes – 48 kbps – Lisans: CC BY-ND 4.0 oswa pita
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Lis: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – vèsyon òdinatè, vèsyon kout a gwo vitès – 1 minit 51.6 segonn – 687,586 bytes – 48 kbps – Lisans: CC BY-ND 4.0 oswa pita
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – 22.3 segonn – 183,926 bytes – 64 kbps – Lisans: Domèn piblik
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Fanfè stil retro – 2.2 segonn – 10,536 bytes – 32 kbps – Lisans: Domèn piblik
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Entwodiksyon stil retro – 42.1 segonn – 179,138 bytes – 32 kbps – Lisans: Domèn piblik
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Avètisman pa ChatGPT - 3.8 segonn - 109,700 bytes - 256 kbps - Lisans: Domèn piblik
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Yon son ijans wo tankou yon alèt deteksyon malveyan – Pati 1 pa ChatGPT – 3.3 segonn – 102,850 bytes – 256 kbps – Lisans: Domèn piblik
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Yon son ijans wo tankou yon alèt deteksyon malveyan, Pati 2 pa ChatGPT - 3.3 segonn - 103,122 bytes - 256 kbps - Lisans: Domèn Piblik
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Son stil MRI pa ChatGPT – 1 minit 14.9 segonn – 3,340,392 bytes – 320 kbps – Lisans: Domèn Piblik
警告表示中のBGMを選択します	Chwazi mizik fon an pou jwe pandan yon avètisman.
びっくりするような雰囲気を作ります	Li kreye yon atmosfè siprizan.
Firefoxでは音声ブロックされます	Odyo bloke nan Firefox.
対象アクションを起こした時のビープ音	Yon bip lè aksyon espesifye a fèt
有効 音量小さ目	Mete l, volim ba
有効 音量大き目	Aktif, volim la wo
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Yon bip ap sonnen pou reponn tout evènman kle ak sourit pandan y ap afiche yon avètisman.
警告表示中に端末が暴走したかのような雰囲気を作ります	Sa kreye enpresyon ke aparèy la ap fonksyone san kontwòl pandan avètisman an ap parèt.
対象アクションを起こした時のマウスカーソルの消去	Kache kousè sourit la lè yon aksyon espesifik fèt
警告表示中にブラウザのエリアのマウスカーソルを消去します	Kache koursè sourit la nan zòn navigatè a pandan y ap afiche yon avètisman.
デバッグモード	Mòd debogaj
妨害＋記録のみ	Entèferans + Rekò sèlman
妨害＋記録＋表示＋リダイレクト	Entèferans + Anrejistreman + Afichaj + Redireksyon
メニューからは操作できてしまいます	Ou ka toujou jwenn aksè a li atravè meni an.
Firefoxにおけるデバッグモード	Mòd debogaj nan Firefox
ブラウザーコンソール	Konsole navigatè
事実上デバッグモードから操作できてしまいます	An reyalite, ou ka opere li nan mòd debogaj.
HTMLソース表示	Gade sous HTML la
view-source:から始まるURLを入力すれば操作できてしまいます	Ou ka fè operasyon an tou senpleman lè w antre yon URL ki kòmanse ak 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Ou ka pwoteje kontni ou lè w konbine sa a ak pwoteksyon HTML.
印刷	Enprime
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Malgre li anpeche enprime, li ka pa fonksyone kòrèkteman nan kèk navigatè.
スクリーンショット	Kaptire ekran
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Dapre sistèm operasyon an, navigatè a oswa metòd ki itilize a, li ka pa posib pou bloke sa a, oswa li ka pa detekte.
ウインドウが背面に移動した時スクリーンショットの疑い	Sispèk kapti ekran lè fenèt la deplase nan background la
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Li reponn tou a fonksyon ki pa fè ekran
2キー押下のスクリーンショットの疑い	Sispèk kapti ekran ki pran lè w peze de kle
上の項目の検出方法は完全ではありません、予防的に検出を行います	Metòd deteksyon pou atik ki mansyone pi wo a pa konplètman fyab; deteksyon an fèt kòm yon mezi prekosyon.
スクリーンショットだけではなく、デバッグモード等も検出します	Li detekte pa sèlman kapti ekran, men tou mòd debogaj ak bagay konsa.
ページ保存	Sove paj la
右クリック	Klike dwat
アドオンがインストールされていると操作できてしまいます	Si ekstansyon an enstale, w ap kapab itilize li.
コピー・カット	Kopi epi koupe
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Dapre paramèt plugin sa a, ou ka raman rankontre evènman sa a.
テキスト全選択	Chwazi tout tèks la
テキスト選択	Chwazi tèks
デバッガー起動ログ、デバッガー妨害	Jounal demaraj debogè, entèferans debogè
