設定	تنظیمات
IPログリーダー	د IP ثبتونو لوستونکی
IPアドレスログ	د IP پتې ثبت
全クリア	ټولې کچې بشپړ کړئ
IPログが全て削除されました	د IP ټول لاګونه حذف شوي دي
ID	پېژندګلوي
タイムスタンプ	د وخت نښه
IPアドレス	د اې پي پته
ユーザーエージェント	کاروونکی استازی
イベント	پېښه
IPアドレスのデータはありません	د دې IP پتې لپاره هیڅ معلومات نشته
EU GDPR対応	د اروپايي اتحادیې د GDPR سره مطابقت
無効	غلط
有効	د اعتبار وړ
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	که تاسو په اروپايي ټولنه کې ورډپریس کاروئ، یا که ستاسو ویب پاڼه په اروپايي ټولنه کې کاروونکو ته په نښه کوي، مهرباني وکړئ ډاډ ترلاسه کړئ چې دا فعاله ده.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	د 'تصدیق' تڼۍ به 'موافق' یا 'مخالف' ته بدله شي، او چلند به لږ بدل شي.
同意画面の色	د رضایت سکرین رنګ
自動	خودکار
ライトモード	سپک حالت
ダークモード	تېاره حالت
同意画面表示中の配色を設定します	د رضایت سکرین لپاره د رنګونو ترتیب وټاکئ
同意画面中のコンテンツのぼかし	د رضایت په سکرین کې د محتوا ډکول
同意画面表示中のコンテンツのぼかし具合を設定します	د رضایت په سکرین کې د ښودل کېدونکي منځپانګې لپاره د ډکېدو کچه تنظیم کړئ
同意画面の透過	د رضایت د سکرین شفافیت
透過なし	شفافیت نشته
同意画面の透過具合を設定します	د رضایت سکرین شفافیت تنظیم کړئ
お知らせの1行目	د اعلان لومړۍ کرښه
初回表示で必ず表示されるメッセージです	دا پیغام تل هغه وخت ښودل کیږي کله چې پاڼه لومړی ځل بار شي.
お知らせの2行目	د خبرتیا دویمه کرښه
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	دا پیغام به تل په لومړي ښودنه کې یوازې هغه وخت ښکاري کله چې د EU GDPR په عمل کې وي.
お知らせの3行目	د خبرتیا دریمه کرښه
プライバシーポリシーのリンクの右側に表示されます	دا به د محرمیت تګلارې لینک ښي لور ته راڅرګند شي.
非EU向け確認の文字列	د اروپايي ټولنې غړو هیوادونو پرته نورو هیوادونو لپاره تاییدي متن
EU GDPR向け同意するの文字列	د اروپايي اتحادیې د معلوماتو ساتنې عمومي مقرراتو لپاره رضایت متن
EU GDPR向け同意しないの文字列	د اروپايي اتحادیې د معلوماتو ساتنې عمومي مقرراتو
プライバシーポリシーの文字列	د محرمیت تګلارې متن
プライバシーポリシーのURLはこちらから設定して下さい	مهرباني وکړئ د محرمیت پالیسۍ URL دلته تنظیم کړئ.
プライバシーポリシーには以下の内容を追加して下さい	مهرباني وکړئ لاندې موارد د محرمیت په پالیسۍ کې ورزیات کړئ.
