設定	Setélan
IPログリーダー	Pembaca Log IP
IPアドレスログ	Catetan alamat IP
全クリア	Rengsekeun sadaya tingkat
IPログが全て削除されました	Sadaya log IP parantos dihapus
ID	Identifikasi
タイムスタンプ	Cap waktos
IPアドレス	Alamat IP
ユーザーエージェント	Agén Pamaké
イベント	Acara
IPアドレスのデータはありません	Teu aya data pikeun alamat IP ieu
EU GDPR対応	Patuh kana GDPR EU
無効	Henteu sah
有効	Sah
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Lamun anjeun ngagunakeun WordPress di EU, atawa lamun situs wéb anjeun nargétkeun pangguna di EU, mangga pastikeun ieu diaktipkeun.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Tombol 'Konfirmasi' bakal robah jadi 'Satuju' atawa 'Henteu Satuju', sarta paripolahna bakal rada robah.
同意画面の色	Warna layar idin
自動	Otomatis
ライトモード	Mode hampang
ダークモード	Mode Poék
同意画面表示中の配色を設定します	Atur skéma warna pikeun layar idin
同意画面中のコンテンツのぼかし	Kabur eusi dina layar idin
同意画面表示中のコンテンツのぼかし具合を設定します	Atur tingkat kabur pikeun eusi anu dipidangkeun dina layar idin
同意画面の透過	Kajelasan layar idin
透過なし	Teu aya transparansi
同意画面の透過具合を設定します	Atur opasitas layar idin
お知らせの1行目	Baris kahiji tina pangumuman
初回表示で必ず表示されるメッセージです	Pesen ieu sok dipidangkeun nalika halaman dimuat pikeun kahiji kalina.
お知らせの2行目	Baris kadua tina béwara
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Pesen ieu bakal salawasna muncul dina tampilan kahiji ngan nalika EU GDPR lumaku.
お知らせの3行目	Baris katilu tina béwara
プライバシーポリシーのリンクの右側に表示されます	Éta bakal muncul di katuhu tautan kana Kabijakan Privasi.
非EU向け確認の文字列	Téks konfirmasi pikeun nagara non-Uni Éropa
EU GDPR向け同意するの文字列	Téks idin pikeun GDPR EU
EU GDPR向け同意しないの文字列	Téks pikeun 'Ulah masihan idin' dina EU GDPR
プライバシーポリシーの文字列	Téks kabijakan privasi
プライバシーポリシーのURLはこちらから設定して下さい	Mangga pasang URL pikeun kabijakan privasi di dieu.
プライバシーポリシーには以下の内容を追加して下さい	Mangga tambahkeun ieu di handap kana Kabijakan Privasi.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Pikeun ngadeteksi kagiatan panipuan, idéntifikasi sapertos alamat IP disimpen dina cookie jeung basis data. Data anu disimpen dihapus nurutkeun kaputusan administratur.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Pikeun mastikeun yén gambar dikirimkeun kalayan leres ngan nalika panyalindungan gambar diaktipkeun, kami nyimpen data anu geus di-hash anu ngawengku alamat IP jeung ngaran file gambar dina basis data salila nepi ka 60 menit.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Lamun anjeun nyetél Sarat Pamakéan, mangga pastikeun anjeun nyertakeun tautan ka éta dina Kabijakan Privasi anjeun.
利用規約の文字列	Téks Sarat Pamakéan
利用規約のページ	Halaman Istilah jeung Kaayaan
ページ選択なし	Henteu aya kaca anu dipilih
検索エンジン等のURL	URL pikeun mesin pencari, jsb.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Atur URL pikeun mesin pencari jeung situs sarupa anu ngarahkeun pangguna nalika idin henteu dipasihan.
デバッグモード、コンソールの警告メッセージ	Mode debug, pesen peringatan konsol
右クリックの警告メッセージ	Pesen peringatan klik katuhu
印刷、PDF保存の警告メッセージ	Pesen peringatan ngeunaan nyitak jeung nyimpen salaku PDF
スクリーンショットの警告メッセージ	Pesen peringatan dina tangkapan layar
スクリーンショットの疑いの警告メッセージ	Pesen peringatan ngeunaan screenshot anu dicurigai
テキスト全選択時の警告メッセージ	Pesen peringatan nalika sadaya téks dipilih
ページ保存の警告メッセージ	Pesen peringatan ngeunaan nyimpen kaca
コピー・カットした時に表示するメッセージ	Pesen anu ditampilkeun nalika nyalin atawa motong
HTMLソース表示時に表示するメッセージ	Pesen anu bakal dipidangkeun nalika ningali sumber HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Pesen pikeun dipidangkeun di luhur kode sumber nalika ngaburukkeun atawa ngajagi HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Pesen anu bakal dipidangkeun lamun token oténtikasi sakali paké teu sah salila panyalindungan HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Pesen pikeun dipidangkeun lamun cookies atawa JavaScript dinonaktipkeun
実際にはJavascriptが無効時のみ表示されます	Saéstuna, ieu ngan dipidangkeun nalika JavaScript dinonaktipkeun.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Lamun hiji gambar dilindungi, éta bakal diunduh, sarta pesen bakal dipintonkeun dina gambar éta
HTML難読化 (圧縮)	Obfuskasi HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Ieu komprési HTML standar; aya ogé situs wéb anu bisa ngadekodena.
このオプションを有効にするとview-sourceのログが取得できます	Ngaktipkeun pilihan ieu ngamungkinkeun anjeun ngaksés log view-source.
HTML保護	Panglindungan HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Éta ngahasilkeun HTML anu leuwih saeutik tibatan setélan komprési HTML, hartina eusi dina tag BODY moal kaluar pisan.
Firefoxに対しては無効です	Ieu henteu lumaku pikeun Firefox
SEOに著しく影響があります	Ieu boga pangaruh anu signifikan kana SEO.
HTMLをJavaScriptで描画	Ngahasilkeun HTML ngagunakeun JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Pikeun ngungkulan Firefox, urang ngagambarkeun HTML ngagunakeun JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Ngaktipkeun rendering JavaScript bakal sacara signifikan ngalambatkeun laju muat situs wéb.
画像の保護	Panglindungan gambar
imgタグが呼び出されるごとに画像を保護	Lindungi gambar unggal waktos tag img dipanggil
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Ngajagi sakabéh gambar anu diunggah ka WordPress dina sakabéh kaluaran HTML.
画像をダウンロードから保護します	Ngajaga gambar supaya teu bisa diunduh
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Nalika data gambar dilindungi, kami nyegah ampir sakabéh unduhan, ngaluarkeun URL sakali paké anu unik, ngautentikasi ngagunakeun token anu disimpen dina sesi, sarta nembongkeun gambar ngaliwatan PHP; ieu sacara efektif nyegah ampir sakabéh kasus maling gambar.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Lamun data gambar dilindungi, caching moal jalan, nu hartina situs bakal muat leuwih lalaunan dina kunjungan salajengna, sahingga mangaruhan SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Ngajagi data gambar tiasa ningkatkeun beban dina basis data.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Lamun anjeun milih 'Ngajagi gambar iraha waé tag img dipanggil', sistem bakal ngagunakeun add_filter pikeun nerapkeun saringan nalika tag img dijieun; sanajan kitu, ieu bisa jadi teu jalan leres dina sababaraha téma.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Lamun anjeun milih 'Ngajagi sakabéh gambar anu diunggah ka WordPress dina sakabéh kaluaran HTML', plugin ieu bakal nyekel ampir sakabéh operasi WordPress jeung ngolah unggal tag img dina eusi. Punten dicatet yén ieu bisa jadi henteu jalan leres dina sababaraha téma.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Mangga diperhatikeun yén gambar anu ditunjuk salaku gambar unggulan bakal dibagikeun salaku data OGP sareng teu tiasa dilindungi. Upami anjeun mutlak kedah ngajagi éta, mangga robah setélan pikeun kaluaran tag HEAD dina setélan canggih nalika ngaktipkeun panyalindungan HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Fungsi screenshot anu aya dina sistem operasi teu tiasa dilindungi
画像URLの保護	Ngajagi URL gambar
画像の保護と組み合わせて使用します、単体では意味がありません	Ieu kedah dianggo babarengan jeung panyalindungan gambar; mun nyalira, éta teu aya gunana.
JavaScriptにより遅延読まれますのでSEOに影響があります	Kusabab dimuat ngaliwatan JavaScript, ieu mangaruhan SEO.
画像のウォーターマーク	Watermark gambar
右下	Handap katuhu
ランダム位置	Posisi acak
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Dina kombinasi jeung panyalindungan gambar, watermark dinamis sacara jelas nunjukkeun kapamilikan hak cipta bari méré kesan ka panempo yén maranéhna keur diawasan, sahingga jadi panghalang.
JPG形式、PNG形式、WebP形式のみ対応します	Ngan format JPG, PNG, jeung WebP anu didukung.
有効にするとサーバーの負荷が高くなります	Ngaktipkeun ieu bakal ningkatkeun beban dina sérver.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Ngahasilkeun seni ASCII tina kode sumber HTML nalika ngaburamkeun jeung ngajaga
表示なし	Teu aya tampilan
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Némbongkeun seni ASCII nu nandakeun peringatan nalika ningali sumber HTML maké 'view-source'
対象アクションを起こした時の表示デザイン	Témbongkeun desain nalika tindakan sasaran dilakukeun
黄色の背景の黒文字のベーシックデザイン	Desain dasar anu nampilkeun téks hideung dina latar tukang konéng
黒色の背景の赤文字のホラー風デザイン	Desain gaya horor anu nembongkeun téks beureum dina latar hideung
黒色の背景の赤文字の光る文字のデザイン	Desain anu nembongkeun téks beureum caang dina latar hideung
対象アクションを起こした時のBGM	Musik latar anu maén nalika tindakan sasaran dilakukeun
サウンドなし	Teu aya sora
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Pertempuran & Kameunangan - 1 menit 16,3 detik - 630.056 bait - 64 kbps - Lisénsi: CC 2.1 atawa nu leuwih anyar
