設定	Mga setting
IPログリーダー	Mambabasa ng Log ng IP
IPアドレスログ	Talaan ng IP address
全クリア	Kumpletohin ang lahat ng antas
IPログが全て削除されました	Na-delete na ang lahat ng IP logs.
ID	Pagkakakilanlan
タイムスタンプ	Selyo ng oras
IPアドレス	IP address
ユーザーエージェント	Ahente ng gumagamit
イベント	Kaganapan
IPアドレスのデータはありません	Walang datos para sa IP address na ito.
EU GDPR対応	Pagtupad sa EU GDPR
無効	Hindi wasto
有効	Wasto
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Kung ginagamit mo ang WordPress sa loob ng EU, o kung tinutukoy ng iyong website ang mga gumagamit sa loob ng EU, mangyaring tiyaking naka-enable ito.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Ang pindutang 'Kumpirmahin' ay magiging 'Sang-ayon' o 'Hindi Sang-ayon', at bahagyang magbabago ang kilos.
同意画面の色	Kulay ng screen ng pahintulot
自動	Awtomatiko
ライトモード	Magaan na mode
ダークモード	Madilim na Mode
同意画面表示中の配色を設定します	Itakda ang iskema ng kulay para sa screen ng pahintulot.
同意画面中のコンテンツのぼかし	Pagpapalabo ng nilalaman sa screen ng pahintulot
同意画面表示中のコンテンツのぼかし具合を設定します	Itakda ang antas ng pagkalabo para sa nilalaman na ipinapakita sa screen ng pahintulot.
同意画面の透過	Pagiging transparent ng screen ng pahintulot
透過なし	Walang transparency
同意画面の透過具合を設定します	Itakda ang opacity ng screen ng pahintulot
お知らせの1行目	Unang linya ng anunsyo
初回表示で必ず表示されるメッセージです	Ang mensaheng ito ay palaging ipinapakita sa unang pagkakataon na na-load ang pahina.
お知らせの2行目	Ang ikalawang linya ng paunawa
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Ang mensaheng ito ay palaging lilitaw sa unang display kapag epektibo na ang EU GDPR.
お知らせの3行目	Ang ikatlong linya ng paunawa
プライバシーポリシーのリンクの右側に表示されます	Lalabas ito sa kanan ng link patungo sa Patakaran sa Privacy.
非EU向け確認の文字列	Teksto ng kumpirmasyon para sa mga bansang hindi kasapi ng EU
