設定	सेटिङहरू
IPログリーダー	आईपी लग रिडर
IPアドレスログ	आईपी ठेगाना लग
全クリア	सबै स्तरहरू पूरा गर्नुहोस्
IPログが全て削除されました	सबै आईपी लगहरू मेटाइएका छन्।
ID	परिचय
タイムスタンプ	समय-चिह्न
IPアドレス	आईपी ठेगाना
ユーザーエージェント	प्रयोगकर्ता एजेन्ट
イベント	कार्यक्रम
IPアドレスのデータはありません	यो आईपी ठेगानाको लागि कुनै डाटा छैन।
EU GDPR対応	EU GDPR को अनुपालन
無効	अमान्य
有効	मान्य
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	यदि तपाईं EU भित्र WordPress प्रयोग गर्दै हुनुहुन्छ, वा तपाईंको वेबसाइटले EU भित्रका प्रयोगकर्ताहरूलाई लक्षित गर्छ भने, कृपया यो सक्षम गरिएको सुनिश्चित गर्नुहोस्।
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	'Confirm' बटन 'Agree' वा 'Disagree' मा परिवर्तन हुनेछ, र व्यवहार थोरै परिवर्तन हुनेछ।
同意画面の色	सहमति स्क्रिनको रङ
自動	स्वचालित
ライトモード	हल्का मोड
ダークモード	अँध्यारो मोड
同意画面表示中の配色を設定します	सहमति स्क्रिनको रङ योजना सेट गर्नुहोस्
同意画面中のコンテンツのぼかし	सहमति स्क्रिनमा सामग्री धमिलो हुनु
同意画面表示中のコンテンツのぼかし具合を設定します	सहमति स्क्रिनमा देखाइने सामग्रीको धुमिल बनाउने स्तर सेट गर्नुहोस्।
同意画面の透過	सहमति स्क्रिनको पारदर्शिता
透過なし	पारदर्शिता छैन
同意画面の透過具合を設定します	सहमति स्क्रिनको अपारदर्शिता सेट गर्नुहोस्
お知らせの1行目	घोषणाको पहिलो पङ्क्ति
初回表示で必ず表示されるメッセージです	यो सन्देश पृष्ठ पहिलो पटक लोड हुँदा सधैं देखाइन्छ।
お知らせの2行目	सूचनाको दोस्रो पङ्क्ति
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	यो सन्देश पहिलो प्रदर्शनमा मात्र तब देखिनेछ जब EU GDPR लागू हुन्छ।
お知らせの3行目	सूचनाको तेस्रो पङ्क्ति
プライバシーポリシーのリンクの右側に表示されます	यो गोपनीयता नीति को लिङ्कको दायाँपट्टि देखा पर्नेछ।
非EU向け確認の文字列	गैर-EU देशहरूको लागि पुष्टिकरण पाठ
EU GDPR向け同意するの文字列	EU GDPR का लागि सहमति पाठ
EU GDPR向け同意しないの文字列	EU GDPR अन्तर्गत 'सहमति नगर्नुहोस्' को लागि पाठ
プライバシーポリシーの文字列	गोपनीयता नीति पाठ
プライバシーポリシーのURLはこちらから設定して下さい	कृपया गोपनीयता नीति को URL यहाँ सेट गर्नुहोस्।
プライバシーポリシーには以下の内容を追加して下さい	कृपया गोपनीयता नीतिमा निम्न कुराहरू थप्नुहोस्।
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	ठगीपूर्ण गतिविधि पत्ता लगाउन IP ठेगाना जस्ता पहिचानकर्ताहरू कुकीहरू र डेटाबेसहरूमा भण्डारण गरिन्छन्। भण्डारण गरिएको डेटा प्रशासकको विवेकअनुसार मेटाइन्छ।
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	छवि सुरक्षा सक्षम हुँदा मात्र छविहरू सही रूपमा डेलिभर हुने सुनिश्चित गर्न, हामी आईपी ठेगाना र छवि फाइलनाम समावेश भएको ह्यास गरिएको डेटालाई ६० मिनेटसम्म डेटाबेसमा भण्डारण गर्छौं।
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	यदि तपाईं प्रयोगका सर्तहरू तयार गर्दै हुनुहुन्छ भने, कृपया सुनिश्चित गर्नुहोस् कि तपाईंले आफ्नो गोपनीयता नीतिमा त्यसको लिङ्क समावेश गर्नुभएको छ।
利用規約の文字列	उपयोगका सर्तहरूको पाठ
利用規約のページ	नियम र सर्तहरू पृष्ठ
ページ選択なし	कुनै पृष्ठ चयन गरिएको छैन
検索エンジン等のURL	खोज इन्जिनहरू, आदि का लागि URL हरू
