設定	การตั้งค่า
IPログリーダー	IP ล็อกรีดเดอร์
IPアドレスログ	บันทึกที่อยู่ IP
全クリア	เคลียร์ทั้งหมด
IPログが全て削除されました	IPล็อกทั้งหมดถูกลบแล้ว
ID	ID
タイムスタンプ	เวลาประทับตรา
IPアドレス	ที่อยู่ IP
ユーザーエージェント	ตัวแทนผู้ใช้
イベント	กิจกรรม
IPアドレスのデータはありません	ไม่มีข้อมูลเกี่ยวกับที่อยู่ IP
EU GDPR対応	GDPR ของสหภาพยุโรป
無効	โมฆะ
有効	มีผล
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	กรุณาเปิดใช้งานให้เรียบร้อยหากใช้ Wordpress ภายในเขต EU และหากต้องการให้ครอบคลุมถึงเขต EU ด้วย
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	ปุ่มยืนยันจะเปลี่ยนเป็นปุ่มยอมรับหรือไม่ยอมรับ และการทำงานจะเปลี่ยนแปลงเล็กน้อย
同意画面の色	หน้าจอแสดงการยินยอม
自動	อัตโนมัติ
ライトモード	โหมดสว่าง
ダークモード	โหมดมืด
同意画面表示中の配色を設定します	ตั้งค่าสีที่ใช้ในหน้าต่างแสดงการยินยอม
同意画面中のコンテンツのぼかし	การเบลอเนื้อหาในหน้าจอยืนยัน
同意画面表示中のコンテンツのぼかし具合を設定します	ตั้งค่าความเบลอของเนื้อหาที่แสดงในหน้าต่างการยินยอม
同意画面の透過	หน้าต่างการยินยอมโปร่งใส
透過なし	ไม่มีการแทรก
同意画面の透過具合を設定します	ตั้งค่าความโปร่งใสของหน้าจอการยินยอม
お知らせの1行目	ประกาศบรรทัดแรก
初回表示で必ず表示されるメッセージです	ข้อความนี้จะแสดงทุกครั้งที่แสดงครั้งแรก
お知らせの2行目	ประกาศบรรทัดที่ 2
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	ข้อความนี้จะแสดงเฉพาะครั้งแรกเมื่อ EU GDPR มีผลบังคับใช้เท่านั้น
お知らせの3行目	ประกาศในบรรทัดที่ 3
プライバシーポリシーのリンクの右側に表示されます	จะแสดงอยู่ทางด้านขวาของลิงก์นโยบายความเป็นส่วนตัว
非EU向け確認の文字列	ข้อความยืนยันสำหรับผู้ใช้ที่อยู่นอกสหภาพยุโรป
EU GDPR向け同意するの文字列	ข้อความยินยอมสำหรับ GDPR ของสหภาพยุโรป
EU GDPR向け同意しないの文字列	ข้อความสำหรับไม่ยินยอมตาม GDPR ของสหภาพยุโรป
プライバシーポリシーの文字列	ข้อความนโยบายความเป็นส่วนตัว
