設定	Поставки
IPログリーダー	Читач на IP-лози
IPアドレスログ	Лог на IP-адреси
全クリア	Заврши ги сите нивоа
IPログが全て削除されました	Сите IP-лог-датотеки се избришани
ID	ИД
タイムスタンプ	Временски печат
IPアドレス	IP-адреса
ユーザーエージェント	Кориснички агент
イベント	Настан
IPアドレスのデータはありません	Нема податоци за оваа IP-адреса.
EU GDPR対応	Усогласеност со GDPR на ЕУ
無効	Невалидно
有効	Важечки
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Ако користите WordPress во рамките на ЕУ, или ако вашата веб-страница е наменета за корисници во рамките на ЕУ, ве молиме осигурајте се дека ова е овозможено.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Копчето "Потврди" ќе се смени во "Се согласувам" или "Не се согласувам", а однесувањето ќе се промени малку.
同意画面の色	Боја на екранот за согласност
自動	Автоматски
ライトモード	Лесен режим
ダークモード	Темна верзија
同意画面表示中の配色を設定します	Поставете ја шемата на бои за екранот за согласност.
同意画面中のコンテンツのぼかし	Замаглување на содржината на екранот за согласност
同意画面表示中のコンテンツのぼかし具合を設定します	Поставете го нивото на замаглување за содржината прикажана на екранот за согласност
同意画面の透過	Прозирност на екранот за согласност
透過なし	Нема транспарентност
同意画面の透過具合を設定します	Поставете ја проѕирноста на екранот за согласност
お知らせの1行目	Прва линија на соопштението
初回表示で必ず表示されるメッセージです	Оваа порака секогаш се прикажува првиот пат кога страницата се вчитува.
お知らせの2行目	Втората линија на известувањето
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Оваа порака секогаш ќе се појавува на првиот екран само кога ЕУ ГДПР е во сила.
お知らせの3行目	Третиот ред на известувањето
プライバシーポリシーのリンクの右側に表示されます	Ќе се појави десно од линкот до Политиката за приватност.
非EU向け確認の文字列	Текст за потврда за земјите што не се членки на ЕУ
EU GDPR向け同意するの文字列	Текст за согласност за ЕУ ГДПР
EU GDPR向け同意しないの文字列	Текст за "Не давајте согласност" според GDPR на ЕУ
プライバシーポリシーの文字列	Текст на политиката за приватност
プライバシーポリシーのURLはこちらから設定して下さい	Ве молиме поставете ја URL-адресата за политиката за приватност овде.
プライバシーポリシーには以下の内容を追加して下さい	Ве молиме додајте го следново во Политиката за приватност.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	За да се открие измамничка активност, идентификатори како IP-адреси се зачувуваат во колачиња и во базата на податоци. Зачуваните податоци се бришат по дискреција на администраторот.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	За да се осигураме дека сликите се доставуваат правилно кога е овозможена заштита на слики, ние ги складираме во нашата база на податоци хеш-датотеките што ги содржат IP-адресата и името на датотеката на сликата, и тоа до 60 минути.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Ако поставувате Услови за користење, ве молиме осигурајте се дека сте вклучиле линк до нив во вашата Политика за приватност.
利用規約の文字列	Текст на Условите за користење
利用規約のページ	Страница со услови и правила
ページ選択なし	Не е избрана страница
検索エンジン等のURL	URL-адреси за пребарувачи, итн.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Поставете ја URL-адресата за пребарувачи и слични сајтови кои ги пренасочуваат корисниците кога тие не даваат согласност
デバッグモード、コンソールの警告メッセージ	Режим за отстранување грешки, предупредувачки пораки во конзолата
右クリックの警告メッセージ	Десен клик предупредувачка порака
印刷、PDF保存の警告メッセージ	Предупредувачка порака во врска со печатење и зачувување како PDF
スクリーンショットの警告メッセージ	Предупредувачка порака на сликата од екранот
スクリーンショットの疑いの警告メッセージ	Предупредувачка порака во врска со сомнителни скриншотови
テキスト全選択時の警告メッセージ	Предупредувачка порака кога целиот текст е избран
ページ保存の警告メッセージ	Предупредување за зачувување на страницата
コピー・カットした時に表示するメッセージ	Порака што се прикажува при копирање или сечење
HTMLソース表示時に表示するメッセージ	Порака за прикажување при прегледување на HTML изворот
HTML難読化・保護時にソースの先頭に表示するメッセージ	Порака што се прикажува на врвот на изворниот код при затајување или заштита на HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Порака за прикажување доколку еднократниот токен за автентикација е неважечки за време на HTML заштита
CookieやJavascriptが有効でない場合に表示するメッセージ	Порака за прикажување ако колачињата или JavaScript се оневозможени
実際にはJavascriptが無効時のみ表示されます	Всушност, ова се прикажува само кога JavaScript е оневозможен.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Кога сликата е заштитена, таа се презема и на неа се прикажува порака
HTML難読化 (圧縮)	Омрачување на HTML
