設定	Aconfiguracions
IPログリーダー	Lector de rechistros IP
IPアドレスログ	Rechistro d'adrezas IP
全クリア	Completar toz os nivels
IPログが全て削除されました	Toz os rechistros d'IP s'han eliminau.
ID	Identificador
タイムスタンプ	Sello de tiempo
IPアドレス	Adreza IP
ユーザーエージェント	Achent d'usuario
イベント	Acte
IPアドレスのデータはありません	No i hai datos pa ista adreza IP.
EU GDPR対応	Cumplimiento d'o RGPD d'a UE
無効	Invalid
有効	Válido
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Si ye fendo servir WordPress en a UE, u si o suyo puesto web s'adreza a usuarios en a UE, por favor, asegure-se de que isto ye activau.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	O botón 'Confirmar' cambiará a 'D'alcuerdo' u 'En desacuerdo', y o comportamiento cambiará un poquet.
同意画面の色	Color d'a pantalla de consentimiento
自動	Automático
ライトモード	Modo claro
ダークモード	Modo fosco
同意画面表示中の配色を設定します	Establir l'esquema de colors pa la pantalla de consentimiento
同意画面中のコンテンツのぼかし	Emborrimiento d'o conteniu en a pantalla de consentimiento
同意画面表示中のコンテンツのぼかし具合を設定します	Achustar o livel de difuminau t'o conteniu amostrau en a pantalla de consentimiento
同意画面の透過	Transparencia d'a pantalla de consentimiento
透過なし	Garra transparencia
同意画面の透過具合を設定します	Establir a transparencia d'a pantalla de consentimiento
お知らせの1行目	Primera linia de l'anuncio
初回表示で必ず表示されるメッセージです	Iste mensache s'amuestra siempre a primera vegada que se carga a pachina.
お知らせの2行目	A segunda linia d'o aviso
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Iste mensache amaneixerá siempre en a primera pantalla nomás quan o RGPD d'a UE siga en vigor.
お知らせの3行目	A tercera linia de l'aviso
プライバシーポリシーのリンクの右側に表示されます	Aparixerá a la dreita de l'enlace a la Politica de privacidat.
非EU向け確認の文字列	Texto de confirmación pa países no perteneixients a la UE
EU GDPR向け同意するの文字列	Texto de consentimiento pa o RGPD d'a UE
EU GDPR向け同意しないの文字列	Texto pa 'No consentir' baixo o RGPD d'a UE
プライバシーポリシーの文字列	Texto d'a politica de privacidat
プライバシーポリシーのURLはこちらから設定して下さい	Per favor, estableixca aquí a URL d'a politica de privacidat.
プライバシーポリシーには以下の内容を追加して下さい	Per favor, adhiba o siguient a la Politica de Privacidat.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Pa detectar actividat fraudulenta, s'almagazenan identificadors como as adrezas IP en as cookies y en a base de datos. Os datos almagazenaus s'eliminan a criterio de l'administrador.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Pa asegurar que as imáchens se entreguen correctament nomás quan a protección d'imáchens ye activada, almagazenamos en a base de datos os datos hashizaus que incluyen l'adreza IP y o nombre de l'archiu d'a imachen durant un maximo de 60 minutos.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Si ye configurando os Termins d'Uso, por favor, asegure-se d'incluyir-ie un vinclo en a suya Politica de Privacidat.
利用規約の文字列	Texto d'as Condicions d'Uso
利用規約のページ	Pachina de Termins y Condicions
ページ選択なし	Garra pachina trigada
検索エンジン等のURL	URLs pa motors de busca, etc.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Establir a URL pa motors de busca y puestos semellants que redirichan a os usuarios quan no se da o consentimiento.
デバッグモード、コンソールの警告メッセージ	Modo de depuración, mensaches d'alvertencia d'a consola
右クリックの警告メッセージ	Mensache d'alvertencia con botón dreito
印刷、PDF保存の警告メッセージ	Mensache d'alvertencia sobre l'impresión y l'almagazenache como PDF
スクリーンショットの警告メッセージ	Mensache d'alvertencia en a captura de pantalla
